Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d
Bitcoin,BTC,"$175,495,542,814","$10,391.20","16,888,862","$7,438,340,000",0.10%,8.25%,-9.93%
Ethereum,ETH,"$86,224,297,042",$881.01,"97,870,161","$2,115,440,000",0.15%,4.01%,-7.29%
Ripple,XRP,"$37,294,408,362",$0.95,"39,094,802,192 *","$431,170,000",0.06%,3.60%,-16.81%
Bitcoin Cash,BCH,"$21,350,430,591","$1,256.67","16,989,688","$473,031,000",0.09%,8.40%,-18.13%
Litecoin,LTC,"$12,085,719,599",$218.16,"55,399,183","$1,066,150,000",-0.43%,-1.73%,-8.83%
NEO,NEO,"$9,389,900,000",$144.46,"65,000,000 *","$520,787,000",1.13%,21.48%,4.17%
Cardano,ADA,"$8,682,768,507",$0.33,"25,927,070,538 *","$172,153,000",0.13%,2.61%,-14.93%
Stellar,XLM,"$6,711,664,850",$0.36,"18,468,066,839 *","$40,529,400",0.00%,4.03%,-17.82%
EOS,EOS,"$5,815,958,270",$8.36,"695,723,741 *","$286,736,000",-0.67%,8.11%,-14.95%
IOTA,MIOTA,"$5,219,818,895",$1.88,"2,779,530,283 *","$42,389,000",0.14%,4.71%,-9.08%
Dash,DASH,"$4,917,660,710",$621.80,"7,908,814","$72,816,800",-0.07%,5.73%,-14.65%
Monero,XMR,"$4,641,166,185",$294.35,"15,767,509","$44,271,400",0.46%,7.15%,-7.18%
Ethereum Classic,ETC,"$3,635,225,445",$36.30,"100,151,125","$581,737,000",0.35%,3.76%,-14.61%
NEM,XEM,"$3,568,752,000",$0.40,"8,999,999,999 *","$17,349,600",0.22%,1.25%,-23.25%
TRON,TRX,"$2,739,641,708",$0.04,"65,748,192,476 *","$209,839,000",0.02%,5.16%,-18.08%
VeChain,VEN,"$2,595,489,564",$5.46,"475,232,960 *","$155,123,000",0.68%,-4.57%,-19.61%
Tether,USDT,"$2,215,817,180",$1.00,"2,217,140,814 *","$2,442,140,000",-0.13%,-0.27%,-0.05%
Qtum,QTUM,"$2,159,569,432",$29.22,"73,911,536 *","$328,291,000",2.04%,15.28%,-10.64%
Bitcoin Gold,BTG,"$2,050,788,035",$121.72,"16,849,099","$41,006,600",-0.05%,7.14%,-13.22%
Lisk,LSK,"$2,040,960,013",$19.95,"102,279,664 *","$42,875,300",-0.75%,1.65%,-31.10%
Nano,NANO,"$1,933,579,250",$14.51,"133,248,289 *","$154,448,000",-0.18%,25.51%,74.45%
OmiseGO,OMG,"$1,856,745,863",$18.20,"102,042,552 *","$41,419,000",0.69%,10.64%,-0.05%
ICON,ICX,"$1,546,324,062",$4.01,"385,966,364 *","$36,238,800",-0.87%,0.26%,-14.47%
Zcash,ZEC,"$1,363,539,171",$404.82,"3,368,244","$54,602,300",-0.26%,4.35%,-14.15%
Binance Coin,BNB,"$1,050,558,343",$10.61,"99,014,000 *","$63,586,600",6.13%,14.38%,-2.46%
Bytecoin,BCN,"$896,797,856",$0.00,"183,751,978,582","$818,050",0.03%,8.93%,-19.34%
Steem,STEEM,"$886,689,897",$3.54,"250,645,177 *","$5,779,080",-0.02%,5.21%,-19.60%
Verge,XVG,"$878,256,800",$0.06,"14,645,790,570","$16,991,900",-0.50%,5.36%,-24.48%
DigixDAO,DGD,"$812,272,000",$406.14,"2,000,000 *","$38,936,300",-1.11%,-2.63%,41.98%
Populous,PPT,"$798,517,297",$21.58,"37,004,027 *","$3,262,190",-0.37%,0.03%,-22.52%
Stratis,STRAT,"$761,409,128",$7.71,"98,756,688 *","$8,512,110",1.16%,6.40%,-22.20%
