Dates,Volume,Price
2018-02-04,210922.72,1.1265
2018-02-05,398517.46,1.1232250000000001
2018-02-06,233665.15,1.24
2018-02-07,111252.89,1.2449999999999999
2018-02-08,393674.02,1.2950000000000002
2018-02-09,244114.64,1.29
2018-02-10,54690.54,1.165
2018-02-11,71945.67,1.1749999999999998
2018-02-12,27675.26,1.1675
2018-02-13,283377.16,1.245
2018-02-14,265926.64,1.375
2018-02-15,120387.29,1.4075
2018-02-16,140231.43,1.45
2018-02-17,288204.79,1.4775
2018-02-18,110303.65,1.515
2018-02-19,137961.84,1.53
2018-02-20,141188.7,1.39
2018-02-21,88792.31,1.3050000000000002
2018-02-22,160071.49,1.28
2018-02-23,101593.59,1.27
2018-02-24,43267.07,1.205
2018-02-25,189528.09,1.1825
2018-02-26,301450.45,1.1975
2018-02-27,169577.11,1.1425
2018-02-28,84786.75,1.135
2018-03-01,80503.3,1.1724999999999999
2018-03-02,163685.0,1.2199999999999998
2018-03-03,222275.03,1.2425
2018-03-04,75.24,1.1875
