Dates,Volume,Price
2017-11-04,154.0,0.490475
2017-11-05,3629.15,0.32789999999999997
2017-11-06,1119.14,0.2158
2017-11-07,1459.13,0.24939999999999998
2017-11-08,1791.15,0.251525
2017-11-09,2260.95,0.24215000000000003
2017-11-10,404.39,0.26475
2017-11-11,259.13,0.3057
2017-11-12,5155.4,0.36682499999999996
2017-11-13,43985.23,0.5524249999999999
2017-11-14,222347.81,0.801775
2017-11-15,390115.33,0.522
2017-11-16,105112.18,0.38530000000000003
2017-11-17,588992.81,0.43639999999999995
2017-11-18,465010.41,0.4878
2017-11-19,283596.3,0.3995
2017-11-20,275230.87,0.387
2017-11-21,1389357.74,0.46385000000000004
2017-11-22,663700.06,0.44985
2017-11-23,580453.83,0.382375
2017-11-24,1607373.73,0.45665
2017-11-25,3684906.42,0.57715
2017-11-26,4079364.35,0.5623
2017-11-27,3958798.74,0.482775
2017-11-28,11348272.32,0.458925
2017-11-29,2389783.17,0.432425
2017-11-30,2150294.73,0.44405
2017-12-01,2054732.66,0.40395
2017-12-02,1742017.16,0.3916
2017-12-03,1709711.84,0.36789999999999995
2017-12-04,4229639.39,0.4241
2017-12-05,3307630.03,0.456175
2017-12-06,2985581.64,0.4085
2017-12-07,2973325.43,0.33180000000000004
2017-12-08,2194937.55,0.353375
2017-12-09,1955419.56,0.341825
2017-12-10,1926070.08,0.32955
2017-12-11,2168411.1,0.315575
2017-12-12,1681838.73,0.289875
2017-12-13,1833511.01,0.295425
2017-12-14,2046563.71,0.316425
2017-12-15,2542758.38,0.39755
2017-12-16,18161347.32,0.666325
2017-12-17,25364540.25,0.9357250000000001
2017-12-18,8275517.49,0.892025
2017-12-19,4120696.72,0.7014
2017-12-20,5012196.99,0.6781999999999999
2017-12-21,4412463.6,0.54215
2017-12-22,7888626.08,0.7007
2017-12-23,16612559.14,0.891675
2017-12-24,7365266.89,0.945425
2017-12-25,4908887.54,0.8707
2017-12-26,6443634.81,0.8792249999999999
2017-12-27,1166941.15,0.79365
2017-12-28,1287523.4,0.796975
2017-12-29,929794.13,0.684425
2017-12-30,1259880.46,0.7988500000000001
2017-12-31,1954892.64,0.884775
2018-01-01,2226353.17,1.018325
2018-01-02,3458487.48,1.11265
2018-01-03,3977867.9,1.355
2018-01-04,491418871.25,5.675
2018-01-05,82750421.14,6.9125
2018-01-06,23078807.87,4.885
2018-01-07,20391473.42,4.0325
2018-01-08,72942743.36,4.86
2018-01-09,22437876.54,4.817500000000001
2018-01-10,16934993.47,4.2875
2018-01-11,11649419.11,4.5625
2018-01-12,10235266.85,4.08
2018-01-13,5817976.04,3.8175
2018-01-14,6904965.7,3.145
2018-01-15,38505100.54,2.6550000000000002
2018-01-16,22189498.18,2.7875
2018-01-17,8738570.77,2.8449999999999998
2018-01-18,8243854.92,3.1375
2018-01-19,11584120.53,3.6575
2018-01-20,4733226.57,3.0199999999999996
2018-01-21,2825946.15,2.715
2018-01-22,1815998.6,2.6275
2018-01-23,2535069.6,2.7825
2018-01-24,2389975.77,2.73
2018-01-25,1743944.32,2.7
2018-01-26,1520295.75,2.81
2018-01-27,9902294.98,3.125
2018-01-28,2532858.23,2.9725
2018-01-29,1244937.68,2.515
2018-01-30,991831.9,2.5075
2018-01-31,1320016.75,2.1125
2018-02-01,1188841.25,1.8075
2018-02-02,1378842.46,2.0075000000000003
2018-02-03,856783.95,1.735
2018-02-04,783517.05,1.3575
2018-02-05,994359.16,1.4575
2018-02-06,1582058.71,1.5225
2018-02-07,34715.26,1.7325
2018-02-08,630104.42,1.8325
2018-02-09,679623.45,1.6875
2018-02-10,678795.09,1.5075
2018-02-11,2432293.17,1.7625
2018-02-12,1359740.86,1.6725
2018-02-13,924363.33,1.7425
2018-02-14,1828546.47,1.855
2018-02-15,2317921.63,1.9775
2018-02-16,1334558.88,2.1125
2018-02-17,4385242.2,2.0075
2018-02-18,25465774.19,2.485
2018-02-19,9958695.12,2.4475
2018-02-20,2753167.84,2.0625
2018-02-21,2932082.23,1.96
2018-02-22,1640352.28,2.0275
2018-02-23,7872372.01,2.0825
2018-02-24,12020779.43,2.2575
2018-02-25,18409529.24,2.66
2018-02-26,10007482.5,2.735
2018-02-27,4629368.61,2.355
2018-02-28,4767483.37,2.4125
2018-03-01,2645016.17,2.45
2018-03-02,1910738.22,2.3874999999999997
2018-03-03,3003697.05,2.3474999999999997
2018-03-04,30349.82,2.345
