Dates,Volume,Price
2017-05-29,320.83,0.33
2017-05-30,2665.82,0.5528
2017-05-31,1526.93,0.6991
2017-06-01,1813.66,0.75965
2017-06-02,2067.62,0.8132249999999999
2017-06-03,447.87,0.795725
2017-06-04,8869.01,0.967875
2017-06-05,14678.58,1.220275
2017-06-06,1322.11,1.2209999999999999
2017-06-07,9011.73,1.2689
2017-06-08,1302.68,1.335
2017-06-09,16114.77,1.365
2017-06-10,6668.33,1.8649999999999998
2017-06-11,31775.27,2.6550000000000002
2017-06-12,2690.41,3.0549999999999997
2017-06-13,14595.97,2.7824999999999998
2017-06-14,6844.38,2.6875
2017-06-15,3485.75,2.7899999999999996
2017-06-16,11411.02,3.2325
2017-06-17,10703.57,3.3099999999999996
2017-06-18,18796.9,3.175
2017-06-19,6221.87,2.4275
2017-06-20,2009.42,2.7775
2017-06-21,4382.12,2.47
2017-06-22,3053.97,1.9599999999999997
2017-06-23,3254.81,1.78
2017-06-24,3041.46,1.8075
2017-06-25,11837.32,1.3036
2017-06-26,23636.26,1.256625
2017-06-27,10443.58,1.019975
2017-06-28,89160.7,0.5379
2017-06-29,24708.67,0.702
2017-06-30,24328.11,0.61645
2017-07-01,9205.4,0.6784999999999999
2017-07-02,11682.05,0.840575
2017-07-03,16750.35,0.7924
2017-07-04,28428.91,0.75355
2017-07-05,13122.43,0.7372
2017-07-06,11170.8,0.56875
2017-07-07,4116.57,0.567475
2017-07-08,4300.07,0.5475
2017-07-09,2381.94,0.48287500000000005
2017-07-10,0.0,0.4951
2017-07-11,7186.44,0.45537500000000003
2017-07-12,8744.19,0.40515
2017-07-13,3569.87,0.31555
2017-07-14,437.81,0.32489999999999997
2017-07-15,1009.25,0.36219999999999997
2017-07-16,2648.84,0.437725
2017-07-17,5612.52,0.52725
2017-07-18,2065.18,0.527875
2017-07-19,3895.23,0.6018749999999999
2017-07-20,2310.34,0.538375
2017-07-21,333.4,0.5807749999999999
2017-07-22,737.49,0.605775
2017-07-23,10565.04,0.6114
2017-07-24,15313.46,0.410625
2017-07-25,9507.87,0.382575
2017-07-26,12760.93,0.366775
2017-07-27,8777.87,0.39225
2017-07-28,4955.98,0.361525
2017-07-29,2239.35,0.386625
2017-07-30,4904.04,0.385625
2017-07-31,632.19,0.35505000000000003
2017-08-01,7343.39,0.361125
2017-08-02,5170.99,0.39830000000000004
2017-08-03,7696.61,0.41809999999999997
2017-08-04,5149.43,0.528575
2017-08-05,8997.69,0.6351
2017-08-06,11165.33,0.564725
2017-08-07,6883.3,0.601
2017-08-08,9721.51,0.6722750000000001
2017-08-09,32615.13,0.85
2017-08-10,42128.53,0.9986750000000001
2017-08-11,63070.26,1.2324499999999998
2017-08-12,50718.75,1.385
2017-08-13,36903.67,1.405
2017-08-14,53413.92,1.2432750000000001
2017-08-15,22459.93,1.345
2017-08-16,72073.2,1.261075
2017-08-17,190051.39,0.919825
2017-08-18,39053.43,0.87405
2017-08-19,25906.68,0.9945499999999999
2017-08-20,28091.49,0.902475
2017-08-21,80866.51,0.858125
2017-08-22,27101.36,0.9017000000000001
2017-08-23,26691.5,0.851775
2017-08-24,24352.6,0.8434250000000001
2017-08-25,36393.61,0.87805
2017-08-26,22634.36,0.8985
2017-08-27,41246.35,0.9566
2017-08-28,27998.81,1.01845
2017-08-29,38117.51,1.04415
2017-08-30,38434.44,1.1975
2017-08-31,48200.84,1.3075
2017-09-01,36718.09,1.0570249999999999
2017-09-02,60208.38,1.1436
2017-09-03,42688.79,1.0581
2017-09-04,93526.95,0.6900000000000001
2017-09-05,1158412.61,0.567525
2017-09-06,867116.75,0.556975
2017-09-07,1590973.96,0.47352500000000003
2017-09-08,908600.36,0.43747500000000006
2017-09-09,600406.83,0.410375
2017-09-10,249377.94,0.37117500000000003
2017-09-11,632459.68,0.41755
2017-09-12,926251.56,0.39504999999999996
2017-09-13,251178.96,0.30465
2017-09-14,583445.28,0.35922499999999996
2017-09-15,298359.24,0.355975
2017-09-16,199510.95,0.34997500000000004
2017-09-17,229884.0,0.40215
2017-09-18,151049.49,0.38085
2017-09-19,145652.6,0.373875
2017-09-20,145601.65,0.33510000000000006
2017-09-21,97028.28,0.3277
2017-09-22,82657.18,0.34482500000000005
2017-09-23,118047.57,0.3202
2017-09-24,236125.77,0.36725
2017-09-25,161049.04,0.360875
2017-09-26,93536.45,0.371925
2017-09-27,167298.63,0.368375
2017-09-28,129122.26,0.3586
2017-09-29,277500.19,0.35915
2017-09-30,127727.95,0.344175
2017-10-01,379389.7,0.33127500000000004
2017-10-02,177448.38,0.35235
2017-10-03,202038.58,0.362775
2017-10-04,94866.07,0.36387499999999995
2017-10-05,93064.71,0.379625
2017-10-06,140195.69,0.39440000000000003
2017-10-07,67928.35,0.39794999999999997
2017-10-08,144494.75,0.362075
2017-10-09,222847.91,0.339225
2017-10-10,110501.4,0.35185
2017-10-11,132632.27,0.364525
2017-10-12,124118.25,0.33267500000000005
2017-10-13,97465.12,0.3248
2017-10-14,105336.12,0.310925
2017-10-15,149965.39,0.34192500000000003
2017-10-16,138962.85,0.350775
2017-10-17,232538.65,0.309725
2017-10-18,154510.28,0.325475
2017-10-19,148549.1,0.328925
2017-10-20,274244.18,0.288675
2017-10-21,114397.72,0.2924
2017-10-22,227451.09,0.26880000000000004
2017-10-23,571587.74,0.217725
2017-10-24,304201.97,0.249325
2017-10-25,177450.35,0.244725
2017-10-26,156266.02,0.213775
2017-10-27,255050.8,0.2343
2017-10-28,299557.16,0.25672500000000004
2017-10-29,214298.38,0.265425
2017-10-30,267633.43,0.24195000000000003
2017-10-31,129080.4,0.23502499999999998
2017-11-01,105332.41,0.225625
2017-11-02,112821.33,0.254025
2017-11-03,221920.94,0.306875
2017-11-04,298621.76,0.353275
2017-11-05,311532.52,0.35039999999999993
2017-11-06,89148.55,0.37015
2017-11-07,24549.97,0.403525
2017-11-08,174489.33,0.44544999999999996
2017-11-09,276865.34,0.41085
2017-11-10,151480.2,0.390275
2017-11-11,135631.78,0.38115
2017-11-12,115170.07,0.408
2017-11-13,143768.45,0.39494999999999997
2017-11-14,182034.05,0.41502500000000003
2017-11-15,272208.55,0.4192
2017-11-16,192974.44,0.408425
2017-11-17,359133.37,0.4675
2017-11-18,464330.52,0.514775
2017-11-19,325273.1,0.554575
2017-11-20,355958.46,0.56875
2017-11-21,459331.85,0.6595
2017-11-22,804561.12,0.75485
2017-11-23,1060429.28,0.6797
2017-11-24,423488.25,0.621075
