Dates,Volume,Price
2018-01-04,8950944.23,8.125
2018-01-05,17873705.52,8.442499999999999
2018-01-06,26357182.79,9.547500000000001
2018-01-07,12779400.6,9.217500000000001
2018-01-08,23084559.53,9.7125
2018-01-09,11320373.85,9.9925
2018-01-10,9227915.11,7.987500000000001
2018-01-11,9633070.33,7.9425
2018-01-12,7354259.69,7.9775
2018-01-13,10221998.03,7.9225
2018-01-14,8406939.61,7.7425
2018-01-15,7349900.36,5.5
2018-01-16,5854686.82,5.2725
2018-01-17,5703006.28,5.4125
2018-01-18,6361510.66,5.4275
2018-01-19,10518378.51,6.3125
2018-01-20,6482662.76,5.8
2018-01-21,5478106.27,5.0075
2018-01-22,6149123.18,4.78
2018-01-23,6513045.44,5.022499999999999
2018-01-24,4401995.47,4.8549999999999995
2018-01-25,3866687.56,4.6674999999999995
2018-01-26,11579613.7,5.34
2018-01-27,18695880.62,5.88
2018-01-28,5256307.68,5.18
2018-01-29,6127714.67,4.449999999999999
2018-01-30,3243540.64,4.362500000000001
2018-01-31,4630647.11,3.7624999999999997
2018-02-01,2965311.95,3.3675
2018-02-02,1954064.45,3.57
2018-02-03,2096225.38,3.105
2018-02-04,2478832.05,2.375
2018-02-05,4620588.05,2.6275000000000004
2018-02-06,2655842.43,2.6950000000000003
2018-02-07,161939.31,2.9299999999999997
2018-02-08,2120063.25,3.005
2018-02-09,1551666.73,2.915
2018-02-10,2553645.47,2.7125
2018-02-11,1870265.28,3.0725
2018-02-12,2145934.84,2.8649999999999998
2018-02-13,2688528.32,3.0475
2018-02-14,3042799.07,3.0975
2018-02-15,2659531.13,3.2024999999999997
2018-02-16,9014734.13,3.84
2018-02-17,6341235.55,3.5999999999999996
2018-02-18,3631429.64,3.75
2018-02-19,5501965.79,3.605
2018-02-20,3333354.95,3.06
2018-02-21,2520337.45,2.8675
2018-02-22,2373916.33,3.0425
2018-02-23,1048927.98,2.905
2018-02-24,3052336.24,3.0749999999999997
2018-02-25,2921475.85,3.275
2018-02-26,2201974.59,3.0725
2018-02-27,1481983.68,2.8375000000000004
2018-02-28,3752669.44,3.17
2018-03-01,6698153.1,3.2
2018-03-02,2424388.58,3.26
2018-03-03,1674953.77,3.205
2018-03-04,19853.94,3.175
