Dates,Volume,Price
2017-08-22,0.5383,0.00060045
2017-08-23,1.09,0.000583
2017-08-24,7.16,0.0005674
2017-08-25,1.96,0.0006093
2017-08-26,0.0,0.0006519
2017-08-27,0.0,0.0006585
2017-08-28,604.27,0.0008159250000000001
2017-08-29,59.8,0.0007791
2017-08-30,2.1,0.0007813
2017-08-31,0.5015,0.0007875
2017-09-01,1.33,0.0007546499999999999
2017-09-02,40.82,0.000680425
2017-09-03,25.43,0.00059745
2017-09-04,1.16,0.0006393499999999999
2017-09-05,13.16,0.0006004
2017-09-06,0.7794,0.0006953
2017-09-07,4.35,0.0006057
2017-09-08,0.0,0.0006503
2017-09-09,0.0,0.0006369
2017-09-10,7.49,0.0005905000000000001
2017-09-11,1.66,0.0006238
2017-09-12,0.0,0.0005805
2017-09-13,4.22,0.00038915
2017-09-14,4.46,0.0004457
2017-09-15,0.0,0.0004439
2017-09-16,0.0,0.0004428
2017-09-17,333.58,0.0006663000000000001
2017-09-18,28.29,0.0006448000000000001
2017-09-19,3.95,0.000572625
2017-09-20,0.6254,0.0005064
2017-09-21,0.0,0.0005041
2017-09-22,0.0,0.0005303
2017-09-23,23.95,0.00048594999999999997
2017-09-24,2.67,0.00053095
2017-09-25,15.42,0.00060335
2017-09-26,0.0,0.0006318
2017-09-27,0.4457,0.0006293
2017-09-28,13.45,0.00066765
2017-09-29,0.0,0.0007413
2017-09-30,0.0,0.0007485
2017-10-01,0.882,0.0007042
2017-10-02,0.0,0.0006471
2017-10-03,11.41,0.0006328
2017-10-04,0.0,0.0006482
2017-10-05,0.0,0.0006558
2017-10-06,0.0,0.0006654
2017-10-07,2.91,0.0006687
2017-10-08,0.0,0.0006688
2017-10-09,1.99,0.0006788
2017-10-10,0.0,0.0006754
2017-10-11,0.0,0.0007606
2017-10-12,5.06,0.0007892
2017-10-13,0.0,0.0008155
2017-10-14,17.8,0.0007963
2017-10-15,0.0,0.0008063
2017-10-16,5.41,0.0008398
2017-10-17,631707.42,0.17754319999999998
2017-10-18,1196502.41,0.308475
