Dates,Volume,Price
2017-05-16,105742.38,1.18
2017-05-17,2816461.72,1.36
2017-05-18,1261018.22,1.4575
2017-05-19,975370.08,1.415
2017-05-20,749076.63,1.4075
2017-05-21,1012156.48,1.4125
2017-05-22,2050302.35,1.85
2017-05-23,3049719.62,2.4524999999999997
2017-05-24,1252207.61,2.2275
2017-05-25,903967.97,2.0149999999999997
2017-05-26,573807.84,1.7325
2017-05-27,638174.59,1.835
2017-05-28,468579.68,1.8475
2017-05-29,819413.43,1.85
2017-05-30,965553.49,2.025
2017-05-31,456063.36,2.1275000000000004
2017-06-01,602401.8,2.1925
2017-06-02,712482.97,2.2449999999999997
2017-06-03,930323.14,2.1525
2017-06-04,830718.34,2.2575000000000003
2017-06-05,961292.66,2.4175
2017-06-06,1433108.2,2.4450000000000003
2017-06-07,2956975.57,2.9275
2017-06-08,1595945.77,3.1424999999999996
2017-06-09,2367316.05,3.6825
2017-06-10,2426302.87,4.112500000000001
2017-06-11,1533081.15,3.7175
2017-06-12,1137378.57,3.8325
2017-06-13,1255632.48,3.3225000000000002
2017-06-14,1010528.19,3.1599999999999997
2017-06-15,554234.58,3.2675
2017-06-16,575711.94,3.3425000000000002
2017-06-17,763452.44,3.045
2017-06-18,856096.04,2.9975
2017-06-19,651399.09,3.0175
2017-06-20,1046543.32,2.9525
2017-06-21,655073.46,2.985
2017-06-22,602201.43,2.96
2017-06-23,641849.99,2.7874999999999996
2017-06-24,430176.95,2.54
2017-06-25,853409.79,2.2525
2017-06-26,445196.7,2.4175
2017-06-27,983383.7,2.73
2017-06-28,597812.99,2.8275
2017-06-29,417164.1,2.4575
2017-06-30,340523.69,2.255
2017-07-01,277156.1,2.385
2017-07-02,365953.32,2.42
2017-07-03,334348.09,2.3325
2017-07-04,316629.0,2.2875
2017-07-05,387931.45,2.3975
2017-07-06,456457.37,2.24
2017-07-07,237449.79,2.145
2017-07-08,185704.2,2.145
2017-07-09,345029.01,1.7650000000000001
2017-07-10,663019.09,1.625
2017-07-11,419323.66,1.895
2017-07-12,283904.1,1.955
2017-07-13,168199.51,1.825
2017-07-14,196260.04,1.5575
2017-07-15,217903.52,1.4375
2017-07-16,328654.55,1.7000000000000002
2017-07-17,337261.18,1.9124999999999999
2017-07-18,294893.71,1.9224999999999999
2017-07-19,264118.74,2.19
2017-07-20,204222.41,2.0125
2017-07-21,190133.6,2.2375
2017-07-22,227476.57,2.1975
2017-07-23,172833.62,2.1775
2017-07-24,422475.93,1.83
2017-07-25,353620.04,1.73
2017-07-26,157690.8,1.7874999999999999
2017-07-27,372508.9,1.6875000000000002
2017-07-28,245832.24,1.585
2017-07-29,162670.55,1.6524999999999999
2017-07-30,169785.28,1.7049999999999998
2017-07-31,202231.92,1.73
2017-08-01,229151.25,1.7475
2017-08-02,303850.48,1.8775000000000002
2017-08-03,250713.51,1.9525
2017-08-04,335108.26,2.135
2017-08-05,275677.77,2.085
2017-08-06,277626.07,2.1425
2017-08-07,449547.41,2.1475
2017-08-08,562368.44,2.24
2017-08-09,1104373.33,2.53
2017-08-10,2088516.71,2.8999999999999995
2017-08-11,829022.28,3.0275000000000003
2017-08-12,767988.64,2.8075
2017-08-13,782457.63,2.66
2017-08-14,600494.34,2.425
2017-08-15,561228.14,2.5775
2017-08-16,528569.32,2.4349999999999996
2017-08-17,387457.93,2.3525
2017-08-18,592068.97,2.5149999999999997
2017-08-19,559013.07,2.615
2017-08-20,605115.1,2.7125
2017-08-21,270100.25,2.5574999999999997
2017-08-22,339585.0,2.5475000000000003
2017-08-23,403129.32,2.7624999999999997
2017-08-24,273022.16,2.7899999999999996
2017-08-25,438189.31,2.8975
2017-08-26,349004.46,2.8775000000000004
2017-08-27,837013.38,3.0075000000000003
2017-08-28,603822.48,3.1625
2017-08-29,319513.32,3.0500000000000003
2017-08-30,449381.25,3.0475000000000003
2017-08-31,586577.34,2.9324999999999997
2017-09-01,373823.67,2.58
2017-09-02,251365.4,2.58
2017-09-03,806593.45,1.8035
2017-09-04,321480.83,2.215
2017-09-05,308968.36,2.3475
2017-09-06,477985.99,2.215
2017-09-07,397096.48,2.0625
2017-09-08,309397.25,2.0775
2017-09-09,226935.76,1.9725000000000001
2017-09-10,303391.77,1.9125
2017-09-11,314812.61,1.875
2017-09-12,450380.35,1.7325
2017-09-13,273185.9,1.4324999999999999
2017-09-14,256369.88,1.625
2017-09-15,192097.68,1.6024999999999998
2017-09-16,153285.27,1.6025
2017-09-17,279902.66,1.8775
2017-09-18,269806.64,1.845
2017-09-19,331832.89,1.855
2017-09-20,224198.34,1.7275
2017-09-21,161092.25,1.635
2017-09-22,277656.25,1.8025
2017-09-23,204565.22,1.7925
2017-09-24,204019.09,1.8475
2017-09-25,193134.08,1.8125000000000002
2017-09-26,201819.4,1.9224999999999999
2017-09-27,207485.45,1.895
2017-09-28,148435.53,1.8525
2017-09-29,172577.74,1.9275
2017-09-30,279142.95,1.9325
2017-10-01,197791.06,1.8624999999999998
2017-10-02,234020.55,1.7375
2017-10-03,222490.9,1.6875
2017-10-04,262603.32,1.8125
2017-10-05,312479.75,1.8449999999999998
2017-10-06,221655.88,1.79
2017-10-07,197288.92,1.7575
2017-10-08,292790.74,1.7125
2017-10-09,238418.17,1.7274999999999998
2017-10-10,117171.08,1.7449999999999999
2017-10-11,231756.41,1.79
2017-10-12,3307317.97,2.17
2017-10-13,481912.52,1.8849999999999998
2017-10-14,245297.32,1.645
2017-10-15,483906.91,1.7075
2017-10-16,429497.04,1.785
2017-10-17,294244.52,1.685
2017-10-18,484682.44,1.7774999999999999
2017-10-19,354276.95,1.76
2017-10-20,245098.8,1.5350000000000001
2017-10-21,172480.25,1.5
2017-10-22,214086.98,1.5150000000000001
2017-10-23,317998.4,1.545
2017-10-24,149260.53,1.665
2017-10-25,245056.65,1.5825
2017-10-26,146930.13,1.4849999999999999
2017-10-27,202529.98,1.46
2017-10-28,182273.7,1.5
2017-10-29,124141.62,1.4525000000000001
2017-10-30,191287.94,1.47
2017-10-31,283690.78,1.3449999999999998
2017-11-01,595036.25,1.1264
2017-11-02,378593.27,1.129425
2017-11-03,344761.59,1.2675
2017-11-04,221230.73,1.2225000000000001
2017-11-05,412843.83,1.1011250000000001
2017-11-06,191112.06,1.13
2017-11-07,313319.94,1.275
2017-11-08,643069.37,1.4575
2017-11-09,410253.18,1.4125
2017-11-10,330582.75,1.2399999999999998
2017-11-11,290548.37,1.1114499999999998
2017-11-12,230709.84,1.285
2017-11-13,297987.27,1.3050000000000002
2017-11-14,182056.04,1.3925
2017-11-15,273080.43,1.435
2017-11-16,524345.09,1.43
2017-11-17,401266.11,1.4775
2017-11-18,480356.73,1.5675
2017-11-19,287764.96,1.6225
2017-11-20,383020.86,1.6724999999999999
2017-11-21,403389.43,1.79
2017-11-22,339752.42,1.7525
2017-11-23,334886.23,1.85
2017-11-24,963363.11,2.1774999999999998
2017-11-25,458728.97,2.1174999999999997
2017-11-26,1139211.03,2.2875
2017-11-27,575493.69,2.31
2017-11-28,500949.32,2.0025000000000004
2017-11-29,299421.97,1.8175000000000001
2017-11-30,468707.04,2.05
2017-12-01,368475.69,2.0799999999999996
2017-12-02,423387.09,2.0625
2017-12-03,473435.75,2.1624999999999996
2017-12-04,732166.29,2.265
2017-12-05,1320754.76,2.465
2017-12-06,589473.67,2.2225
2017-12-07,495811.29,1.8475
2017-12-08,489974.85,1.91
2017-12-09,403254.14,1.9675
2017-12-10,839006.77,2.09
2017-12-11,1326742.31,2.34
2017-12-12,1170097.13,2.5
2017-12-13,889089.41,2.6675
2017-12-14,844663.45,2.585
2017-12-15,661958.81,2.6574999999999998
2017-12-16,1121415.35,2.615
2017-12-17,2125684.73,2.9675
2017-12-18,2966096.59,3.1550000000000002
2017-12-19,1938435.89,3.315
2017-12-20,1813002.14,3.4925
2017-12-21,933664.3,2.9375
2017-12-22,950160.19,3.1675
2017-12-23,2258446.74,3.4475
2017-12-24,2170016.49,3.915
2017-12-25,1696481.7,4.0475
2017-12-26,1193428.19,3.655
2017-12-27,1391951.12,3.5675
2017-12-28,1265017.68,3.785
2017-12-29,987973.36,3.3000000000000003
2017-12-30,1228261.84,3.7575
2017-12-31,1932722.12,3.945
2018-01-01,2974739.35,4.7524999999999995
2018-01-02,5120006.89,5.74
2018-01-03,3184817.4,6.392499999999999
2018-01-04,1984406.48,6.1875
2018-01-05,1615734.34,5.737500000000001
2018-01-06,4706708.41,6.702500000000001
2018-01-07,3548041.56,6.7475000000000005
2018-01-08,1789426.97,6.614999999999999
2018-01-09,2014268.8,6.5249999999999995
2018-01-10,4530918.74,5.94
2018-01-11,1547337.16,6.2925
2018-01-12,958909.87,6.244999999999999
2018-01-13,706000.06,5.74
2018-01-14,3557288.22,6.0425
2018-01-15,1157316.23,4.4825
2018-01-16,680041.9,4.17
2018-01-17,290263.71,4.4875
2018-01-18,526548.79,4.945
2018-01-19,580568.01,5.387499999999999
2018-01-20,1199337.41,4.9575
2018-01-21,1199123.25,4.7775
2018-01-22,6450937.12,5.4825
