Dates,Volume,Price
2016-10-03,34643.92,9.125
2016-10-04,245803.96,9.0675
2016-10-05,147816.44,8.1575
2016-10-06,62374.96,7.3275
2016-10-07,33210.12,6.85
2016-10-08,30110.13,7.005000000000001
2016-10-09,16000.81,6.8975
2016-10-10,69303.27,6.204999999999999
2016-10-11,31704.63,5.909999999999999
2016-10-12,28981.68,6.02
2016-10-13,21941.1,5.9825
2016-10-14,5655.43,5.8025
2016-10-15,5562.92,5.727500000000001
2016-10-16,29507.51,5.3925
2016-10-17,13037.98,5.3825
2016-10-18,9524.39,5.4375
2016-10-19,17346.99,5.37
2016-10-20,3314.23,5.35
2016-10-21,3365.57,5.345000000000001
2016-10-22,3830.11,5.355
2016-10-23,3253.28,5.375
2016-10-24,18055.25,5.1575
2016-10-25,18324.14,4.9775
2016-10-26,29048.07,5.1375
2016-10-27,27972.9,4.875
2016-10-28,25835.84,4.405
2016-10-29,12377.9,3.9299999999999997
2016-10-30,16264.07,4.005
2016-10-31,41850.56,4.205
2016-11-01,5658.28,4.365
2016-11-02,7740.8,4.4975
2016-11-03,5448.41,4.435
2016-11-04,12941.8,4.865
2016-11-05,12338.3,5.4975000000000005
2016-11-06,10500.37,5.105
2016-11-07,1343.13,4.975
2016-11-08,28770.24,4.945
2016-11-09,7476.46,4.717499999999999
2016-11-10,6511.71,4.74
2016-11-11,2260.56,4.9625
2016-11-12,88.64,4.8675
2016-11-13,1673.62,4.720000000000001
2016-11-14,1560.68,4.4925
2016-11-15,165.37,4.545
2016-11-16,2035.62,4.4350000000000005
2016-11-17,5573.91,4.3275
2016-11-18,20939.69,4.5325
2016-11-19,2517.21,4.49
2016-11-20,678.43,4.3525
2016-11-21,470.04,4.345
2016-11-22,758.96,4.4325
2016-11-23,656.94,4.215
2016-11-24,1003.76,4.16
2016-11-25,941.75,4.1
2016-11-26,4346.14,4.074999999999999
2016-11-27,11118.95,3.8499999999999996
2016-11-28,644.69,3.7075
2016-11-29,799.95,3.6900000000000004
2016-11-30,437.33,3.55
2016-12-01,6361.33,3.35
2016-12-02,279.88,3.3074999999999997
2016-12-03,375.13,3.255
2016-12-04,2255.8,3.13
2016-12-05,18916.68,2.995
2016-12-06,3390.13,3.3600000000000003
2016-12-07,383.4,3.1975
2016-12-08,538.81,3.3675000000000006
2016-12-09,4639.59,3.275
2016-12-10,378.82,3.0700000000000003
2016-12-11,387.02,3.13
2016-12-12,674.48,3.125
2016-12-13,2433.23,3.1100000000000003
2016-12-14,255.17,3.045
2016-12-15,1052.85,2.9375000000000004
2016-12-16,1114.52,2.73
2016-12-17,1055.51,2.825
2016-12-18,648.97,3.04
2016-12-19,432.77,2.9225000000000003
2016-12-20,6192.15,2.8249999999999997
2016-12-21,5559.29,2.705
2016-12-22,9445.78,2.6275000000000004
2016-12-23,1522.27,2.4850000000000003
2016-12-24,5254.03,2.7175000000000002
2016-12-25,3517.54,3.0
2016-12-26,10351.48,3.37
2016-12-27,6551.58,3.515
2016-12-28,12583.36,3.31
2016-12-29,4754.0,3.115
2016-12-30,5285.89,3.8175
2016-12-31,5718.75,3.835
2017-01-01,17569.1,3.6550000000000002
2017-01-02,7141.8,4.2525
2017-01-03,28909.98,4.6675
2017-01-04,62740.67,4.9475
2017-01-05,35060.42,4.83
2017-01-06,26376.28,4.675
2017-01-07,5480.44,4.5375000000000005
2017-01-08,17549.29,4.29
2017-01-09,8566.73,4.175000000000001
2017-01-10,14514.15,3.8775
2017-01-11,3424.27,4.0275
2017-01-12,5704.15,4.1850000000000005
2017-01-13,9669.12,4.2875000000000005
2017-01-14,2172.7,3.98
2017-01-15,730.91,4.075
2017-01-16,4249.13,4.305
2017-01-17,7206.63,4.3525
2017-01-18,2980.68,4.57
2017-01-19,2199.81,4.575
2017-01-20,3099.57,5.25
2017-01-21,728.12,4.5625
2017-01-22,1063.16,4.595000000000001
2017-01-23,6229.67,4.710000000000001
2017-01-24,3384.58,4.305000000000001
2017-01-25,1637.95,4.3025
2017-01-26,3715.5,4.25
2017-01-27,12016.78,4.2275
2017-01-28,720.16,4.2375
2017-01-29,735.85,4.2275
2017-01-30,3514.87,4.4425
2017-01-31,16402.64,4.41
2017-02-01,9633.62,4.0675
2017-02-02,11215.29,4.0625
2017-02-03,5009.3,4.2775
2017-02-04,2008.8,4.095
2017-02-05,2081.87,4.1525
2017-02-06,3028.06,4.2275
2017-02-07,9222.84,4.645
2017-02-08,27436.05,4.6
2017-02-09,6969.46,4.0525
2017-02-10,7255.57,4.4975000000000005
2017-02-11,2288.17,4.517499999999999
2017-02-12,35486.48,4.465
2017-02-13,11722.99,4.8375
2017-02-14,1661.9,4.965
2017-02-15,7075.08,5.075
2017-02-16,1379.18,5.0649999999999995
2017-02-17,6702.66,4.9825
2017-02-18,7290.96,5.16
2017-02-19,5735.16,5.165
2017-02-20,7098.52,4.83
2017-02-21,2838.42,4.5825
2017-02-22,1768.13,4.825
2017-02-23,2435.22,4.852500000000001
2017-02-24,4947.37,4.9775
2017-02-25,4879.53,5.0775
2017-02-26,881.11,5.035
2017-02-27,14660.98,4.845
2017-02-28,20017.1,4.8325
2017-03-01,94296.93,5.817500000000001
2017-03-02,20358.34,5.795
2017-03-03,6412.73,5.585
2017-03-04,15594.68,5.7725
2017-03-05,11095.44,5.96
2017-03-06,21628.02,5.87
2017-03-07,10015.18,5.555
2017-03-08,6824.88,5.41
2017-03-09,28858.35,5.1325
2017-03-10,33746.83,5.2524999999999995
2017-03-11,40182.83,6.612499999999999
2017-03-12,250809.36,7.5424999999999995
2017-03-13,120035.72,8.09
2017-03-14,152345.78,9.1225
2017-03-15,308979.35,9.365
2017-03-16,161454.84,8.690000000000001
2017-03-17,159035.39,7.2725
2017-03-18,97931.96,7.405
2017-03-19,69696.43,8.504999999999999
2017-03-20,66916.68,8.3225
