Dates,Volume,Price
2017-07-14,48.52,1.095
2017-07-15,507.92,1.7650000000000001
2017-07-16,223.0,1.6125
2017-07-17,66.06,1.745
2017-07-18,88.6,2.43
2017-07-19,355.64,2.3
2017-07-20,125.96,2.1825
2017-07-21,24.28,1.9875
2017-07-22,28.49,1.9925000000000002
2017-07-23,41.33,1.92
2017-07-24,51.06,2.085
2017-07-25,81.08,1.9175000000000002
2017-07-26,1569.62,1.9324999999999999
2017-07-27,7.49,1.8
2017-07-28,65.86,1.915
2017-07-29,36.34,1.8649999999999998
2017-07-30,190.33,1.795
2017-07-31,36.64,1.9525
2017-08-01,46.2,2.0174999999999996
2017-08-02,27.01,2.0625
2017-08-03,15.92,2.0
2017-08-04,564.24,2.065
2017-08-05,138.18,2.3225
2017-08-06,368.76,2.405
2017-08-07,183.03,2.5675
2017-08-08,6.85,2.7425
2017-08-09,284.66,2.7225
2017-08-10,342.42,2.8
2017-08-11,1437.25,2.995
2017-08-12,489.95,3.0575
2017-08-13,45.07,2.965
2017-08-14,386.98,2.6625
2017-08-15,5.05,2.745
2017-08-16,58.14,2.605
2017-08-17,15.52,2.505
2017-08-18,1095.1,2.4699999999999998
2017-08-19,905.67,2.3825
2017-08-20,29.49,2.275
2017-08-21,657.02,2.135
2017-08-22,230.67,2.205
2017-08-23,0.0,2.83
2017-08-24,135.84,2.5375
2017-08-25,43.07,2.3049999999999997
2017-08-26,0.7,2.5
2017-08-27,6.13,2.5
2017-08-28,105.07,2.505
2017-08-29,5.4,2.51
2017-08-30,61.27,2.905
2017-08-31,36.71,3.1525
2017-09-01,0.0,3.3
2017-09-02,11.18,2.605
2017-09-03,232.48,2.32
2017-09-04,22.94,2.15
2017-09-05,1221.68,1.715
2017-09-06,151.06,2.4925
2017-09-07,342.08,2.6075
2017-09-08,12.32,2.5
2017-09-09,16.79,2.2649999999999997
2017-09-10,99.38,2.4299999999999997
2017-09-11,7.25,1.9625000000000001
2017-09-12,12.23,2.7
2017-09-13,70.3,2.46
2017-09-14,268.17,2.15
2017-09-15,2474.55,2.275
2017-09-16,22.7,2.0875
2017-09-17,48.68,2.305
2017-09-18,5.7,2.3449999999999998
2017-09-19,0.0,1.9
2017-09-20,185.85,2.125
2017-09-21,102.46,1.73
2017-09-22,73.82,2.08
2017-09-23,69.17,2.4375000000000004
2017-09-24,0.5204,2.4375000000000004
2017-09-25,0.0,2.7
2017-09-26,26.01,2.4475000000000002
2017-09-27,564.76,2.4450000000000003
2017-09-28,438.36,2.3825
2017-09-29,3.27,2.2975
2017-09-30,15.17,2.2975
2017-10-01,23.18,2.385
2017-10-02,5.66,2.405
2017-10-03,88.49,2.3125
2017-10-04,0.045,2.325
2017-10-05,249.41,2.225
2017-10-06,107.01,2.13
2017-10-07,6.27,2.2800000000000002
2017-10-08,1121.85,2.285
2017-10-09,28.07,2.1700000000000004
2017-10-10,64.88,2.0975
2017-10-11,2.08,2.04
2017-10-12,696.33,2.205
2017-10-13,2.75,2.4074999999999998
2017-10-14,488.79,2.3825
2017-10-15,916.07,2.045
2017-10-16,61.76,1.88
2017-10-17,715.05,2.06
2017-10-18,685.56,2.0775
2017-10-19,61.14,2.145
2017-10-20,442.4,1.8076999999999999
2017-10-21,0.0,1.9
2017-10-22,2.08,1.7974999999999999
2017-10-23,692.48,1.7425000000000002
2017-10-24,138.19,1.5575
2017-10-25,2723.3,1.8500000000000003
2017-10-26,7.55,1.8
2017-10-27,88.11,1.65
2017-10-28,176.19,1.8
2017-10-29,2.08,1.9000000000000001
2017-10-30,69.45,1.81
2017-10-31,50.66,1.835
2017-11-01,207.83,1.8275
2017-11-02,439.35,2.005
2017-11-03,0.1042,2.08
2017-11-04,485.32,2.0
2017-11-05,51.82,1.875
2017-11-06,6.57,1.8499999999999999
2017-11-07,83.4,2.03
2017-11-08,59.06,2.0425
2017-11-09,59.74,1.9675
2017-11-10,14.51,1.7875
2017-11-11,289.76,1.825
2017-11-12,65.73,1.8675
2017-11-13,120.35,1.9549999999999998
2017-11-14,30.19,1.9874999999999998
2017-11-15,356.19,1.95
2017-11-16,347.72,1.8925
2017-11-17,10.94,2.0075000000000003
2017-11-18,80.19,2.1025
2017-11-19,543.53,2.1174999999999997
2017-11-20,58.5,2.1325
2017-11-21,468.85,2.2199999999999998
2017-11-22,439.71,2.3899999999999997
2017-11-23,420908.0,2.5225
2017-11-24,545396.33,2.675
2017-11-25,979025.98,2.68
2017-11-26,883248.06,2.6675
2017-11-27,637915.56,2.6325
2017-11-28,968859.72,2.5075000000000003
2017-11-29,676336.93,2.37
2017-11-30,540223.89,2.46
2017-12-01,713635.02,2.5174999999999996
2017-12-02,958082.8,2.4899999999999998
2017-12-03,768706.65,2.5925
2017-12-04,964679.72,2.8075
2017-12-05,762354.98,2.6575000000000006
2017-12-06,751182.19,2.4299999999999997
2017-12-07,719599.95,2.4225
2017-12-08,728849.78,2.6075
2017-12-09,704850.68,2.565
2017-12-10,694145.2,2.7225
2017-12-11,1013699.12,3.245
2017-12-12,828765.2,3.6574999999999998
