Dates,Volume,Price
2016-01-01,172.2,4.01175e-05
2016-01-02,54.01,4.1992499999999995e-05
2016-01-03,67.93,4.1165e-05
2016-01-04,43.64,4.0965e-05
2016-01-05,48.62,4.0925000000000005e-05
2016-01-06,59.28,4.45575e-05
2016-01-07,258.26,5.32125e-05
2016-01-08,551.7,5.4915e-05
2016-01-09,219.9,5.688999999999999e-05
2016-01-10,150.2,6.04425e-05
2016-01-11,37.61,5.78575e-05
2016-01-12,56.75,6.0505e-05
2016-01-13,40.36,5.4715e-05
2016-01-14,177.55,4.188e-05
2016-01-15,85.51,3.85e-05
2016-01-16,103.12,4.11175e-05
2016-01-17,20.31,4.2285e-05
2016-01-18,150.92,3.7000000000000005e-05
2016-01-19,51.33,4.2495e-05
2016-01-20,183.5,4.1022499999999996e-05
2016-01-21,97.96,3.4437500000000004e-05
2016-01-22,19.0,3.4e-05
2016-01-23,35.71,3.418e-05
2016-01-24,32.48,3.142e-05
2016-01-25,35.44,2.9230000000000003e-05
2016-01-26,27.02,3.3575e-05
2016-01-27,54.15,3.3222499999999996e-05
2016-01-28,31.28,3.4227500000000004e-05
2016-01-29,25.28,3.589e-05
2016-01-30,51.19,3.5135e-05
2016-01-31,28.97,3.536e-05
2016-02-01,142.05,3.552e-05
2016-02-02,88.23,3.404e-05
2016-02-03,119.34,3.6135000000000006e-05
2016-02-04,60.85,3.6715e-05
2016-02-05,288.71,3.67275e-05
2016-02-06,200.76,3.6845000000000004e-05
2016-02-07,715.57,3.3534999999999997e-05
2016-02-08,58.53,3.378e-05
2016-02-09,114.72,3.628e-05
2016-02-10,576.89,3.7945000000000003e-05
2016-02-11,277.85,4.4162499999999996e-05
2016-02-12,293.86,4.5835e-05
2016-02-13,261.97,4.35925e-05
2016-02-14,897.38,3.8102499999999996e-05
2016-02-15,806.17,3.657749999999999e-05
2016-02-16,87.77,3.7539999999999996e-05
2016-02-17,278.72,3.58225e-05
2016-02-18,115.94,3.57e-05
2016-02-19,716.64,3.3005e-05
2016-02-20,147.0,3.2840000000000004e-05
