Dates,Volume,Price
2016-01-01,0.0,0.1731
2016-01-02,0.2274,0.11848
2016-01-03,0.0,0.06556
2016-01-04,0.0,0.06524
2016-01-05,0.0,0.06518
2016-01-06,0.0,0.06915
2016-01-07,0.0,0.06852
2016-01-08,0.0,0.06783
2016-01-09,1.26,0.122755
2016-01-10,0.9623,0.14885
2016-01-11,0.0,0.1184
2016-01-12,0.0,0.115
2016-01-13,51.63,0.14265
2016-01-14,18.7,0.18769999999999998
2016-01-15,0.0,0.2346
2016-01-16,3.17,0.16970000000000002
2016-01-17,0.0,0.1068
2016-01-18,6.53,0.15799999999999997
2016-01-19,3.8,0.1765
2016-01-20,0.0,0.1216
2016-01-21,0.0,0.1135
2016-01-22,0.0,0.1152
2016-01-23,0.0,0.1192
2016-01-24,0.03935,0.1466
2016-01-25,0.1509,0.14805000000000001
2016-01-26,0.1243,0.12340000000000001
2016-01-27,11.74,0.1186
2016-01-28,0.0,0.1177
2016-01-29,0.0,0.117
2016-01-30,0.0,0.1145
2016-01-31,0.0,0.1152
2016-02-01,0.19,0.1327
2016-02-02,0.1472,0.1472
2016-02-03,0.0,0.1563
2016-02-04,0.0,0.1546
2016-02-05,0.0,0.1507
2016-02-06,0.0,0.1512
2016-02-07,0.0,0.1491
2016-02-08,4.34,0.15352500000000002
2016-02-09,38.39,0.16670000000000001
2016-02-10,0.06346,0.16565000000000002
2016-02-11,1.22,0.15680000000000002
2016-02-12,154.77,0.317625
2016-02-13,60.92,0.190475
2016-02-14,70.09,0.185175
2016-02-15,64.32,0.198975
2016-02-16,0.0,0.2294
2016-02-17,0.4225,0.2477
2016-02-18,0.0,0.2522
2016-02-19,54.3,0.2243
2016-02-20,30.25,0.1804
2016-02-21,1.53,0.17715
2016-02-22,15.33,0.168
2016-02-23,8.34,0.16699999999999998
2016-02-24,0.0,0.1652
2016-02-25,0.0,0.1667
2016-02-26,3.27,0.16225
2016-02-27,0.0,0.1567
2016-02-28,1.53,0.15815
2016-02-29,15.02,0.159975
2016-03-01,8.75,0.15415
2016-03-02,2.31,0.1419
2016-03-03,0.0,0.1385
2016-03-04,1.54,0.14435
2016-03-05,8.76,0.15860000000000002
2016-03-06,237.36,0.172125
2016-03-07,80.97,0.15138500000000002
2016-03-08,30.59,0.1431
2016-03-09,77.26,0.154675
2016-03-10,10.98,0.1769
2016-03-11,22.56,0.17320000000000002
2016-03-12,23.76,0.17445
2016-03-13,30.89,0.17507499999999998
2016-03-14,0.2026,0.18430000000000002
2016-03-15,16.01,0.1563
2016-03-16,41.24,0.144
2016-03-17,403.18,0.416625
2016-03-18,951.95,0.462925
2016-03-19,673.94,0.243675
2016-03-20,2973.81,0.19865
2016-03-21,913.47,0.17970000000000003
2016-03-22,106.5,0.16210000000000002
2016-03-23,196.8,0.16949999999999998
2016-03-24,138.53,0.1694
2016-03-25,137.66,0.17275
2016-03-26,404.66,0.16570000000000001
2016-03-27,212.62,0.15697499999999998
2016-03-28,89.63,0.15215
2016-03-29,112.17,0.15705000000000002
2016-03-30,0.0,0.166
2016-03-31,26.37,0.15810000000000002
2016-04-01,341.79,0.1625
2016-04-02,22.34,0.163425
2016-04-03,105.24,0.162075
2016-04-04,109.24,0.1623
2016-04-05,296.52,0.15835
2016-04-06,222.75,0.157925
2016-04-07,19.45,0.153525
2016-04-08,0.156,0.15560000000000002
2016-04-09,81.52,0.14007499999999998
2016-04-10,1.23,0.1433
2016-04-11,0.0,0.1444
2016-04-12,26.24,0.12935
2016-04-13,50.85,0.122475
2016-04-14,62.36,0.127775
2016-04-15,5.04,0.133325
2016-04-16,8.37,0.135375
2016-04-17,14.99,0.14745
2016-04-18,10.35,0.15002500000000002
2016-04-19,0.0,0.1438
2016-04-20,1.64,0.15925
2016-04-21,1.45,0.15375
2016-04-22,11.25,0.154725
2016-04-23,5.97,0.15209999999999999
2016-04-24,23.74,0.14502500000000002
2016-04-25,100.71,0.14202499999999998
2016-04-26,64.87,0.13161
2016-04-27,36.16,0.133325
2016-04-28,16.46,0.1447
2016-04-29,0.0,0.1503
2016-04-30,5.45,0.1464
2016-05-01,55.1,0.153475
2016-05-02,6.32,0.15602499999999997
2016-05-03,3.62,0.14845
2016-05-04,2.88,0.15492499999999998
2016-05-05,19.65,0.1583
2016-05-06,56.47,0.152375
2016-05-07,8.26,0.14925
2016-05-08,0.0,0.1526
2016-05-09,23.83,0.1471
2016-05-10,0.0,0.1514
2016-05-11,0.0,0.152
2016-05-12,0.1501,0.1508
2016-05-13,13.34,0.1448
