Dates,Volume,Price
2017-07-31,1364069.69,391.865
2017-08-01,44939867.63,581.8975
2017-08-02,39430900.09,493.58
2017-08-03,39012988.12,331.49999999999994
2017-08-04,26697590.83,243.7275
2017-08-05,19175891.13,228.5425
2017-08-06,89374025.1,303.875
2017-08-07,65405748.92,341.21999999999997
2017-08-08,31524578.59,321.0675
2017-08-09,26331114.65,289.15500000000003
2017-08-10,37100135.8,306.1825
2017-08-11,13359671.69,324.47249999999997
2017-08-12,13655828.8,305.6925
2017-08-13,19118045.5,304.04999999999995
2017-08-14,11537495.55,298.7075
2017-08-15,10407736.35,297.97
2017-08-16,72997662.11,371.755
2017-08-17,350422575.89,587.5925
2017-08-18,382644710.5,749.47
2017-08-19,176097781.09,746.2325
2017-08-20,137835348.17,658.015
2017-08-21,127212595.92,647.71
2017-08-22,44395029.53,680.2125000000001
2017-08-23,47944401.5,649.155
2017-08-24,32464569.83,633.035
2017-08-25,18170375.11,626.18
2017-08-26,40956416.01,617.8199999999999
2017-08-27,19001371.41,603.9625
2017-08-28,43470346.16,564.1825
2017-08-29,47761724.91,566.9749999999999
2017-08-30,27937832.9,588.165
2017-08-31,37807706.16,615.3775
2017-09-01,36984224.54,602.04
2017-09-02,27470981.39,591.1125
2017-09-03,39354607.68,559.3725000000001
2017-09-04,30106018.14,524.6925
2017-09-05,54825116.2,597.7025
2017-09-06,70423045.63,659.61
2017-09-07,65565655.08,636.1999999999999
2017-09-08,24260056.8,591.9375
2017-09-09,27588948.77,563.7325
2017-09-10,19801627.19,563.2975
2017-09-11,22082978.96,550.1675
2017-09-12,35647701.89,513.3775
2017-09-13,43447407.4,448.5025
2017-09-14,81380795.6,392.78249999999997
2017-09-15,35057627.63,438.58
2017-09-16,16667495.97,435.24249999999995
2017-09-17,33211175.33,463.99249999999995
2017-09-18,50064941.67,504.8825
2017-09-19,49416655.67,503.4525
2017-09-20,34350076.54,447.97499999999997
2017-09-21,26731878.33,413.755
2017-09-22,15542354.15,419.85249999999996
2017-09-23,14388923.18,425.615
2017-09-24,23480486.36,437.59000000000003
2017-09-25,14765728.97,453.2275
2017-09-26,30195113.53,455.56000000000006
2017-09-27,34380897.03,461.50749999999994
2017-09-28,21350204.92,447.1925
2017-09-29,24220359.29,441.28
2017-09-30,24068045.14,427.91499999999996
2017-10-01,30198291.7,420.0675
2017-10-02,17248218.77,408.7025
2017-10-03,46419226.31,377.92
2017-10-04,38188747.04,355.5025
2017-10-05,19726320.95,361.26750000000004
2017-10-06,11726397.59,361.3525
2017-10-07,22147895.06,350.705
2017-10-08,42738393.43,320.52000000000004
2017-10-09,40789265.44,321.0625
2017-10-10,19338916.48,315.2925
2017-10-11,32051057.84,315.5325
2017-10-12,36812373.16,311.7425
2017-10-13,21544074.06,320.99249999999995
2017-10-14,11896226.69,316.69
2017-10-15,8702010.54,313.9775
2017-10-16,88485919.9,347.48
2017-10-17,40142126.1,346.69500000000005
2017-10-18,17971549.74,332.81
2017-10-19,14375667.89,327.5525
2017-10-20,10098593.04,322.6325
2017-10-21,31515652.72,331.11249999999995
2017-10-22,20958214.24,316.79
2017-10-23,25115720.96,318.87
2017-10-24,11348229.55,324.72
2017-10-25,23659411.7,335.345
2017-10-26,45524489.34,352.16999999999996
2017-10-27,67773673.63,391.26
2017-10-28,259090603.37,448.0425000000001
2017-10-29,87034115.9,448.87
2017-10-30,43638797.69,440.7525
2017-10-31,122331291.42,486.48
2017-11-01,170606048.18,544.775
2017-11-02,212978833.44,608.4975
2017-11-03,136414146.92,611.225
2017-11-04,88707513.0,612.025
2017-11-05,99875447.46,614.8325
2017-11-06,43387451.36,598.4075
2017-11-07,129168410.93,596.8924999999999
2017-11-08,88271349.36,638.7
2017-11-09,562027429.83,830.5375
2017-11-10,404695851.15,1156.8725
2017-11-11,877406443.96,1645.3325
2017-11-12,361634817.91,1311.0375000000001
2017-11-13,165309100.46,1289.9775
2017-11-14,135275562.63,1230.6
2017-11-15,203434765.52,1037.2975000000001
2017-11-16,246137619.18,1034.915
2017-11-17,237178090.81,1241.7375
2017-11-18,114092155.08,1202.25
2017-11-19,75604482.13,1211.48
2017-11-20,87834756.56,1202.29
2017-11-21,135737842.08,1244.72
2017-11-22,301664725.36,1479.25
2017-11-23,265161800.14,1645.585
2017-11-24,168521398.64,1581.2025
2017-11-25,73523501.34,1630.8775
