Dates,Volume,Price
2016-01-01,14566820.95,433.96750000000003
2016-01-02,23490162.61,430.41249999999997
2016-01-03,22943968.22,431.97
2016-01-04,19499588.99,432.15999999999997
2016-01-05,18702334.67,429.7825
2016-01-06,58253615.03,443.4825
2016-01-07,41594025.32,454.83750000000003
2016-01-08,17967113.95,450.1575
2016-01-09,19778456.68,445.5
2016-01-10,25358480.83,446.69
2016-01-11,19913400.66,446.0775
2016-01-12,39525195.32,435.3325
2016-01-13,19948730.59,430.515
2016-01-14,107060613.39,399.0625
2016-01-15,68297105.65,373.60249999999996
2016-01-16,25464382.4,383.985
2016-01-17,26546465.91,381.84250000000003
2016-01-18,25417876.87,381.61
2016-01-19,76873917.15,398.4525
2016-01-20,37264942.18,413.025
2016-01-21,56548790.09,394.82000000000005
2016-01-22,23908533.75,386.74
2016-01-23,25770175.58,395.41749999999996
2016-01-24,26793044.72,396.38
2016-01-25,22384754.5,392.04499999999996
2016-01-26,17297117.36,392.88
2016-01-27,29717813.05,386.71000000000004
2016-01-28,51927041.84,377.305
2016-01-29,13720656.84,378.71
2016-01-30,14718855.75,373.755
2016-01-31,27728088.91,371.7675
2016-02-01,19123252.48,373.5325
2016-02-02,22266682.14,371.0075
2016-02-03,38961905.49,379.6375
2016-02-04,23688228.07,388.18499999999995
2016-02-05,29801286.8,380.59000000000003
2016-02-06,15395728.35,378.1275
2016-02-07,23424062.52,375.89750000000004
2016-02-08,20801701.37,374.24
2016-02-09,37137791.06,379.16749999999996
2016-02-10,23858467.37,379.3275
2016-02-11,20685663.27,382.30249999999995
2016-02-12,18757146.48,387.505
2016-02-13,29442484.67,397.8975
2016-02-14,34862753.81,403.495
2016-02-15,27726590.05,403.81
2016-02-16,37559686.21,412.515
2016-02-17,32541108.12,419.7075
2016-02-18,21991480.98,420.5
2016-02-19,48500793.67,430.5475
2016-02-20,44120520.96,437.7525
2016-02-21,24563748.2,436.785
2016-02-22,39915706.29,428.2025
2016-02-23,28041199.85,419.5375
2016-02-24,22692099.41,422.7225
2016-02-25,22642013.92,424.37249999999995
2016-02-26,18543436.43,430.015
2016-02-27,21876091.34,430.1525
2016-02-28,30077319.62,434.9575
2016-02-29,29312670.84,434.44
2016-03-01,24894311.79,429.7900000000001
2016-03-02,33188751.08,421.4225
2016-03-03,31416610.3,414.90749999999997
2016-03-04,51725937.08,401.3675
2016-03-05,25324456.27,402.5175
2016-03-06,25349627.97,409.84749999999997
2016-03-07,22204517.93,412.9775
2016-03-08,21035428.97,412.12
2016-03-09,23114636.62,414.085
2016-03-10,25469781.33,418.11250000000007
2016-03-11,24660321.63,414.2925
2016-03-12,14457108.0,412.0675
2016-03-13,20471909.73,413.4975
2016-03-14,20227610.88,414.78
2016-03-15,18509954.18,415.3275
2016-03-16,18409340.68,417.24
2016-03-17,27178165.73,411.845
2016-03-18,15084656.26,407.36750000000006
2016-03-19,12577521.63,410.2275
2016-03-20,17735457.25,410.745
2016-03-21,20425092.47,414.01
2016-03-22,16946522.38,416.7375
2016-03-23,16210672.62,415.57000000000005
2016-03-24,14431200.38,415.04
2016-03-25,11696306.67,415.96500000000003
2016-03-26,26137150.51,420.985
2016-03-27,18410749.99,422.96
2016-03-28,28765857.05,417.025
2016-03-29,17890792.61,413.015
2016-03-30,17407273.19,414.1775
2016-03-31,15852511.01,415.23749999999995
2016-04-01,13137339.89,417.3325
2016-04-02,9591214.82,418.675
2016-04-03,14031939.65,418.7475
2016-04-04,17260368.39,420.755
2016-04-05,13836754.91,421.41999999999996
2016-04-06,15200495.86,420.3425
2016-04-07,19810838.26,419.21
2016-04-08,12291880.83,416.745
2016-04-09,9806327.9,419.155
2016-04-10,15374195.04,420.5350000000001
2016-04-11,24580503.64,423.39000000000004
2016-04-12,16183793.93,424.05
2016-04-13,13038970.54,423.6925
2016-04-14,23214560.1,426.3575
2016-04-15,12517265.78,429.39
2016-04-16,10980868.31,427.67999999999995
2016-04-17,13951524.85,426.8425
2016-04-18,19713466.34,431.38
2016-04-19,32655415.81,437.8625
2016-04-20,28168774.29,445.2075
2016-04-21,22225157.27,446.6775
2016-04-22,18998211.55,447.47749999999996
2016-04-23,33984269.34,454.3275
2016-04-24,37614684.81,459.3275
2016-04-25,31451239.15,463.95500000000004
2016-04-26,41539684.76,456.375
2016-04-27,36369788.38,444.87250000000006
2016-04-28,20264761.95,451.2475
2016-04-29,15994805.53,451.755
2016-04-30,9838490.74,450.625
2016-05-01,32863011.95,447.625
2016-05-02,22292253.48,446.885
2016-05-03,17676609.71,447.79
2016-05-04,18765369.38,446.855
2016-05-05,31122708.07,453.71
2016-05-06,14247601.97,458.3075
2016-05-07,12689581.18,457.8625
2016-05-08,22322043.96,459.4675
2016-05-09,27247925.23,454.6875
2016-05-10,18137209.37,451.9
2016-05-11,22252919.49,452.6675
2016-05-12,14768796.02,454.6375
2016-05-13,9319128.91,455.7925
2016-05-14,9745309.9,457.4575
2016-05-15,16731954.01,455.82
2016-05-16,15741822.36,454.0325
2016-05-17,14884550.93,454.11749999999995
2016-05-18,26626097.5,448.2975
2016-05-19,21415312.04,441.9875
2016-05-20,10213550.36,442.68
2016-05-21,12691382.29,441.11
2016-05-22,15885933.69,441.635
2016-05-23,14837671.76,444.92999999999995
2016-05-24,16954105.43,448.11249999999995
2016-05-25,17093327.23,451.25
2016-05-26,63894987.38,464.82000000000005
2016-05-27,75400711.07,499.27
2016-05-28,80753301.33,520.3824999999999
2016-05-29,41433165.43,526.3249999999999
2016-05-30,60896411.69,530.3125
2016-05-31,38742660.86,532.47
2016-06-01,28380698.71,536.63
2016-06-02,59464310.87,553.0475
2016-06-03,50353517.34,573.1324999999999
2016-06-04,37233994.18,574.5675
2016-06-05,37131086.56,579.2225
2016-06-06,49082472.71,573.5275
2016-06-07,28706216.31,576.5775000000001
2016-06-08,28010575.91,576.2925
2016-06-09,26290866.62,575.745
2016-06-10,24790441.26,584.5975
2016-06-11,139684630.33,633.6975
2016-06-12,149442548.73,684.4099999999999
2016-06-13,92458349.24,685.605
2016-06-14,53863568.9,685.3575000000001
2016-06-15,169704647.02,727.285
2016-06-16,160302360.32,745.3025
2016-06-17,91056993.79,750.21
2016-06-18,45805980.62,755.0725
2016-06-19,83637617.46,744.255
2016-06-20,166828425.88,689.9075
2016-06-21,129550795.89,630.585
2016-06-22,154289129.68,595.0575
2016-06-23,128990817.06,645.3824999999999
2016-06-24,67442141.07,662.3249999999999
2016-06-25,56403088.15,641.005
2016-06-26,63747137.15,633.9075
2016-06-27,49673830.24,645.77
2016-06-28,50898093.64,637.2749999999999
2016-06-29,58215062.66,652.71
2016-06-30,62394480.64,672.6975000000001
2016-07-01,46555796.93,686.1375
2016-07-02,66591456.99,676.4499999999999
2016-07-03,42756935.48,664.9675
2016-07-04,36687264.23,668.8325
2016-07-05,31708100.51,669.25
2016-07-06,97639342.03,647.2725
2016-07-07,49243011.02,647.9075
2016-07-08,62061207.33,649.695
2016-07-09,18955766.48,646.9300000000001
2016-07-10,29925667.34,647.815
2016-07-11,44047499.67,658.755
2016-07-12,41791464.25,664.9425
2016-07-13,31748496.83,656.6475
2016-07-14,23817856.65,661.3525
2016-07-15,13557557.05,661.5050000000001
2016-07-16,31614610.5,669.5225
2016-07-17,28810844.41,672.9350000000001
2016-07-18,20401885.27,669.5875
2016-07-19,25075066.39,666.825
2016-07-20,21351309.78,663.3375
2016-07-21,43283429.35,657.715
2016-07-22,19544654.54,653.105
2016-07-23,19642346.73,657.4224999999999
2016-07-24,22564554.46,656.72
2016-07-25,32177578.58,652.4075
2016-07-26,19568531.49,653.51
2016-07-27,18452583.66,654.36
2016-07-28,17757920.48,654.4875
2016-07-29,12721755.54,654.9449999999999
2016-07-30,39918066.14,638.2375000000001
2016-07-31,41229298.83,615.0774999999999
2016-08-01,75338595.54,551.385
2016-08-02,47170751.56,541.755
2016-08-03,25725471.16,571.7625
2016-08-04,15992890.37,574.165
2016-08-05,14676841.26,580.78
2016-08-06,15491523.1,588.5450000000001
2016-08-07,14726811.56,589.9350000000001
2016-08-08,15304277.91,586.6975
2016-08-09,29376783.81,589.395
2016-08-10,23640952.51,590.83
2016-08-11,15009452.98,587.0799999999999
2016-08-12,11357750.81,586.1525
2016-08-13,18970094.63,574.845
2016-08-14,19218972.96,567.565
2016-08-15,21634083.15,573.475
2016-08-16,18886741.55,575.5725
2016-08-17,17509679.71,574.0225
2016-08-18,14701426.29,573.015
2016-08-19,13416843.63,578.2375
2016-08-20,8294321.53,581.6075000000001
2016-08-21,19658058.08,584.2900000000001
2016-08-22,18772369.53,584.8775
2016-08-23,16337141.09,581.1274999999999
2016-08-24,18885349.63,577.285
2016-08-25,12329289.75,578.9725
2016-08-26,10747219.53,574.345
2016-08-27,7377921.72,572.715
2016-08-28,13760854.22,574.8000000000001
2016-08-29,15895354.76,576.0
2016-08-30,14338795.45,575.2850000000001
2016-08-31,14860164.25,605.0525
2016-09-01,15315755.66,573.5450000000001
2016-09-02,21055514.22,587.9350000000001
2016-09-03,18646011.82,603.5925
2016-09-04,15369832.26,606.1725
2016-09-05,14864563.84,607.925
2016-09-06,18429525.07,611.5925
2016-09-07,22710390.64,619.8325
2016-09-08,17710151.19,623.4075
2016-09-09,9600113.74,624.05
2016-09-10,22467346.61,613.4225
2016-09-11,17058938.65,606.81
2016-09-12,16850869.45,608.3725000000001
2016-09-13,14878860.18,609.175
2016-09-14,13892193.46,608.37
2016-09-15,13353736.94,607.85
2016-09-16,9724490.11,607.2475000000001
2016-09-17,10004923.58,608.845
2016-09-18,12981851.28,609.9875
2016-09-19,13809380.94,609.0725
2016-09-20,22059386.51,601.7275000000001
2016-09-21,13463966.31,596.35
2016-09-22,15567036.24,599.09
2016-09-23,8196210.74,602.9825
2016-09-24,8038079.81,601.8249999999999
2016-09-25,16700407.53,603.665
2016-09-26,15534315.77,605.6775
2016-09-27,11485005.36,604.915
2016-09-28,15403975.48,604.6524999999999
2016-09-29,14534745.84,605.9675
2016-09-30,10415543.03,610.905
2016-10-01,10096653.77,611.495
2016-10-02,13462741.8,610.99
2016-10-03,15300692.52,609.935
2016-10-04,14360536.88,610.6025000000001
2016-10-05,13276337.45,611.0024999999999
2016-10-06,20167399.2,613.8874999999999
2016-10-07,8467434.0,617.03
2016-10-08,8320759.4,616.1949999999999
2016-10-09,15597892.34,616.1575
2016-10-10,35367127.91,628.9225
2016-10-11,17240000.95,637.7850000000001
2016-10-12,16387361.92,635.84
2016-10-13,20114873.61,636.16
2016-10-14,7970927.57,637.8525
2016-10-15,8306925.43,638.93
2016-10-16,17742610.19,638.4175
2016-10-17,15725013.13,636.07
2016-10-18,22379197.69,631.44
2016-10-19,13252110.98,628.4275
2016-10-20,17836383.25,629.9075
2016-10-21,24154228.12,643.885
2016-10-22,14418212.04,654.6225
2016-10-23,21726106.55,650.88
2016-10-24,24179462.12,652.92
2016-10-25,31949607.32,663.8625
2016-10-26,31862181.34,679.2774999999999
2016-10-27,26829414.0,683.9
2016-10-28,38351348.64,701.6500000000001
2016-10-29,27793236.64,704.1600000000001
2016-10-30,26687188.09,696.33
2016-10-31,49453950.69,713.7475
2016-11-01,28452232.03,728.5475
2016-11-02,69067917.54,708.3025
2016-11-03,33762721.43,693.715
2016-11-04,15554565.72,701.1500000000001
2016-11-05,18363567.63,705.945
2016-11-06,21797370.12,706.3299999999999
2016-11-07,28262235.71,707.9725
2016-11-08,51548567.54,720.1700000000001
2016-11-09,23931322.76,716.58
2016-11-10,18386841.21,715.25
2016-11-11,19677656.63,709.4225
2016-11-12,25249834.8,699.2149999999999
2016-11-13,26613445.03,702.6675
2016-11-14,29562740.26,707.6249999999999
2016-11-15,58304902.39,726.375
2016-11-16,46942756.4,739.9499999999999
2016-11-17,29666065.54,741.7175
2016-11-18,19276573.28,746.9075
2016-11-19,34876785.19,735.3575
2016-11-20,24010681.87,733.895
2016-11-21,33225195.21,742.54
2016-11-22,28258203.98,743.1700000000001
2016-11-23,27531777.52,736.7025
2016-11-24,21299510.69,736.48
2016-11-25,16682481.58,735.2774999999999
2016-11-26,15735824.63,732.24
2016-11-27,25153838.93,732.1399999999999
2016-11-28,24030304.1,732.6699999999998
2016-11-29,29210351.41,737.7525
2016-11-30,40690942.17,747.92
2016-12-01,48893613.64,763.71
2016-12-02,30234128.1,765.8275
2016-12-03,14755120.48,764.665
2016-12-04,39082688.28,758.98
2016-12-05,25497771.6,756.485
2016-12-06,26755412.58,761.765
2016-12-07,22208497.22,767.1575
2016-12-08,18722048.47,769.3699999999999
2016-12-09,14049110.07,772.6575
2016-12-10,13269086.38,769.7674999999999
2016-12-11,22442991.37,773.8750000000001
2016-12-12,25894856.06,778.8275
2016-12-13,19326375.41,776.7550000000001
2016-12-14,20452116.66,776.275
2016-12-15,21650384.64,778.6274999999999
2016-12-16,18648778.51,785.0375
2016-12-17,11525747.48,787.81
2016-12-18,20238681.94,789.7099999999999
2016-12-19,27406319.09,794.0074999999999
2016-12-20,53411082.07,814.355
2016-12-21,60511618.45,848.2275
2016-12-22,91802931.23,888.905
2016-12-23,41576781.41,902.38
2016-12-24,37173377.51,882.2
2016-12-25,35002753.4,896.1625
2016-12-26,45966615.06,913.8625
2016-12-27,73811803.99,949.4875
2016-12-28,59226667.89,968.7625
2016-12-29,67449149.3,957.2775
2016-12-30,26379401.89,957.5725000000001
2016-12-31,40570922.99,979.1325
2017-01-01,66038073.34,1008.5925
2017-01-02,56085870.7,1023.0874999999999
2017-01-03,170584623.04,1084.8925
2017-01-04,244839289.77,1037.48
2017-01-05,179160668.84,938.8700000000001
2017-01-06,113037531.71,870.6374999999999
2017-01-07,70298340.37,900.4275
2017-01-08,55963281.18,895.5049999999999
2017-01-09,48644106.82,901.3975
2017-01-10,160194109.8,839.77
2017-01-11,93986701.88,790.825
2017-01-12,72555875.62,810.2475
2017-01-13,36594482.0,822.9075
2017-01-14,20004735.1,818.965
2017-01-15,27592899.17,825.7175
2017-01-16,72272727.15,864.605
2017-01-17,61042392.11,882.8075
2017-01-18,52300814.98,885.8075
2017-01-19,34847130.33,892.1274999999999
2017-01-20,37129176.59,907.785
2017-01-21,44074299.79,916.42
2017-01-22,30261054.5,919.7825
2017-01-23,53468911.31,907.4925000000001
2017-01-24,34014866.15,894.3725
2017-01-25,30795685.98,905.6949999999999
2017-01-26,28503144.41,916.0125
2017-01-27,13251844.02,917.8125
2017-01-28,10214368.33,917.035
2017-01-29,17604172.47,917.2850000000001
2017-01-30,51869216.53,942.7625
2017-01-31,44035816.37,973.5775000000001
2017-02-01,50633910.56,992.2575
2017-02-02,62431017.97,1007.48
2017-02-03,40406542.54,1021.5799999999999
2017-02-04,31669956.98,1021.4175
2017-02-05,32828350.27,1020.5525
2017-02-06,41318349.43,1037.05
2017-02-07,68336320.22,1048.6525000000001
2017-02-08,145839317.48,1008.0325
2017-02-09,60639111.4,982.2975
2017-02-10,28504495.1,1001.045
2017-02-11,14825023.07,1001.2775000000001
2017-02-12,32785064.4,993.6475
2017-02-13,39810076.3,1000.99
2017-02-14,23569549.45,1006.7975
2017-02-15,39114743.32,1021.9475
2017-02-16,47815360.54,1041.15
2017-02-17,26856521.18,1052.395
2017-02-18,18876881.86,1048.83
2017-02-19,32959720.15,1062.3049999999998
2017-02-20,62908569.43,1098.29
2017-02-21,53647453.34,1116.6425
2017-02-22,75663167.44,1146.8775
2017-02-23,126978010.75,1163.1375
2017-02-24,53003830.46,1155.44
2017-02-25,35750258.05,1157.1775
2017-02-26,42035366.64,1180.125
2017-02-27,60371869.57,1190.5175
2017-02-28,61964760.57,1197.88
2017-03-01,98040639.32,1244.2675
2017-03-02,85876262.86,1270.23
2017-03-03,48597934.9,1265.5324999999998
2017-03-04,32104972.38,1262.73
2017-03-05,39591110.81,1272.46
2017-03-06,108673876.49,1234.8125
2017-03-07,116342973.91,1189.645
2017-03-08,70427061.57,1168.6550000000002
2017-03-09,223836041.81,1155.7075
2017-03-10,82387198.06,1149.77
2017-03-11,53441762.07,1200.1725000000001
2017-03-12,74376298.14,1228.635
2017-03-13,56058617.23,1238.8075
2017-03-14,54486699.63,1247.4875000000002
2017-03-15,159409024.53,1201.3775
2017-03-16,183879768.71,1120.7425
2017-03-17,212772055.65,1021.7199999999999
2017-03-18,108128237.76,1006.24
2017-03-19,63833143.48,1033.165
2017-03-20,101051998.73,1084.55
2017-03-21,120730492.05,1071.4175
2017-03-22,58898141.13,1041.1399999999999
2017-03-23,130042865.54,985.115
2017-03-24,118395054.45,948.0975
2017-03-25,83255983.42,971.6775
2017-03-26,92332221.14,1006.3075000000001
2017-03-27,83567551.46,1043.355
2017-03-28,71261535.48,1038.3300000000002
2017-03-29,77633883.53,1038.3500000000001
2017-03-30,96543920.02,1060.1000000000001
2017-03-31,55020078.21,1084.11
2017-04-01,77853933.84,1091.8025
