Dates,Volume,Price
2016-01-01,396.92,1.1725
2016-01-02,90.38,1.17
2016-01-03,245.96,1.1375
2016-01-04,1083.26,1.1025
2016-01-05,509.94,1.0632750000000002
2016-01-06,1316.39,1.1199999999999999
2016-01-07,677.57,1.1199999999999999
2016-01-08,1080.81,1.1400000000000001
2016-01-09,600.82,1.1475000000000002
2016-01-10,253.65,1.0827
2016-01-11,123.79,1.1125
2016-01-12,1244.77,1.0491750000000002
2016-01-13,200.49,1.01345
2016-01-14,6920.89,0.8132999999999999
2016-01-15,1327.93,0.804775
2016-01-16,2398.65,0.845725
2016-01-17,2126.53,0.855675
2016-01-18,258.32,0.820125
2016-01-19,750.68,0.905525
2016-01-20,720.53,0.873925
2016-01-21,1096.21,0.8109
2016-01-22,455.78,0.8289
2016-01-23,1287.88,0.8442000000000001
2016-01-24,1611.6,0.8209500000000001
2016-01-25,2581.53,0.80715
2016-01-26,4769.09,0.928
2016-01-27,1237.38,0.9558
2016-01-28,632.25,0.8988
2016-01-29,378.93,0.8578
2016-01-30,252.87,0.797275
2016-01-31,2095.29,0.79025
2016-02-01,121.33,0.795725
2016-02-02,1261.68,0.79595
2016-02-03,1460.83,0.8628500000000001
2016-02-04,333.0,0.8756999999999999
2016-02-05,46.04,0.828325
2016-02-06,110.8,0.83825
2016-02-07,1521.41,0.86925
2016-02-08,4389.68,0.855725
2016-02-09,12480.78,0.780375
2016-02-10,3794.8,0.814675
2016-02-11,4984.8,0.793125
2016-02-12,768.57,0.8121
2016-02-13,700.13,0.833925
2016-02-14,367.66,0.8288249999999999
2016-02-15,982.17,0.8423999999999999
2016-02-16,1345.7,0.866625
2016-02-17,678.95,0.8900750000000001
2016-02-18,688.98,0.892675
2016-02-19,1766.95,0.922925
2016-02-20,2264.36,0.90385
2016-02-21,1476.64,0.9045000000000001
2016-02-22,3626.83,0.813
2016-02-23,3677.19,0.8146
2016-02-24,1065.23,0.8074749999999999
2016-02-25,3565.4,0.766275
2016-02-26,367.24,0.7832250000000001
2016-02-27,391.79,0.812625
2016-02-28,1224.29,0.8091750000000001
2016-02-29,3055.21,0.759125
2016-03-01,833.46,0.7515
2016-03-02,2810.56,0.74055
2016-03-03,2184.54,0.742175
2016-03-04,1657.29,0.7322000000000001
2016-03-05,13497.32,0.7019
2016-03-06,8215.11,0.7848249999999999
2016-03-07,6862.24,0.8755
2016-03-08,3310.9,0.9313
2016-03-09,3364.8,0.983125
2016-03-10,1271.89,1.045
2016-03-11,2032.34,1.0350000000000001
2016-03-12,694.27,1.025
2016-03-13,5440.2,0.9964999999999999
2016-03-14,2859.26,1.061275
2016-03-15,8097.87,1.24
2016-03-16,5281.28,1.26
2016-03-17,1931.06,1.2325
2016-03-18,1410.07,1.18
2016-03-19,1298.84,1.1875
2016-03-20,4246.57,1.165
2016-03-21,1077.96,1.1775
2016-03-22,1337.96,1.21
2016-03-23,25125.2,1.1949999999999998
2016-03-24,6396.82,1.21
2016-03-25,17680.65,1.3824999999999998
2016-03-26,12859.12,1.45
2016-03-27,1282.82,1.4000000000000001
2016-03-28,3429.42,1.52
2016-03-29,2879.6,1.5775000000000001
2016-03-30,11108.67,1.5625
2016-03-31,8508.86,1.465
2016-04-01,6270.46,1.48
2016-04-02,2421.57,1.53
2016-04-03,1233.03,1.5524999999999998
2016-04-04,2063.06,1.485
2016-04-05,2213.39,1.4425000000000001
2016-04-06,1392.65,1.3925
2016-04-07,3807.37,1.345
2016-04-08,3913.91,1.2974999999999999
2016-04-09,9869.15,1.152025
2016-04-10,2952.69,1.09
2016-04-11,731.53,1.0825
2016-04-12,2543.61,1.08
2016-04-13,10450.54,1.03585
2016-04-14,3290.61,0.9367
2016-04-15,622.55,0.939875
2016-04-16,857.58,0.975825
2016-04-17,749.9,0.9687
2016-04-18,711.14,1.042
2016-04-19,1756.79,1.0397750000000001
2016-04-20,2591.75,1.1617
2016-04-21,233.59,1.0374999999999999
2016-04-22,2422.54,1.0283
2016-04-23,1553.87,1.03475
2016-04-24,6130.48,1.1637250000000001
2016-04-25,3151.72,1.201325
2016-04-26,1362.11,1.1
2016-04-27,5959.97,1.084575
2016-04-28,1140.52,1.1724999999999999
2016-04-29,9250.83,1.096175
2016-04-30,3605.18,1.15135
2016-05-01,784.02,1.1225
2016-05-02,239.71,1.065
2016-05-03,2514.85,1.0875000000000001
2016-05-04,2560.17,1.0628250000000001
2016-05-05,865.34,1.04
2016-05-06,214.99,1.0225
2016-05-07,472.7,1.0274999999999999
2016-05-08,908.01,1.0675000000000001
2016-05-09,2781.2,1.095
2016-05-10,2191.16,1.1099999999999999
2016-05-11,5774.89,1.071525
2016-05-12,5457.88,0.9866750000000001
2016-05-13,3793.79,0.9649000000000001
2016-05-14,538.52,0.9770749999999999
2016-05-15,1540.79,0.98215
2016-05-16,265.14,0.998275
2016-05-17,1525.14,0.99085
2016-05-18,3420.84,0.98125
2016-05-19,753.22,0.9685250000000001
2016-05-20,159.29,0.97205
2016-05-21,126.21,0.953425
2016-05-22,1152.49,0.97425
2016-05-23,532.64,0.9836499999999999
2016-05-24,7019.1,0.949
2016-05-25,1721.75,0.932575
2016-05-26,6608.54,0.9555750000000001
2016-05-27,2023.54,1.02075
2016-05-28,1031.93,0.9732500000000001
2016-05-29,845.98,0.999775
2016-05-30,1402.25,0.9930000000000001
2016-05-31,1164.78,1.040275
2016-06-01,87.35,1.0338
2016-06-02,966.71,1.0875000000000001
2016-06-03,595.55,1.09
2016-06-04,323.4,1.09
2016-06-05,823.22,1.165
2016-06-06,1495.82,1.21
2016-06-07,2153.48,1.3425
2016-06-08,4199.16,1.4224999999999999
2016-06-09,1542.1,1.4674999999999998
2016-06-10,1347.22,1.5475
2016-06-11,4397.35,1.8425000000000002
2016-06-12,10536.01,1.9124999999999999
2016-06-13,2837.43,1.9
2016-06-14,6943.77,1.825
2016-06-15,3571.44,1.7875
2016-06-16,663.1,1.7225000000000001
2016-06-17,4674.82,1.8175
2016-06-18,2410.74,1.8475000000000001
2016-06-19,1703.23,1.7875
2016-06-20,1513.45,1.6725
2016-06-21,1402.49,1.5474999999999999
2016-06-22,1923.05,1.5875
2016-06-23,8117.82,1.62
2016-06-24,257.33,1.5500000000000003
2016-06-25,1265.39,1.4375
2016-06-26,2403.31,1.5425
2016-06-27,3997.05,1.5999999999999999
2016-06-28,7296.77,1.66
2016-06-29,29791.97,2.0575
2016-06-30,2583.78,2.0975
2016-07-01,4989.67,1.9549999999999998
2016-07-02,2407.6,1.7575
2016-07-03,298.6,1.7575
2016-07-04,947.34,1.7325
2016-07-05,5972.76,1.9475000000000002
2016-07-06,2407.45,1.915
2016-07-07,852.77,1.9525
2016-07-08,974.08,1.8275000000000001
2016-07-09,1788.75,1.795
2016-07-10,5757.17,1.7625000000000002
2016-07-11,2095.41,1.89
2016-07-12,1162.68,1.9
2016-07-13,1103.62,1.9
2016-07-14,3186.01,1.8275000000000001
2016-07-15,2477.43,1.8475
2016-07-16,2223.49,1.8525
2016-07-17,1935.87,1.7975
2016-07-18,2236.92,1.7775
2016-07-19,4718.7,1.7674999999999998
2016-07-20,2339.82,1.7374999999999998
2016-07-21,1819.0,1.6675
2016-07-22,2243.39,1.6099999999999999
2016-07-23,744.83,1.6150000000000002
2016-07-24,10583.52,1.4775
2016-07-25,4882.79,1.4375
2016-07-26,4103.4,1.425
2016-07-27,3105.13,1.4625
2016-07-28,719.32,1.4500000000000002
2016-07-29,1923.45,1.535
2016-07-30,1297.93,1.485
2016-07-31,1271.96,1.465
2016-08-01,4169.48,1.18
2016-08-02,5345.48,1.2475
2016-08-03,7094.88,1.285
2016-08-04,1435.36,1.3325000000000002
2016-08-05,3623.09,1.4275
2016-08-06,9849.17,1.5474999999999999
2016-08-07,6224.22,1.6400000000000001
2016-08-08,7955.58,1.8050000000000002
2016-08-09,26808.98,1.825
2016-08-10,4079.8,1.8649999999999998
2016-08-11,18662.47,2.085
2016-08-12,9011.19,2.2625
2016-08-13,5139.31,2.105
2016-08-14,3686.28,2.065
2016-08-15,1620.5,2.0225
2016-08-16,1322.59,1.935
2016-08-17,653.48,1.975
2016-08-18,1056.27,2.05
2016-08-19,1705.94,2.2
2016-08-20,4246.1,2.365
2016-08-21,24398.07,2.7824999999999998
2016-08-22,10056.04,2.7725
2016-08-23,16050.93,2.6725000000000003
2016-08-24,7239.56,2.6500000000000004
2016-08-25,10353.41,2.36
2016-08-26,9356.12,2.3
2016-08-27,13367.47,2.3925
2016-08-28,29433.93,2.535
2016-08-29,12303.4,2.7224999999999997
2016-08-30,10154.29,2.5775
2016-08-31,58933.83,2.42
2016-09-01,50624.78,2.27
2016-09-02,20148.08,2.2425
2016-09-03,12050.93,2.2275
2016-09-04,8228.14,2.17
2016-09-05,14703.98,2.2525000000000004
2016-09-06,14130.43,2.315
2016-09-07,19728.2,2.4000000000000004
2016-09-08,19235.71,2.5275
2016-09-09,18867.15,2.5075
2016-09-10,15761.0,2.2800000000000002
2016-09-11,9066.56,2.335
2016-09-12,6173.12,2.3825
2016-09-13,6848.22,2.4325
2016-09-14,13109.24,2.5125
2016-09-15,2888.32,2.5225
2016-09-16,17512.12,2.5700000000000003
2016-09-17,29539.25,2.5975
2016-09-18,11194.69,2.5675
2016-09-19,6490.93,2.57
2016-09-20,9940.55,2.5225
2016-09-21,3901.95,2.4975
2016-09-22,8245.77,2.52
2016-09-23,7980.53,2.5275
2016-09-24,10548.71,2.55
2016-09-25,7569.17,2.55
2016-09-26,13264.64,2.5625
2016-09-27,40647.76,2.465
2016-09-28,9513.54,2.49
2016-09-29,4171.59,2.5825
2016-09-30,6786.65,2.5875
2016-10-01,5661.17,2.5475
2016-10-02,10261.49,2.615
2016-10-03,19668.91,2.5600000000000005
2016-10-04,2974.12,2.52
2016-10-05,8120.29,2.5425
2016-10-06,5765.71,2.595
2016-10-07,2873.81,2.6100000000000003
2016-10-08,5748.75,2.6075
2016-10-09,6302.78,2.6275
2016-10-10,16840.28,2.6550000000000002
2016-10-11,7935.24,2.6125
2016-10-12,6207.95,2.6725000000000003
2016-10-13,2720.83,2.7125000000000004
2016-10-14,17072.46,2.7575
2016-10-15,23707.17,2.89
2016-10-16,4465.09,2.955
2016-10-17,4842.09,2.8949999999999996
2016-10-18,7684.73,2.855
2016-10-19,1958.17,2.79
2016-10-20,1073.61,2.7475
2016-10-21,7071.43,2.8375
2016-10-22,6575.47,2.87
2016-10-23,1963.15,2.9
2016-10-24,7894.62,2.935
2016-10-25,7670.46,2.9675000000000002
2016-10-26,2762.57,2.9349999999999996
2016-10-27,13256.34,2.925
2016-10-28,8904.37,3.0675
2016-10-29,13496.46,2.9450000000000003
2016-10-30,9728.28,2.965
2016-10-31,3767.61,3.06
2016-11-01,7726.99,3.0575
2016-11-02,8725.05,2.85
2016-11-03,2871.53,2.9475
2016-11-04,478.29,2.97
2016-11-05,811.08,2.9525
2016-11-06,2151.92,2.94
2016-11-07,2192.49,2.9525
2016-11-08,4047.58,3.0225
2016-11-09,1759.01,2.9925
2016-11-10,1081.93,3.0199999999999996
2016-11-11,4928.47,3.0
2016-11-12,1044.8,3.0050000000000003
2016-11-13,7493.02,2.9725
2016-11-14,2509.57,3.0075
2016-11-15,4700.87,3.1125
