Dates,Volume,Price
2016-01-01,147.05,0.034495
2016-01-02,19.91,0.0350625
2016-01-03,39.66,0.0350175
2016-01-04,1812.0,0.030495
2016-01-05,18.26,0.0317825
2016-01-06,3.18,0.0342475
2016-01-07,8.54,0.0324
2016-01-08,34.21,0.0297225
2016-01-09,7.19,0.02532
2016-01-10,23.25,0.0279325
2016-01-11,0.5089,0.030442500000000004
2016-01-12,142.76,0.02777
2016-01-13,30.11,0.03069
2016-01-14,147.43,0.0232725
2016-01-15,623.15,0.024765000000000002
2016-01-16,1192.97,0.0347075
2016-01-17,1959.63,0.045475
2016-01-18,472.07,0.0474725
2016-01-19,125.63,0.0558775
2016-01-20,81.76,0.052985000000000004
2016-01-21,27.22,0.05119749999999999
2016-01-22,168.16,0.04585
2016-01-23,395.07,0.043274999999999994
2016-01-24,23.26,0.041645
2016-01-25,395.02,0.0517475
2016-01-26,37.69,0.05484
2016-01-27,1194.48,0.0556025
2016-01-28,84.47,0.0581
2016-01-29,35.59,0.0533475
2016-01-30,997.9,0.0586675
2016-01-31,749.82,0.063455
2016-02-01,103.92,0.0630625
2016-02-02,164.47,0.06238
2016-02-03,108.4,0.0675025
2016-02-04,97.43,0.062715
2016-02-05,253.81,0.06396
2016-02-06,139.45,0.0682375
2016-02-07,91.8,0.064725
2016-02-08,114.62,0.069295
2016-02-09,129.52,0.06899749999999999
2016-02-10,443.21,0.0645275
2016-02-11,877.11,0.0666975
2016-02-12,514.4,0.0729675
2016-02-13,122.41,0.07710499999999999
2016-02-14,80.74,0.072505
2016-02-15,174.37,0.07331750000000001
2016-02-16,986.24,0.0770775
2016-02-17,306.87,0.07461
2016-02-18,28.3,0.068005
2016-02-19,6.57,0.07331499999999999
2016-02-20,1065.97,0.0708025
2016-02-21,68.42,0.0701225
2016-02-22,0.0,0.06609
2016-02-23,29.34,0.06983500000000001
2016-02-24,192.15,0.06765
2016-02-25,326.18,0.0566675
2016-02-26,1264.39,0.0542825
2016-02-27,1063.82,0.050462499999999993
2016-02-28,710.45,0.048952499999999996
