Dates,Volume,Price
2018-01-23,145891.11,0.26915
2018-01-24,631568.09,0.26549999999999996
2018-01-25,667078.82,0.272875
2018-01-26,805307.48,0.283375
2018-01-27,891139.19,0.286975
2018-01-28,653356.44,0.252725
2018-01-29,361584.8,0.223375
2018-01-30,0.0,0.2267
2018-01-31,0.0,0.2093
2018-02-01,0.0,0.1872
2018-02-02,0.0,0.1981
2018-02-03,0.0,0.1688
2018-02-04,0.0,0.1418
2018-02-05,0.0,0.1601
2018-02-06,0.0,0.1534
2018-02-07,0.0,0.166
2018-02-08,0.0,0.1791
2018-02-09,0.0,0.1736
2018-02-10,0.0,0.1655
2018-02-11,45354.51,0.138875
2018-02-12,55303.02,0.1352
2018-02-13,131678.02,0.149075
2018-02-14,59031.26,0.1501
2018-02-15,95588.28,0.168175
2018-02-16,202176.98,0.188375
2018-02-17,232590.21,0.18482500000000002
2018-02-18,116075.06,0.18372499999999997
2018-02-19,105574.77,0.16825
2018-02-20,121603.84,0.153925
2018-02-21,140135.93,0.144825
2018-02-22,57146.53,0.151275
2018-02-23,80535.34,0.147925
2018-02-24,38059.14,0.14475
2018-02-25,85288.59,0.14552500000000002
2018-02-26,103533.57,0.148625
2018-02-27,60048.49,0.1437
2018-02-28,72256.24,0.150275
2018-03-01,73416.41,0.148
2018-03-02,140722.47,0.143725
2018-03-03,98588.51,0.1427
2018-03-04,249.37,0.1429
