Dates,Volume,Price
2017-09-21,655.69,0.130545
2017-09-22,4218.6,0.1010225
2017-09-23,7911.02,0.11204
2017-09-24,3827.17,0.0858225
2017-09-25,3631.9,0.08370250000000001
2017-09-26,2956.0,0.10475999999999999
2017-09-27,3724.68,0.110295
2017-09-28,3579.54,0.120325
2017-09-29,6390.02,0.1537
2017-09-30,2509.86,0.17365
2017-10-01,0.0,0.1544
2017-10-02,0.0,0.1513
2017-10-03,0.0,0.1479
2017-10-04,0.0,0.1516
2017-10-05,0.0,0.1533
2017-10-06,0.0,0.1556
2017-10-07,11892.58,0.22567500000000001
2017-10-08,15012.58,0.22635
2017-10-09,28181.43,0.24022500000000002
2017-10-10,20496.86,0.219575
2017-10-11,21192.78,0.210625
2017-10-12,27837.0,0.18982500000000002
2017-10-13,21777.5,0.18587499999999998
2017-10-14,16864.34,0.17065000000000002
2017-10-15,17214.05,0.16532500000000003
2017-10-16,19922.84,0.149425
2017-10-17,19910.06,0.152825
2017-10-18,36888.57,0.19899999999999998
2017-10-19,27938.72,0.23495
2017-10-20,15885.15,0.17905
2017-10-21,15886.75,0.1501
2017-10-22,16392.98,0.1459725
2017-10-23,16390.3,0.1410275
2017-10-24,15383.67,0.1305
2017-10-25,23133.24,0.132675
2017-10-26,20391.77,0.137
2017-10-27,13969.82,0.126775
2017-10-28,14712.83,0.12434999999999999
2017-10-29,11552.27,0.0939275
2017-10-30,9563.46,0.0944475
2017-10-31,9319.43,0.11576249999999999
2017-11-01,8535.42,0.134575
2017-11-02,10321.22,0.12667499999999998
2017-11-03,7752.88,0.133475
2017-11-04,5948.25,0.11652499999999999
2017-11-05,8925.62,0.10160749999999999
2017-11-06,9320.78,0.10962999999999999
2017-11-07,6467.79,0.11735000000000001
2017-11-08,5776.25,0.110715
2017-11-09,7643.17,0.0960975
2017-11-10,6586.73,0.08141999999999999
2017-11-11,3942.79,0.08111499999999999
2017-11-12,2582.87,0.0808275
2017-11-13,0.0,0.08583
2017-11-14,0.0,0.09475
2017-11-15,0.0,0.1022
2017-11-16,0.0,0.1002
2017-11-17,0.0,0.1012
2017-11-18,0.0,0.1046
2017-11-19,0.0,0.1073
2017-11-20,0.0,0.1054
2017-11-21,0.0,0.1071
2017-11-22,0.0,0.1043
2017-11-23,0.0,0.1067
2017-11-24,0.0,0.1139
2017-11-25,0.0,0.1212
2017-11-26,0.0,0.1266
2017-11-27,0.0,0.1289
2017-11-28,0.0,0.128
2017-11-29,0.0,0.1294
2017-11-30,0.0,0.1413
2017-12-01,0.0,0.142
2017-12-02,0.0,0.1463
2017-12-03,0.0,0.1512
2017-12-04,0.0,0.1518
2017-12-05,0.0,0.1789
2017-12-06,0.0,0.2192
2017-12-07,0.0,0.2088
2017-12-08,0.0,0.1931
2017-12-09,0.0,0.1959
2017-12-10,0.0,0.2177
2017-12-11,0.0,0.2223
2017-12-12,0.0,0.2119
2017-12-13,0.0,0.2142
2017-12-14,0.0,0.229
2017-12-15,0.0,0.2517
2017-12-16,0.0,0.248
2017-12-17,0.0,0.2468
2017-12-18,0.0,0.228
2017-12-19,0.0,0.2142
2017-12-20,0.0,0.2034
2017-12-21,0.0,0.1778
2017-12-22,0.0,0.1873
2017-12-23,0.0,0.1794
2017-12-24,0.0,0.18
2017-12-25,0.0,0.205
2017-12-26,0.0,0.2006
2017-12-27,0.0,0.1873
2017-12-28,0.0,0.1872
2017-12-29,0.0,0.163
2017-12-30,0.0,0.1802
2017-12-31,0.0,0.1749
2018-01-01,0.0,0.192
2018-01-02,0.0,0.1972
2018-01-03,0.0,0.1975
2018-01-04,0.0,0.2206
2018-01-05,0.0,0.2234
2018-01-06,0.0,0.2111
2018-01-07,0.0,0.1948
2018-01-08,0.0,0.1882
2018-01-09,0.0,0.1941
2018-01-10,0.0,0.1731
2018-01-11,0.0,0.1801
2018-01-12,0.0,0.1853
2018-01-13,0.0,0.1774
2018-01-14,0.0,0.1774
2018-01-15,0.0,0.1468
2018-01-16,0.0,0.1452
2018-01-17,0.0,0.1454
2018-01-18,0.0,0.1499
2018-01-19,0.0,0.1663
2018-01-20,0.0,0.1503
2018-01-21,0.0,0.1407
2018-01-22,0.0,0.1413
2018-01-23,0.0,0.1487
2018-01-24,0.0,0.1454
2018-01-25,0.0,0.1445
2018-01-26,0.0,0.1491
2018-01-27,0.0,0.1531
2018-01-28,0.0,0.1462
2018-01-29,0.0,0.1315
2018-01-30,0.0,0.1331
2018-01-31,0.0,0.1186
2018-02-01,0.0,0.1154
2018-02-02,0.0,0.1204
2018-02-03,0.0,0.1069
2018-02-04,0.0,0.09025
2018-02-05,0.0,0.1002
2018-02-06,0.0,0.09878
2018-02-07,0.0,0.1075
2018-02-08,0.0,0.1131
2018-02-09,0.0,0.1115
2018-02-10,0.0,0.1052
2018-02-11,0.0,0.1159
2018-02-12,0.0,0.1112
2018-02-13,0.0,0.1234
2018-02-14,0.0,0.1305
2018-02-15,0.0,0.1326
2018-02-16,0.0,0.1444
2018-02-17,0.0,0.1355
2018-02-18,0.0,0.1455
2018-02-19,0.0,0.1464
2018-02-20,0.0,0.1364
2018-02-21,0.0,0.1281
2018-02-22,0.0,0.1324
2018-02-23,0.0,0.1263
2018-02-24,0.0,0.125
2018-02-25,0.0,0.1343
2018-02-26,0.0,0.1378
2018-02-27,0.0,0.1345
2018-02-28,0.0,0.1422
2018-03-01,0.0,0.1437
2018-03-02,0.0,0.1492
2018-03-03,0.0,0.1497
2018-03-04,0.0,0.149
