Dates,Volume,Price
2016-01-01,468.23,7.807e-05
2016-01-02,476.41,7.968e-05
2016-01-03,426.29,8.1245e-05
2016-01-04,429.84,8.83975e-05
2016-01-05,809.24,9.800749999999999e-05
2016-01-06,496.26,9.943e-05
2016-01-07,212.69,8.71775e-05
2016-01-08,105.46,8.518000000000001e-05
2016-01-09,50.02,8.143000000000001e-05
2016-01-10,782.75,8.05875e-05
2016-01-11,199.18,8.122250000000001e-05
2016-01-12,23.63,7.779e-05
2016-01-13,63.7,7.5095e-05
2016-01-14,119.06,6.32825e-05
2016-01-15,23.24,6.546e-05
2016-01-16,157.77,6.597499999999999e-05
2016-01-17,239.94,6.1505e-05
2016-01-18,102.99,6.166e-05
2016-01-19,818.16,6.426e-05
2016-01-20,234.17,5.5385e-05
2016-01-21,206.16,5.4525e-05
2016-01-22,83.78,6.21775e-05
2016-01-23,119.58,6.233e-05
2016-01-24,141.94,5.9892499999999996e-05
2016-01-25,64.59,5.7492500000000006e-05
2016-01-26,201.63,5.9250000000000004e-05
2016-01-27,3505.65,7.4985e-05
2016-01-28,715.63,7.891e-05
2016-01-29,115.62,7.555e-05
2016-01-30,82.81,7.3045e-05
2016-01-31,114.8,6.792e-05
2016-02-01,72.21,6.82425e-05
2016-02-02,86.91,6.9e-05
2016-02-03,898.65,7.1295e-05
2016-02-04,139.83,7.053e-05
2016-02-05,343.42,7.3455e-05
2016-02-06,618.72,7.8425e-05
2016-02-07,184.34,7.918500000000001e-05
2016-02-08,389.63,7.88175e-05
2016-02-09,375.66,7.732750000000001e-05
2016-02-10,529.68,8.4425e-05
2016-02-11,1369.33,9.121249999999999e-05
2016-02-12,1799.94,0.00010531
2016-02-13,8373.49,0.0001318
2016-02-14,6648.93,0.000126325
2016-02-15,2363.59,0.000129025
2016-02-16,1965.02,0.000117835
2016-02-17,587.14,0.0001201
2016-02-18,403.14,0.00011865
2016-02-19,623.27,0.0001265
2016-02-20,834.71,0.0001215
2016-02-21,200.87,0.0001171
2016-02-22,905.05,0.00012075
2016-02-23,1042.58,0.0001321
2016-02-24,1477.44,0.0001355
2016-02-25,250.26,0.000131375
2016-02-26,1120.39,0.00013047500000000001
2016-02-27,916.32,0.00013622500000000002
2016-02-28,837.57,0.00013085
2016-02-29,235.49,0.00013025
2016-03-01,1990.53,0.00013614999999999998
2016-03-02,1540.06,0.00014475000000000002
2016-03-03,349.56,0.0001392
2016-03-04,964.21,0.0001297
2016-03-05,706.7,0.0001309
2016-03-06,696.35,0.000136925
2016-03-07,957.23,0.00013695
2016-03-08,1600.12,0.00013827500000000001
2016-03-09,2856.35,0.00014345
2016-03-10,5436.46,0.0001624
2016-03-11,953.33,0.0001672
2016-03-12,687.25,0.00016705
2016-03-13,431.1,0.00016157499999999998
2016-03-14,529.8,0.00015985
2016-03-15,762.38,0.00015910000000000002
2016-03-16,1326.61,0.000156825
2016-03-17,4279.79,0.00016532500000000002
2016-03-18,15056.19,0.00021045
2016-03-19,6798.5,0.0002109
2016-03-20,6503.13,0.00020145
2016-03-21,2712.85,0.00019562500000000003
2016-03-22,3022.55,0.00020014999999999999
2016-03-23,3733.14,0.000219825
2016-03-24,1053.81,0.000222425
2016-03-25,1685.95,0.00022909999999999999
2016-03-26,3449.8,0.000234575
2016-03-27,5293.91,0.00021005
2016-03-28,1265.43,0.000194
2016-03-29,3279.26,0.000200025
2016-03-30,2809.65,0.00021407499999999999
2016-03-31,1167.47,0.00021405
2016-04-01,3859.23,0.00022494999999999997
2016-04-02,2611.52,0.000235725
2016-04-03,4056.55,0.0002474
2016-04-04,44351.35,0.0002754
2016-04-05,86141.58,0.000328575
2016-04-06,30697.65,0.0003088
2016-04-07,7929.96,0.000293425
2016-04-08,4528.55,0.000281125
2016-04-09,6681.67,0.000268975
2016-04-10,12375.64,0.00022967499999999999
2016-04-11,4164.9,0.00020815
2016-04-12,3129.92,0.000210675
2016-04-13,2368.64,0.0002205
2016-04-14,1048.8,0.00022397499999999998
2016-04-15,1321.14,0.00022145000000000002
2016-04-16,3740.05,0.00021845
2016-04-17,2449.07,0.00022455
2016-04-18,517.61,0.0002251
2016-04-19,1831.91,0.0002272
2016-04-20,1310.24,0.00022695000000000001
2016-04-21,828.45,0.00021930000000000002
2016-04-22,451.68,0.00021824999999999997
2016-04-23,3120.3,0.00020590000000000002
2016-04-24,6092.51,0.0001697
2016-04-25,3788.07,0.000167725
2016-04-26,829.85,0.00017545
2016-04-27,204.85,0.0001794
2016-04-28,151.94,0.000181975
2016-04-29,337.0,0.0001738
2016-04-30,1480.76,0.000195625
2016-05-01,884.12,0.00020432500000000002
2016-05-02,944.92,0.000201475
2016-05-03,442.56,0.000190575
2016-05-04,509.23,0.0001938
2016-05-05,2446.86,0.00018265000000000002
2016-05-06,2049.87,0.000177625
2016-05-07,475.08,0.0001866
2016-05-08,285.51,0.00019339999999999998
2016-05-09,4588.24,0.00017862500000000002
2016-05-10,264.64,0.000170825
2016-05-11,236.02,0.00017155
2016-05-12,608.63,0.0001833
2016-05-13,499.74,0.000192875
2016-05-14,252.9,0.00019585
2016-05-15,254.38,0.00018987500000000002
2016-05-16,1352.69,0.0001983
2016-05-17,866.64,0.00019757500000000002
2016-05-18,618.57,0.000185925
2016-05-19,475.48,0.000192325
2016-05-20,337.89,0.000196325
2016-05-21,239.64,0.0001934
2016-05-22,422.86,0.00019297500000000002
2016-05-23,552.07,0.00019182500000000001
2016-05-24,8443.9,0.000192275
2016-05-25,4946.81,0.000177925
2016-05-26,993.27,0.00018842499999999999
2016-05-27,1527.59,0.00021097500000000002
2016-05-28,1844.03,0.00018449999999999999
2016-05-29,1038.51,0.00018895
2016-05-30,1746.52,0.000173225
2016-05-31,5145.89,0.00018542500000000002
2016-06-01,767.73,0.000194725
2016-06-02,2451.93,0.00019135
2016-06-03,1090.34,0.00018302500000000002
2016-06-04,801.74,0.00019115
2016-06-05,4840.86,0.000214475
2016-06-06,752.58,0.00020435
2016-06-07,1641.38,0.00020755
2016-06-08,964.56,0.00021837499999999998
2016-06-09,1264.27,0.000222475
2016-06-10,815.36,0.0002322
2016-06-11,1471.89,0.000258275
2016-06-12,3484.17,0.00023975
2016-06-13,2319.87,0.000226075
2016-06-14,1037.27,0.00022794999999999998
2016-06-15,1403.93,0.0002417
2016-06-16,7212.34,0.000212
2016-06-17,1042.48,0.000197875
2016-06-18,1843.07,0.000190275
2016-06-19,1854.6,0.00018717499999999998
2016-06-20,5039.0,0.000181875
2016-06-21,5562.98,0.00017130000000000002
2016-06-22,6229.45,0.0001909
2016-06-23,3062.95,0.0001856
2016-06-24,1019.07,0.00017585
2016-06-25,730.38,0.000172
2016-06-26,1791.98,0.00018857500000000002
2016-06-27,2005.12,0.0001951
2016-06-28,6886.57,0.00021485
2016-06-29,9081.99,0.000259625
2016-06-30,105614.69,0.00032717499999999997
2016-07-01,21571.26,0.000310625
2016-07-02,5531.28,0.000251425
2016-07-03,3037.26,0.000243075
2016-07-04,54719.55,0.0003086
2016-07-05,16951.78,0.000327925
2016-07-06,3934.31,0.00030175000000000004
2016-07-07,4587.01,0.0003115
2016-07-08,2221.64,0.00029495000000000004
2016-07-09,3604.08,0.000279875
2016-07-10,2900.13,0.000287775
2016-07-11,2191.68,0.000293375
2016-07-12,10166.76,0.0002843
2016-07-13,2901.7,0.00028589999999999996
2016-07-14,3131.45,0.00028727500000000003
2016-07-15,1857.36,0.00028245
2016-07-16,7049.94,0.000309425
2016-07-17,13677.05,0.00032347500000000004
2016-07-18,3399.05,0.000337225
2016-07-19,8635.95,0.00030895
2016-07-20,2506.39,0.00029575
2016-07-21,2559.45,0.00028649999999999997
2016-07-22,3579.07,0.0002801
2016-07-23,7048.86,0.000258775
2016-07-24,2872.11,0.00024362500000000003
2016-07-25,6928.2,0.0002454
2016-07-26,2856.83,0.000235625
2016-07-27,2511.51,0.00023875
2016-07-28,387.74,0.00024252499999999997
2016-07-29,2250.58,0.00025045
2016-07-30,1619.98,0.00023785
2016-07-31,9707.18,0.00025795
2016-08-01,10961.18,0.0002259
2016-08-02,1293.88,0.00025915000000000004
2016-08-03,1498.27,0.00026075
2016-08-04,780.73,0.000260025
2016-08-05,4666.34,0.0002815
2016-08-06,1557.88,0.00028507500000000003
2016-08-07,90261.96,0.000343225
2016-08-08,23697.47,0.0003292
2016-08-09,12799.67,0.000301375
2016-08-10,2373.63,0.000295375
2016-08-11,6553.93,0.0002877
2016-08-12,10837.91,0.000296675
2016-08-13,2733.02,0.000288775
2016-08-14,1381.52,0.0002849
2016-08-15,1277.56,0.00028865
2016-08-16,882.84,0.000280425
2016-08-17,2095.02,0.000285275
2016-08-18,2121.9,0.00029157499999999997
2016-08-19,2345.51,0.000291325
2016-08-20,702.91,0.0002903
2016-08-21,7760.69,0.00031427500000000004
2016-08-22,22452.39,0.000337
2016-08-23,4181.44,0.0003275
2016-08-24,6337.8,0.000333775
2016-08-25,6902.96,0.00035485
2016-08-26,2099.46,0.00034932500000000005
2016-08-27,3348.64,0.00034930000000000003
2016-08-28,3225.44,0.000341675
2016-08-29,5858.12,0.00032905
2016-08-30,3862.56,0.000309925
2016-08-31,3474.9,0.00031889999999999995
2016-09-01,1656.14,0.00033512500000000003
2016-09-02,4942.2,0.000348825
2016-09-03,6931.85,0.00034285
2016-09-04,3948.65,0.00033164999999999996
2016-09-05,5587.31,0.000335725
2016-09-06,5334.09,0.000349525
2016-09-07,3425.04,0.000359725
2016-09-08,22593.12,0.000387925
2016-09-09,4503.22,0.000404375
2016-09-10,51492.53,0.0004194
2016-09-11,19966.22,0.00043012500000000006
2016-09-12,2726715.37,0.000992125
2016-09-13,880743.33,0.00119035
2016-09-14,332525.92,0.000938
2016-09-15,87970.92,0.000743
2016-09-16,147974.79,0.0007558
2016-09-17,43199.17,0.0007557250000000001
2016-09-18,32944.52,0.00071655
2016-09-19,73745.29,0.0007661249999999999
2016-09-20,30725.76,0.0007404750000000001
2016-09-21,40744.19,0.000695375
2016-09-22,15055.44,0.0006933499999999999
2016-09-23,13083.67,0.000692975
2016-09-24,17554.29,0.00067515
2016-09-25,16522.17,0.0006763
2016-09-26,119772.61,0.0007523250000000001
2016-09-27,78279.67,0.0007785
2016-09-28,30928.13,0.0007634499999999999
2016-09-29,23540.41,0.0007769000000000001
2016-09-30,21088.32,0.0007591
2016-10-01,41710.89,0.000735875
2016-10-02,29136.3,0.0007247499999999999
