Dates,Volume,Price
2017-08-28,43342.29,0.047112499999999995
2017-08-29,29034.1,0.058432500000000005
2017-08-30,4407.18,0.04972
2017-08-31,1799.72,0.0369125
2017-09-01,6615.96,0.0388775
2017-09-02,6990.31,0.05305
2017-09-03,4440.01,0.046939999999999996
2017-09-04,525.27,0.044090000000000004
2017-09-05,5734.59,0.060045
2017-09-06,221.78,0.067215
2017-09-07,1216.56,0.0605675
2017-09-08,2705.17,0.05202
2017-09-09,1194.91,0.047764999999999995
2017-09-10,2719.07,0.04955999999999999
2017-09-11,2083.31,0.047827499999999995
2017-09-12,1384.44,0.039667499999999994
2017-09-13,469.41,0.0316175
2017-09-14,565.01,0.0343525
2017-09-15,319.27,0.034215
2017-09-16,66.27,0.0378225
2017-09-17,356.52,0.039975000000000004
2017-09-18,102.1,0.035172499999999995
2017-09-19,97.18,0.033
2017-09-20,220.78,0.03075
2017-09-21,187.12,0.03151
2017-09-22,647.91,0.0369325
2017-09-23,149.29,0.036675
2017-09-24,129.29,0.0393275
2017-09-25,780.47,0.0389275
2017-09-26,1923.86,0.04106750000000001
2017-09-27,3129.19,0.037762500000000004
2017-09-28,1135.97,0.03964500000000001
2017-09-29,551.84,0.04252
2017-09-30,696.44,0.04403
2017-10-01,613.57,0.040709999999999996
2017-10-02,58.45,0.0399075
2017-10-03,326.84,0.04219
2017-10-04,219.94,0.043214999999999996
2017-10-05,1097.92,0.045905
2017-10-06,1781.82,0.057665
2017-10-07,3396.84,0.061107499999999995
2017-10-08,564.69,0.0525525
2017-10-09,2376.7,0.0452525
2017-10-10,313.6,0.044625
2017-10-11,6682.13,0.038027500000000006
2017-10-12,25527.21,0.03805000000000001
2017-10-13,27015.1,0.037860000000000005
2017-10-14,10330.61,0.025595
2017-10-15,8389.25,0.02304
2017-10-16,16612.9,0.0251925
2017-10-17,7851.64,0.023695
2017-10-18,18261.02,0.019945
2017-10-19,8400.7,0.01798
2017-10-20,15302.61,0.01802
2017-10-21,6124.07,0.016455
2017-10-22,3664.07,0.014759999999999999
2017-10-23,17453.04,0.013784999999999999
2017-10-24,4953.11,0.014335
2017-10-25,10396.01,0.011777
2017-10-26,6566.6,0.01441
