Dates,Volume,Price
2018-01-26,139117.5,3.7874999999999996
2018-01-27,61387.2,4.1899999999999995
2018-01-28,61272.8,3.705
2018-01-29,77931.7,3.29
2018-01-30,64704.0,3.275
2018-01-31,116611.3,2.7775
2018-02-01,148508.48,2.35
2018-02-02,95007.48,2.685
2018-02-03,30943.42,2.26
2018-02-04,65336.37,1.875
2018-02-05,192291.17,2.105
2018-02-06,123369.35,2.1725000000000003
2018-02-07,51384.47,2.335
2018-02-08,13850.0,2.4524999999999997
2018-02-09,9836.8,2.38
2018-02-10,6952.5,2.24
2018-02-11,24553.1,2.3099999999999996
2018-02-12,11842.4,2.185
2018-02-13,25717.6,2.4575
2018-02-14,35808.0,2.3925
2018-02-15,15762.8,2.44
2018-02-16,15030.4,2.48
2018-02-17,30596.9,2.4074999999999998
2018-02-18,50375.7,2.505
2018-02-19,26926.8,2.3025
2018-02-20,18754.2,2.095
2018-02-21,20226.4,1.935
2018-02-22,53735.4,2.1125
2018-02-23,6732.0,2.0275
2018-02-24,5640.0,2.0075000000000003
2018-02-25,6308.9,2.0925000000000002
2018-02-26,11859.0,2.085
2018-02-27,22405.5,1.9775
2018-02-28,21112.97,2.0375
2018-03-01,11876.51,1.9975
2018-03-02,9486.54,2.01
2018-03-03,13016.59,1.9649999999999999
2018-03-04,0.0,1.99
