Dates,Volume,Price
2017-09-11,1080.27,2.6147750000000003
2017-09-12,142.35,1.24195
2017-09-13,0.903,0.9195500000000001
2017-09-14,758.4,1.22455
2017-09-15,48.9,1.48
2017-09-16,4.44,1.3143999999999998
2017-09-17,28.49,1.457875
2017-09-18,219.97,1.0011
2017-09-19,2486.38,0.87205
2017-09-20,5637.09,0.7503
2017-09-21,46451.63,0.9566
2017-09-22,64.61,1.4025
2017-09-23,6.81,1.35
2017-09-24,234.74,1.2173
2017-09-25,27.25,1.21265
2017-09-26,608.27,1.8099999999999998
2017-09-27,0.0,2.1
2017-09-28,27.17,1.9874999999999998
2017-09-29,128.03,1.995
2017-09-30,6.6,2.205
2017-10-01,3844.8,2.1675
2017-10-02,84269.19,2.2399999999999998
2017-10-03,119887.16,2.3525
2017-10-04,81729.47,2.475
2017-10-05,79039.15,2.6075
2017-10-06,80549.01,2.63
2017-10-07,71524.51,2.5675
2017-10-08,98898.6,2.775
2017-10-09,109627.23,2.5725
2017-10-10,84782.84,2.4924999999999997
2017-10-11,282387.26,2.9774999999999996
2017-10-12,186280.03,2.7924999999999995
2017-10-13,70134.39,2.2325
2017-10-14,740671.97,1.9721575
2017-10-15,38786.24,2.3649999999999998
2017-10-16,107972.79,2.1675
2017-10-17,2138.84,2.0774999999999997
2017-10-18,658966.06,2.1675
2017-10-19,514.58,2.27
2017-10-20,9624.11,2.1325
2017-10-21,63.38,1.92
2017-10-22,303.12,1.7674999999999998
2017-10-23,110530.98,1.7374999999999998
2017-10-24,104918.08,1.7
2017-10-25,94013.96,1.549925
2017-10-26,110791.64,1.3399999999999999
2017-10-27,113386.13,1.3925
2017-10-28,98210.39,1.4500000000000002
2017-10-29,91608.41,1.138225
2017-10-30,827810.35,1.229325
2017-10-31,118354.01,1.4749999999999999
2017-11-01,109072.75,1.3575
2017-11-02,92841.5,1.3725
2017-11-03,84354.92,1.3125000000000002
2017-11-04,70949.89,1.35
2017-11-05,142017.23,1.2425
2017-11-06,96594.8,1.2675
2017-11-07,105399.9,1.2675
2017-11-08,103219.03,1.2425000000000002
2017-11-09,84678.43,1.1475
2017-11-10,175197.88,1.1877499999999999
2017-11-11,51782.35,1.08525
2017-11-12,102778.07,1.0896
2017-11-13,99457.57,1.0851250000000001
2017-11-14,105035.56,1.1724999999999999
2017-11-15,104304.32,1.2775
2017-11-16,104583.35,1.255
2017-11-17,103246.74,1.2750000000000001
2017-11-18,91705.38,1.27
2017-11-19,105976.99,1.3
2017-11-20,105996.2,1.3
2017-11-21,152151.11,1.4300000000000002
2017-11-22,132690.89,1.555
2017-11-23,133655.48,1.73
2017-11-24,92074.17,1.9024999999999999
2017-11-25,110529.46,1.9675
2017-11-26,143062.17,2.16
2017-11-27,124439.98,2.1875
2017-11-28,129899.33,2.145
2017-11-29,134127.36,2.2375000000000003
2017-11-30,138811.63,2.6
2017-12-01,233371.8,3.0625
2017-12-02,204924.73,3.4299999999999997
2017-12-03,140851.43,3.2825
2017-12-04,170137.21,3.415
2017-12-05,157314.6,4.06
2017-12-06,163734.25,4.5325
2017-12-07,313752.65,4.057499999999999
2017-12-08,155356.2,3.635
2017-12-09,161616.72,3.6525000000000003
2017-12-10,188830.83,4.2175
2017-12-11,184255.88,4.2924999999999995
2017-12-12,166191.33,4.2
2017-12-13,175987.44,4.32
2017-12-14,186993.84,4.535
2017-12-15,307118.5,5.1075
2017-12-16,167522.55,5.285
2017-12-17,281416.49,5.545
2017-12-18,223160.01,5.505
2017-12-19,183956.72,4.8549999999999995
2017-12-20,233916.65,4.805000000000001
2017-12-21,205782.32,4.22
2017-12-22,158402.47,4.58
2017-12-23,216920.54,4.5925
2017-12-24,213844.39,4.9350000000000005
2017-12-25,212315.38,4.945
2017-12-26,188696.61,4.8875
2017-12-27,207297.24,4.465
2017-12-28,252495.3,4.7825
2017-12-29,103362.07,4.0075
2017-12-30,394261.4,4.78
2017-12-31,224657.73,4.640000000000001
2018-01-01,265142.31,4.7575
2018-01-02,223506.47,4.59
2018-01-03,205600.88,4.4399999999999995
2018-01-04,253215.82,5.4575
2018-01-05,281527.97,5.5825
2018-01-06,294810.27,5.525
2018-01-07,246863.98,5.0725
2018-01-08,224780.99,4.9175
2018-01-09,231592.53,5.182499999999999
2018-01-10,219058.35,4.6225
2018-01-11,285987.49,5.284999999999999
2018-01-12,213740.44,6.115
2018-01-13,243155.94,5.6325
2018-01-14,324402.09,5.8774999999999995
2018-01-15,233539.89,5.227500000000001
2018-01-16,201448.96,5.2225
2018-01-17,241404.85,5.31
2018-01-18,237420.12,5.620000000000001
2018-01-19,280538.57,6.15
2018-01-20,252333.46,5.805
2018-01-21,334658.63,6.0
2018-01-22,452389.19,7.664999999999999
2018-01-23,451991.62,9.29
2018-01-24,186416.96,8.4275
2018-01-25,366491.39,8.2575
2018-01-26,413952.31,9.225
2018-01-27,326421.86,9.9725
2018-01-28,395635.42,9.0875
2018-01-29,279691.49,7.8675
2018-01-30,290357.27,7.71
2018-01-31,335509.67,6.9399999999999995
2018-02-01,261355.32,6.715
2018-02-02,234583.44,6.7924999999999995
2018-02-03,157531.37,5.895
2018-02-04,209964.25,5.17
2018-02-05,222797.97,5.97
2018-02-06,215090.93,5.8275
2018-02-07,225743.61,6.245
2018-02-08,232414.01,6.522499999999999
2018-02-09,222884.84,6.5125
2018-02-10,250282.55,6.295
2018-02-11,228296.62,6.904999999999999
2018-02-12,224114.66,6.3125
2018-02-13,269584.69,6.805000000000001
2018-02-14,285720.8,7.2250000000000005
2018-02-15,239705.98,7.342499999999999
2018-02-16,211276.17,7.9075
2018-02-17,220631.52,7.3775
2018-02-18,241618.53,7.9399999999999995
2018-02-19,243846.05,7.895
2018-02-20,247623.67,7.5075
2018-02-21,195715.96,7.1
2018-02-22,214592.13,7.1575
2018-02-23,240438.83,5.824999999999999
2018-02-24,154907.95,5.1825
2018-02-25,716385.43,6.215
2018-02-26,190993.26,7.699999999999999
2018-02-27,218854.92,7.3100000000000005
2018-02-28,229031.74,7.545
2018-03-01,235929.37,7.525
2018-03-02,199821.08,7.9125
2018-03-03,225329.24,7.9025
2018-03-04,0.0,8.024999999999999
