Dates,Volume,Price
2016-01-01,4.01,2.8775
2016-01-02,0.02731,2.755
2016-01-03,52.64,2.795
2016-01-04,0.03825,2.8375000000000004
2016-01-05,0.003187,2.8499999999999996
2016-01-06,1.02,2.6775
2016-01-07,35.25,2.745
2016-01-08,32.51,2.6550000000000002
2016-01-09,162.82,2.5949999999999998
2016-01-10,3.44,2.6849999999999996
2016-01-11,332.8,2.5574999999999997
2016-01-12,0.0,2.4699999999999998
2016-01-13,556.75,2.85
2016-01-14,53.5,3.5050000000000003
2016-01-15,248.47,3.58
2016-01-16,289.4,4.25
2016-01-17,3445.47,4.725
2016-01-18,153.31,4.41
2016-01-19,61.19,4.3225
2016-01-20,356.51,4.8
2016-01-21,732.57,5.34
2016-01-22,772.22,4.79
2016-01-23,237.95,4.45
2016-01-24,413.42,4.205
2016-01-25,102.21,4.105
2016-01-26,6.78,4.359999999999999
2016-01-27,20.17,4.1
2016-01-28,6.47,4.262499999999999
2016-01-29,0.5491,4.164999999999999
2016-01-30,13.22,4.295
2016-01-31,0.01171,4.18
2016-02-01,0.1093,3.6100000000000003
2016-02-02,0.4973,3.835
2016-02-03,0.1589,4.3025
2016-02-04,21.91,4.547499999999999
2016-02-05,23.0,4.297499999999999
2016-02-06,105.01,4.0975
2016-02-07,774.09,4.202500000000001
2016-02-08,1495.46,4.154999999999999
2016-02-09,114.71,4.0075
2016-02-10,486.79,3.6725000000000003
2016-02-11,224.05,3.615
2016-02-12,372.1,3.735
2016-02-13,27.85,3.71
2016-02-14,301.85,3.875
2016-02-15,1182.54,3.8949999999999996
2016-02-16,199.28,3.745
2016-02-17,180.26,3.655
2016-02-18,29.48,3.6325000000000003
2016-02-19,60.99,3.545
2016-02-20,1974.08,3.8325
2016-02-21,10.61,4.0825
2016-02-22,112.46,3.9999999999999996
2016-02-23,206.72,3.92
2016-02-24,1056.3,3.72
2016-02-25,3449.55,3.6775
2016-02-26,120.43,3.9
2016-02-27,168.69,3.99
2016-02-28,113.48,3.9749999999999996
2016-02-29,471.4,3.9825000000000004
2016-03-01,265.47,3.9225
2016-03-02,783.9,4.21
2016-03-03,897.59,4.4775
2016-03-04,225.88,4.5424999999999995
2016-03-05,272.59,4.755
2016-03-06,280.6,4.59
2016-03-07,40.68,4.3500000000000005
2016-03-08,153.38,4.4975000000000005
2016-03-09,538.43,4.63
2016-03-10,289.8,4.9775
2016-03-11,470.89,5.1525
2016-03-12,2234.27,5.512499999999999
2016-03-13,492.94,5.535
2016-03-14,373.58,5.6075
2016-03-15,11657.08,6.085
2016-03-16,385.61,6.035
2016-03-17,5715.14,4.66
2016-03-18,4044.89,5.964999999999999
2016-03-19,3385.77,5.9625
2016-03-20,7192.79,6.1
2016-03-21,5485.18,6.08
2016-03-22,8122.2,6.2675
2016-03-23,7330.4,6.515000000000001
2016-03-24,12705.02,7.33
2016-03-25,4262.77,7.5025
2016-03-26,4699.82,7.1049999999999995
