Dates,Volume,Price
2016-09-11,397.16,0.09728
2016-09-12,3654.74,0.09738
2016-09-13,2597.87,0.10361500000000001
2016-09-14,1499.24,0.10994999999999999
2016-09-15,2122.3,0.1104
2016-09-16,1514.25,0.11802499999999999
2016-09-17,1318.8,0.11877499999999999
2016-09-18,2438.16,0.118975
2016-09-19,3025.27,0.16044999999999998
2016-09-20,2490.4,0.16144999999999998
2016-09-21,2307.82,0.1337
2016-09-22,2047.61,0.1381
2016-09-23,1570.04,0.138
2016-09-24,1409.14,0.1639
2016-09-25,2351.99,0.16907499999999998
2016-09-26,1187.49,0.15045
2016-09-27,2197.36,0.16025
2016-09-28,1673.31,0.145775
2016-09-29,1660.22,0.17060000000000003
2016-09-30,144.64,0.17485
2016-10-01,300.28,0.163375
2016-10-02,1163.22,0.15595
2016-10-03,375.9,0.1553
2016-10-04,1111.57,0.153725
2016-10-05,2961.06,0.166175
2016-10-06,2404.4,0.17065000000000002
2016-10-07,338.32,0.163025
2016-10-08,868.26,0.1547
2016-10-09,976.92,0.1563
2016-10-10,1676.6,0.16390000000000002
2016-10-11,900.29,0.15990000000000001
2016-10-12,704.23,0.160175
2016-10-13,417.7,0.16075
2016-10-14,831.22,0.1605
2016-10-15,140.03,0.16925
2016-10-16,72.63,0.14975
2016-10-17,2.2,0.1334
2016-10-18,1297.0,0.14115
2016-10-19,841.27,0.145425
2016-10-20,502.49,0.1576
2016-10-21,0.0,0.1639
2016-10-22,1103.7,0.16655
2016-10-23,1046.2,0.1714
2016-10-24,453.83,0.15300000000000002
2016-10-25,1167.53,0.15705
2016-10-26,47.66,0.15695
2016-10-27,2.26,0.1372
2016-10-28,0.0,0.143
2016-10-29,0.0,0.1395
2016-10-30,0.0,0.1397
2016-10-31,0.0,0.1454
2016-11-01,0.0,0.1467
2016-11-02,16.78,0.1524
2016-11-03,808.31,0.161475
2016-11-04,28.79,0.15360000000000001
2016-11-05,9960.54,0.2272
2016-11-06,3224.96,0.27685000000000004
2016-11-07,3917.4,0.25787499999999997
2016-11-08,6416.32,0.216575
2016-11-09,2291.63,0.18917499999999998
2016-11-10,3315.07,0.1784
2016-11-11,3030.71,0.16005
2016-11-12,3671.21,0.1425
2016-11-13,1634.16,0.13087500000000002
2016-11-14,1640.09,0.12745
2016-11-15,2795.83,0.12545
2016-11-16,3947.13,0.153625
2016-11-17,2015.07,0.15552500000000002
2016-11-18,2870.15,0.12455000000000002
2016-11-19,1435.49,0.13077499999999997
2016-11-20,1041.62,0.1215
2016-11-21,247.68,0.125125
2016-11-22,215.85,0.1182
2016-11-23,55.64,0.1158
2016-11-24,2.4,0.09442
2016-11-25,0.0,0.07341
2016-11-26,0.0,0.07294
2016-11-27,155.58,0.0733425
2016-11-28,1.18,0.07253
2016-11-29,0.0,0.07278
2016-11-30,41.71,0.092935
2016-12-01,1515.71,0.11275000000000002
2016-12-02,83.27,0.09222
2016-12-03,29.91,0.09112500000000001
2016-12-04,0.0,0.1056
2016-12-05,0.0,0.1061
2016-12-06,0.0,0.1072
2016-12-07,59.23,0.09797999999999998
2016-12-08,66.36,0.12035499999999999
2016-12-09,121.23,0.10139000000000001
2016-12-10,0.0,0.109
2016-12-11,1.99,0.1105
2016-12-12,56.28,0.09557000000000002
2016-12-13,1.1,0.09700500000000001
2016-12-14,640.26,0.10176750000000001
2016-12-15,861.96,0.1037
2016-12-16,606.01,0.10350000000000001
2016-12-17,0.6703,0.09423000000000001
