Dates,Volume,Price
2016-01-01,0.0,0.1084
2016-01-02,0.0,0.1076
2016-01-03,0.0,0.1083
2016-01-04,0.0,0.1078
2016-01-05,0.0,0.1077
2016-01-06,0.0,0.1142
2016-01-07,0.0,0.1132
2016-01-08,0.0,0.112
2016-01-09,0.0,0.1115
2016-01-10,0.0,0.1119
2016-01-11,0.0,0.1112
2016-01-12,0.0,0.108
2016-01-13,0.0,0.1072
2016-01-14,0.0,0.09303
2016-01-15,0.0,0.09622
2016-01-16,0.0,0.09558
2016-01-17,0.0,0.09606
2016-01-18,0.0,0.09483
2016-01-19,0.0,0.1036
2016-01-20,0.0,0.1025
2016-01-21,0.0,0.09562
2016-01-22,0.0,0.09711
2016-01-23,0.0,0.1005
2016-01-24,0.0,0.09815
2016-01-25,0.0,0.09741
2016-01-26,0.0,0.09872
2016-01-27,0.0,0.09488
2016-01-28,0.0,0.09503
2016-01-29,0.0,0.0944
2016-01-30,0.0,0.09242
2016-01-31,0.0,0.09301
2016-02-01,0.0,0.09344
2016-02-02,0.0,0.09197
2016-02-03,0.0,0.09762
2016-02-04,0.0,0.09658
2016-02-05,0.0,0.09413
2016-02-06,0.0,0.09445
2016-02-07,0.0,0.09312
2016-02-08,0.0,0.09379
2016-02-09,52871.83,1.2697
2016-02-10,24711.82,1.125675
2016-02-11,25798.81,1.3425
2016-02-12,26095.0,1.2225
2016-02-13,8485.87,1.1775
2016-02-14,25887.47,1.27
2016-02-15,42931.65,1.45
2016-02-16,30538.32,1.6025
2016-02-17,24297.23,1.4625
2016-02-18,13286.35,1.445
2016-02-19,16415.85,1.5474999999999999
2016-02-20,23195.52,1.5924999999999998
2016-02-21,37665.32,1.725
2016-02-22,66401.74,1.8824999999999998
2016-02-23,126169.26,2.375
2016-02-24,108180.04,2.4875
2016-02-25,42342.58,2.38
2016-02-26,38338.94,2.2199999999999998
2016-02-27,26684.67,2.2
2016-02-28,30000.14,2.1425
2016-02-29,57899.34,1.7700000000000002
2016-03-01,36330.49,1.685
2016-03-02,31777.72,1.74
2016-03-03,13210.94,1.7125
2016-03-04,20102.27,1.67
2016-03-05,32359.72,1.8499999999999999
2016-03-06,31906.77,2.11
2016-03-07,21947.73,2.225
2016-03-08,59912.38,2.4025000000000003
2016-03-09,31620.5,2.4475
2016-03-10,42109.6,2.365
2016-03-11,46044.85,2.3375
2016-03-12,18755.47,2.31
2016-03-13,36995.3,2.405
2016-03-14,38645.7,2.505
2016-03-15,22763.71,2.535
2016-03-16,18675.1,2.5124999999999997
2016-03-17,16261.58,2.42
2016-03-18,19651.43,2.3625
2016-03-19,18718.88,2.285
2016-03-20,11371.95,2.21
2016-03-21,18401.09,2.1675
2016-03-22,13141.7,2.0450000000000004
2016-03-23,14686.57,1.935
2016-03-24,13015.18,1.975
2016-03-25,21112.75,2.125
2016-03-26,15251.95,2.1325000000000003
2016-03-27,8254.15,2.0549999999999997
2016-03-28,13307.94,2.1225
2016-03-29,6194.07,2.045
2016-03-30,14156.39,2.0225
2016-03-31,8563.37,1.985
2016-04-01,11606.06,1.9699999999999998
2016-04-02,9391.44,1.9599999999999997
2016-04-03,12320.78,1.9125
2016-04-04,22115.85,1.8425
2016-04-05,13844.24,1.7825000000000002
2016-04-06,10760.87,1.775
2016-04-07,11908.66,1.7375
2016-04-08,16273.35,1.6824999999999999
2016-04-09,17702.58,1.5524999999999998
2016-04-10,12298.41,1.4849999999999999
2016-04-11,14168.78,1.5174999999999998
2016-04-12,7600.02,1.535
2016-04-13,4530.36,1.505
2016-04-14,7512.33,1.4475
2016-04-15,14348.72,1.38
2016-04-16,6939.97,1.36
2016-04-17,24807.75,1.5175
2016-04-18,19815.81,1.625
2016-04-19,5483.07,1.5299999999999998
2016-04-20,9270.19,1.595
2016-04-21,8283.49,1.59
2016-04-22,7507.75,1.6
2016-04-23,14371.21,1.5975000000000001
2016-04-24,10607.05,1.575
2016-04-25,13185.19,1.56
2016-04-26,9659.43,1.485
2016-04-27,6811.58,1.5125
2016-04-28,8731.65,1.56
2016-04-29,10464.99,1.56
2016-04-30,11155.16,1.58
2016-05-01,8437.16,1.5274999999999999
2016-05-02,8703.68,1.5474999999999999
2016-05-03,9155.57,1.5274999999999999
2016-05-04,4486.26,1.5225
2016-05-05,5443.3,1.5425
2016-05-06,9321.54,1.5525
2016-05-07,22066.95,1.5325
2016-05-08,8423.32,1.4925
2016-05-09,6805.2,1.415
2016-05-10,20616.43,1.3775000000000002
2016-05-11,8707.86,1.3325
2016-05-12,10010.84,1.2925000000000002
2016-05-13,14372.95,1.3275
2016-05-14,9089.15,1.3525
2016-05-15,262815.31,67.68499999999999
2016-05-16,56369.78,1.875
2016-05-17,65819.62,1.6375
2016-05-18,37569.32,1.5925
2016-05-19,65447.1,1.5275
2016-05-20,18233.95,1.4874999999999998
2016-05-21,17620.81,1.465
2016-05-22,38101.06,1.52
2016-05-23,29371.45,1.5274999999999999
2016-05-24,24051.16,1.455
2016-05-25,35321.02,1.355
2016-05-26,29082.54,1.365
2016-05-27,37269.24,1.5450000000000002
2016-05-28,11126.67,1.4849999999999999
2016-05-29,10443.04,1.5025
2016-05-30,19074.67,1.5025
2016-05-31,48476.74,1.7100000000000002
2016-06-01,31492.08,1.7674999999999998
2016-06-02,26277.64,1.805
2016-06-03,14613.91,1.7650000000000001
2016-06-04,15705.28,1.6875
2016-06-05,14791.77,1.6674999999999998
2016-06-06,18955.04,1.645
2016-06-07,34717.84,1.66
2016-06-08,13451.91,1.6625
2016-06-09,9815.42,1.6649999999999998
2016-06-10,11697.89,1.6775
2016-06-11,41436.42,1.7325
2016-06-12,39270.35,1.6800000000000002
2016-06-13,17935.59,1.6349999999999998
2016-06-14,16512.37,1.68
2016-06-15,35758.83,1.9250000000000003
2016-06-16,43189.1,1.8
2016-06-17,25983.4,1.8074999999999999
2016-06-18,38646.18,1.98
2016-06-19,25975.41,1.95
2016-06-20,22516.83,1.74
2016-06-21,19262.54,1.5425
2016-06-22,9912.43,1.6375000000000002
2016-06-23,13559.18,1.6925
2016-06-24,11387.38,1.6625
2016-06-25,10235.42,1.55
2016-06-26,141326.2,1.7925
2016-06-27,35100.06,1.86
2016-06-28,84692.44,1.9625000000000001
2016-06-29,163303.52,2.2199999999999998
2016-06-30,22271.85,2.045
2016-07-01,21241.32,2.0675
2016-07-02,29708.82,1.9225
2016-07-03,19287.7,1.98
2016-07-04,26605.31,1.9025
2016-07-05,16656.9,1.91
2016-07-06,26651.75,1.7125
2016-07-07,45212.23,1.7449999999999999
2016-07-08,12436.94,1.75
2016-07-09,13194.72,1.72
2016-07-10,14446.81,1.73
2016-07-11,18318.64,1.7525
2016-07-12,16582.4,1.7025000000000001
2016-07-13,9450.51,1.7075
2016-07-14,51051.87,1.8175
2016-07-15,21547.5,1.79
2016-07-16,19115.66,1.8150000000000002
2016-07-17,8465.15,1.785
2016-07-18,17346.16,1.805
2016-07-19,15971.26,1.7575
2016-07-20,25881.07,1.7550000000000001
2016-07-21,16696.73,1.725
2016-07-22,17291.51,1.735
2016-07-23,20161.92,1.7199999999999998
2016-07-24,103282.66,1.7899999999999998
2016-07-25,83809.92,1.8175
2016-07-26,39364.78,1.7275
2016-07-27,17249.23,1.69
2016-07-28,8945.03,1.69
2016-07-29,17114.17,1.7075
2016-07-30,169437.13,1.8225
2016-07-31,32219.38,1.7525
2016-08-01,34909.67,1.4249999999999998
2016-08-02,25008.03,1.53
2016-08-03,14634.45,1.6
2016-08-04,11577.8,1.6225
2016-08-05,11497.27,1.645
2016-08-06,30463.27,1.5899999999999999
2016-08-07,13092.11,1.56
2016-08-08,18027.99,1.57
2016-08-09,20473.26,1.5975
2016-08-10,20744.42,1.6124999999999998
2016-08-11,60909.98,1.7025000000000001
2016-08-12,70552.77,1.79
2016-08-13,27157.09,1.6624999999999999
2016-08-14,43311.5,1.6525
2016-08-15,33198.41,1.6400000000000001
2016-08-16,11304.1,1.6
2016-08-17,9249.76,1.6
