Dates,Volume,Price
2017-10-14,373.94,3.37
2017-10-15,0.0,3.34
2017-10-16,0.0,3.16
2017-10-17,0.0,3.14
2017-10-18,0.0,3.07
2017-10-19,0.0,3.03
2017-10-20,0.0,3.0
2017-10-21,0.0,2.94
2017-10-22,0.0,2.85
2017-10-23,0.0,2.97
2017-10-24,0.0,2.96
2017-10-25,0.0,2.96
2017-10-26,0.0,2.96
2017-10-27,0.0,2.93
2017-10-28,0.0,3.04
2017-10-29,0.0,3.07
2017-10-30,0.0,3.04
2017-10-31,0.0,2.89
2017-11-01,0.0,2.85
2017-11-02,0.0,3.05
2017-11-03,0.0,3.0
2017-11-04,0.0,2.96
2017-11-05,0.0,2.97
2017-11-06,0.0,2.92
2017-11-07,0.0,3.07
2017-11-08,0.0,3.2
2017-11-09,0.0,2.97
2017-11-10,0.0,3.14
2017-11-11,0.0,3.06
2017-11-12,0.0,3.15
2017-11-13,0.0,3.35
2017-11-14,0.0,3.31
2017-11-15,0.0,3.3
2017-11-16,0.0,3.32
2017-11-17,0.0,3.47
2017-11-18,0.0,3.55
2017-11-19,0.0,3.68
2017-11-20,0.0,3.61
2017-11-21,0.0,3.81
2017-11-22,0.0,4.07
2017-11-23,0.0,4.7
2017-11-24,0.0,4.65
2017-11-25,0.0,4.71
2017-11-26,0.0,4.75
2017-11-27,0.0,4.66
2017-11-28,0.0,4.27
2017-11-29,0.0,4.35
2017-11-30,0.0,4.62
2017-12-01,0.0,4.58
2017-12-02,0.0,4.63
2017-12-03,0.0,4.67
2017-12-04,0.0,4.54
2017-12-05,0.0,4.22
2017-12-06,0.0,4.21
2017-12-07,0.0,4.52
2017-12-08,0.0,4.73
2017-12-09,0.0,4.36
2017-12-10,0.0,5.13
2017-12-11,0.0,6.57
2017-12-12,0.0,6.99
2017-12-13,0.0,6.94
2017-12-14,0.0,6.84
2017-12-15,0.0,6.93
2017-12-16,0.0,7.18
2017-12-17,0.0,7.86
2017-12-18,0.0,8.13
2017-12-19,0.0,7.99
2017-12-20,0.0,7.89
2017-12-21,0.0,6.58
2017-12-22,0.0,7.0
2017-12-23,0.0,6.76
2017-12-24,0.0,7.23
2017-12-25,0.0,7.53
2017-12-26,0.0,7.4
2017-12-27,0.0,7.17
2017-12-28,0.0,7.4
2017-12-29,0.0,6.93
2017-12-30,0.0,7.41
2017-12-31,0.0,7.56
2018-01-01,0.0,8.62
2018-01-02,0.0,9.41
2018-01-03,0.0,9.45
2018-01-04,6108.4,6.8575
2018-01-05,42750.96,7.27
2018-01-06,248005.21,10.305
2018-01-07,123091.27,11.625
2018-01-08,270814.35,15.98
2018-01-09,145772.84,18.265
2018-01-10,130878.88,15.8125
2018-01-11,127077.74,16.1825
2018-01-12,104205.98,14.665000000000001
2018-01-13,61535.39,13.822500000000002
2018-01-14,78868.47,12.625
2018-01-15,62550.57,10.197500000000002
2018-01-16,62757.68,9.844999999999999
2018-01-17,56976.52,10.695
2018-01-18,47998.58,10.16
2018-01-19,45127.69,10.945
2018-01-20,18144.36,9.7175
2018-01-21,26839.11,8.125
2018-01-22,28489.45,8.254999999999999
2018-01-23,43760.71,9.290000000000001
2018-01-24,45352.26,9.0175
2018-01-25,19851.08,8.56
2018-01-26,18042.16,8.245
2018-01-27,50677.29,8.2325
2018-01-28,30255.33,7.3575
2018-01-29,55921.37,6.4275
2018-01-30,48385.83,7.0024999999999995
2018-01-31,27046.97,6.23
2018-02-01,21147.82,4.7575
2018-02-02,20252.7,5.4375
2018-02-03,7432.13,4.35
2018-02-04,14556.25,3.3475
2018-02-05,31139.34,3.9725
2018-02-06,28125.22,4.3525
2018-02-07,23654.09,4.8225
2018-02-08,18090.45,5.03
2018-02-09,14762.98,4.545
2018-02-10,15397.88,4.1425
2018-02-11,10298.55,4.4825
2018-02-12,8292.52,4.3425
2018-02-13,13905.98,4.6425
2018-02-14,17040.23,5.035
2018-02-15,13585.01,5.1225
2018-02-16,26290.2,4.995
2018-02-17,12013.34,4.3125
2018-02-18,14626.7,4.460000000000001
2018-02-19,15266.73,4.1875
2018-02-20,14348.62,3.52
2018-02-21,12764.04,3.27
2018-02-22,7603.31,3.45
2018-02-23,11522.98,3.375
2018-02-24,26175.59,3.78
2018-02-25,9438.69,3.6425
2018-02-26,12448.95,3.6400000000000006
2018-02-27,7128.53,3.5225
2018-02-28,16322.12,3.845
2018-03-01,17665.82,3.85
2018-03-02,10739.79,3.5500000000000003
2018-03-03,13567.96,3.1574999999999998
2018-03-04,0.0,3.13
