Dates,Volume,Price
2018-01-07,2426.94,3.365
2018-01-08,37471.9,3.2375
2018-01-09,69054.7,6.02
2018-01-10,31497.26,3.4675000000000002
2018-01-11,30666.64,3.1775
2018-01-12,52782.18,3.25
2018-01-13,32353.28,2.8925
2018-01-14,48366.22,2.545
2018-01-15,48345.41,1.8775
2018-01-16,11616.33,1.665
2018-01-17,10906.85,1.7025000000000001
2018-01-18,27947.06,1.8225
2018-01-19,18574.08,2.0675
2018-01-20,59969.99,1.7075
2018-01-21,15948.62,1.715
2018-01-22,16862.68,1.7550000000000001
2018-01-23,37800.16,1.8875
2018-01-24,17867.14,1.9875
2018-01-25,25950.24,2.0650000000000004
2018-01-26,9504.55,2.1199999999999997
2018-01-27,11674.73,2.2275
2018-01-28,21205.34,2.3225
2018-01-29,46320.11,2.1899999999999995
2018-01-30,16633.26,2.1225
2018-01-31,37949.52,1.7974999999999999
2018-02-01,32748.05,1.5875000000000001
2018-02-02,2700.6,1.6825
2018-02-03,3128.43,1.5675000000000001
2018-02-04,7934.04,1.4200000000000002
2018-02-05,24062.95,1.55
2018-02-06,24870.84,1.376075
2018-02-07,19156.14,1.3399999999999999
2018-02-08,10373.55,1.34
2018-02-09,50579.18,1.27
2018-02-10,72877.33,1.1002
2018-02-11,311714.54,1.3050000000000002
2018-02-12,380366.41,1.2550000000000001
2018-02-13,514973.89,1.525
2018-02-14,438528.69,1.595
2018-02-15,446726.02,1.6075
2018-02-16,665787.58,1.915
2018-02-17,544610.91,1.8824999999999998
2018-02-18,640603.41,2.0825
2018-02-19,598899.67,1.945
2018-02-20,546167.47,1.7275
2018-02-21,528382.43,1.6275
2018-02-22,492691.38,1.7175
2018-02-23,420859.23,1.66
2018-02-24,405765.06,1.6125
2018-02-25,485594.96,1.725
2018-02-26,496632.26,1.7850000000000001
2018-02-27,452329.93,1.7550000000000001
2018-02-28,465912.56,1.8125
2018-03-01,461278.56,1.7650000000000001
2018-03-02,537812.46,1.865
2018-03-03,450874.28,1.8250000000000002
2018-03-04,7414.65,1.8025
