Dates,Volume,Price
2018-01-04,1311750.02,0.0791375
2018-01-05,3974621.37,0.076715
2018-01-06,3280936.8,0.0706325
2018-01-07,3482535.96,0.0704625
2018-01-08,7655879.32,0.08467749999999999
2018-01-09,3804751.0,0.09008
2018-01-10,3562412.43,0.06976750000000001
2018-01-11,2420503.69,0.06952
2018-01-12,2096263.65,0.0656625
2018-01-13,1992695.38,0.057625
2018-01-14,1534109.08,0.0536425
2018-01-15,2011426.78,0.035765
2018-01-16,3170963.36,0.0397125
2018-01-17,2444600.24,0.0505975
2018-01-18,1105697.57,0.047645
2018-01-19,1646148.84,0.046982499999999996
2018-01-20,992894.87,0.0411475
2018-01-21,813798.7,0.036635
2018-01-22,603723.11,0.03567
2018-01-23,759988.35,0.036145
2018-01-24,793050.97,0.034980000000000004
2018-01-25,917229.79,0.0332275
2018-01-26,736248.16,0.034635
2018-01-27,629836.85,0.034745
2018-01-28,2663915.22,0.03738
2018-01-29,1324012.25,0.034945
2018-01-30,643420.44,0.0322875
2018-01-31,679065.68,0.02625
2018-02-01,1186207.68,0.0230425
2018-02-02,1936131.58,0.0287025
2018-02-03,749083.11,0.02689
2018-02-04,592358.79,0.0193025
2018-02-05,1189455.26,0.023082500000000002
2018-02-06,579864.11,0.024050000000000002
2018-02-07,451380.69,0.025357499999999998
2018-02-08,338312.16,0.02683
2018-02-09,379094.43,0.02515
2018-02-10,238527.44,0.022535
2018-02-11,338515.29,0.02504
2018-02-12,241547.48,0.023455
2018-02-13,334433.45,0.025185000000000003
2018-02-14,262898.03,0.0262625
2018-02-15,282738.58,0.026185
2018-02-16,328492.52,0.027299999999999998
2018-02-17,255942.36,0.024557500000000003
2018-02-18,273858.65,0.026332500000000002
2018-02-19,385003.93,0.02575
2018-02-20,2017922.83,0.026675
2018-02-21,2776574.37,0.02932
2018-02-22,754116.25,0.0286675
2018-02-23,415911.94,0.0274175
2018-02-24,1036877.79,0.0289525
2018-02-25,804865.59,0.0305675
2018-02-26,556133.69,0.027999999999999997
2018-02-27,361184.95,0.0250875
2018-02-28,344687.9,0.0249725
2018-03-01,748803.11,0.023440000000000003
2018-03-02,431829.37,0.022585
2018-03-03,529454.76,0.0210225
2018-03-04,3567.25,0.020812499999999998
