Dates,Volume,Price
2016-06-30,0.3059,12.23
2016-07-01,89.22,12.04
2016-07-02,0.0,11.85
2016-07-03,0.0,11.34
2016-07-04,0.0,10.45
2016-07-05,0.0,10.51
2016-07-06,0.0,10.07
2016-07-07,0.0,11.3
2016-07-08,0.0,10.92
2016-07-09,21.94,10.97
2016-07-10,0.0,10.58
2016-07-11,0.0,10.54
2016-07-12,0.0,10.44
2016-07-13,0.0,11.55
2016-07-14,0.0,11.88
2016-07-15,0.0,11.59
2016-07-16,0.0,11.19
2016-07-17,2.87,11.03
2016-07-18,0.0,11.63
2016-07-19,0.0,12.54
2016-07-20,0.0,12.66
2016-07-21,0.0,14.82
2016-07-22,0.0,14.4
2016-07-23,0.0,12.63
2016-07-24,0.0,13.84
2016-07-25,0.0,12.08
2016-07-26,0.0,13.05
2016-07-27,0.0,12.87
2016-07-28,38.22,12.87
2016-07-29,0.0,12.57
2016-07-30,0.0,11.86
2016-07-31,0.0,11.04
2016-08-01,0.0,8.3
2016-08-02,0.0,10.42
2016-08-03,0.0,11.21
2016-08-04,0.0,11.05
2016-08-05,0.0,10.95
2016-08-06,0.0,10.98
2016-08-07,0.0,11.29
2016-08-08,0.0,12.22
2016-08-09,0.0,12.22
2016-08-10,0.0,11.68
2016-08-11,0.0,11.78
2016-08-12,0.0,11.56
2016-08-13,0.0,11.21
2016-08-14,0.0,11.21
2016-08-15,0.0,11.17
2016-08-16,0.0,10.77
2016-08-17,0.0,10.77
2016-08-18,0.0,10.71
2016-08-19,0.0,11.28
2016-08-20,22.28,11.14
2016-08-21,0.0,11.07
2016-08-22,0.0,11.01
2016-08-23,0.0,11.01
2016-08-24,0.0,11.35
2016-08-25,0.0,11.26
2016-08-26,0.0,11.19
2016-08-27,0.0,10.99
2016-08-28,0.0,10.95
2016-08-29,0.0,11.21
2016-08-30,0.0,11.55
2016-08-31,0.0,12.21
2016-09-01,0.0,12.08
2016-09-02,0.0,11.85
2016-09-03,0.0,11.71
2016-09-04,0.0,11.75
2016-09-05,0.0,11.7
2016-09-06,30.34,10.72
2016-09-07,0.0,9.68
2016-09-08,0.0,9.96
2016-09-09,0.0,10.24
2016-09-10,3.51,9.89
2016-09-11,137.92,11.0
2016-09-12,0.06213,11.92
2016-09-13,0.0,11.97
2016-09-14,603.23,13.4225
2016-09-15,2117.22,16.015
2016-09-16,93.34,16.55
2016-09-17,0.0,15.98
2016-09-18,1703.92,17.002499999999998
2016-09-19,2587.58,22.667500000000004
2016-09-20,4841.49,17.9725
2016-09-21,1874.86,16.8775
2016-09-22,366.86,16.3
2016-09-23,3957.67,15.3975
2016-09-24,1546.15,14.68
2016-09-25,0.0,13.02
2016-09-26,495.66,15.477500000000003
2016-09-27,2.61,16.49
2016-09-28,0.0,16.33
2016-09-29,445.56,16.0225
2016-09-30,667.0,13.967500000000001
2016-10-01,0.0,13.36
2016-10-02,574.57,13.58
2016-10-03,1870.09,13.45
2016-10-04,0.0,13.22
2016-10-05,0.0,13.0
2016-10-06,1404.07,12.235000000000001
2016-10-07,23.22,12.5725
2016-10-08,321.78,12.965
2016-10-09,0.0,12.8
2016-10-10,1258.59,11.575000000000001
2016-10-11,0.0,10.95
2016-10-12,3.63,11.09
2016-10-13,0.0,10.89
2016-10-14,0.0,10.94
2016-10-15,0.0,10.92
2016-10-16,597.76,12.535000000000002
2016-10-17,0.0,13.63
2016-10-18,0.0,13.06
2016-10-19,0.0,13.13
2016-10-20,0.0,13.16
2016-10-21,0.0,13.15
2016-10-22,119.21,11.59
2016-10-23,118.88,11.09
2016-10-24,0.0,10.58
2016-10-25,0.0,10.7
2016-10-26,0.0,10.63
2016-10-27,0.0,10.3
2016-10-28,0.0,9.66
2016-10-29,0.0,10.43
2016-10-30,0.0,10.15
2016-10-31,0.0,10.0
2016-11-01,0.0,10.06
2016-11-02,0.0,10.1
2016-11-03,0.0,10.35
2016-11-04,0.0,10.33
2016-11-05,0.0,10.2
2016-11-06,0.0,10.14
2016-11-07,0.0,10.1
2016-11-08,156.9,11.25
2016-11-09,0.0,11.57
2016-11-10,0.0,11.32
2016-11-11,9.93,10.434999999999999
2016-11-12,0.0,10.43
2016-11-13,0.0,10.3
2016-11-14,0.0,10.53
2016-11-15,1.35,8.675
2016-11-16,0.0,8.08
2016-11-17,1330.82,7.74
2016-11-18,0.0,7.88
2016-11-19,0.0,7.77
2016-11-20,0.0,7.76
2016-11-21,0.0,7.99
2016-11-22,0.0,7.94
2016-11-23,0.0,7.49
