Dates,Volume,Price
2017-12-17,34471.17,1.3437
2017-12-18,34924.72,1.2149
2017-12-19,39049.3,0.9613
2017-12-20,15646.44,0.9408
2017-12-21,14723.17,0.8489500000000001
2017-12-22,8288.5,0.9197499999999998
2017-12-23,3872.68,0.887825
2017-12-24,8493.15,0.889125
2017-12-25,3048.69,1.001325
2017-12-26,3316.06,0.967025
2017-12-27,25859.18,0.880075
2017-12-28,7569.84,0.94495
2017-12-29,2884.89,0.837125
2017-12-30,22682.02,1.49145
2017-12-31,8867.62,1.9
2018-01-01,71233.71,3.165
2018-01-02,40152.31,2.865
2018-01-03,13255.86,2.975
2018-01-04,1242733.42,3.6025
2018-01-05,6212300.39,3.7775
2018-01-06,8344509.02,4.390000000000001
2018-01-07,3282703.18,4.135
2018-01-08,8916800.41,4.555
2018-01-09,5673129.39,4.8774999999999995
2018-01-10,3736518.55,3.995
2018-01-11,2942569.22,4.165
2018-01-12,3305150.58,4.2425
2018-01-13,2280419.95,3.815
2018-01-14,2718079.28,3.4549999999999996
2018-01-15,2841158.0,2.73
2018-01-16,3001935.2,2.9375
2018-01-17,2351309.57,3.15
2018-01-18,1302059.48,3.13
2018-01-19,1810107.95,3.295
2018-01-20,1093907.54,2.745
2018-01-21,1287755.9,2.5375
2018-01-22,946791.98,2.465
2018-01-23,1148476.14,2.4925
2018-01-24,1093243.35,2.335
2018-01-25,1229019.0,2.2275
2018-01-26,2092872.81,2.695
2018-01-27,1546836.84,2.915
2018-01-28,1546185.86,2.6125
2018-01-29,1489646.6,2.2325
2018-01-30,1100031.95,2.2475
2018-01-31,970421.27,1.9725
2018-02-01,1650123.02,1.7925
2018-02-02,1191272.49,1.9875
2018-02-03,687113.16,1.6575
2018-02-04,1052383.59,1.2725
2018-02-05,1488477.87,1.4725000000000001
2018-02-06,869612.43,1.5
2018-02-07,624141.01,1.54
2018-02-08,563910.88,1.6050000000000002
2018-02-09,760878.45,1.515
2018-02-10,585836.98,1.355
2018-02-11,954191.34,1.5775000000000001
2018-02-12,565863.76,1.5300000000000002
2018-02-13,1150081.18,1.8450000000000002
2018-02-14,745340.2,2.015
2018-02-15,716706.87,1.8575000000000002
2018-02-16,516363.05,2.0349999999999997
2018-02-17,510475.84,1.845
2018-02-18,646013.06,1.9050000000000002
2018-02-19,1025457.49,1.6624999999999999
2018-02-20,737390.32,1.445
2018-02-21,691538.54,1.2975
2018-02-22,645539.06,1.4000000000000001
2018-02-23,370184.75,1.3624999999999998
2018-02-24,441574.36,1.3275
2018-02-25,307409.23,1.44
2018-02-26,484827.16,1.395
2018-02-27,527191.48,1.2349999999999999
2018-02-28,625860.84,1.35
2018-03-01,648010.28,1.4675
2018-03-02,456781.62,1.53
2018-03-03,669922.01,1.5875
2018-03-04,49020.38,1.6949999999999998
