Dates,Volume,Price
2017-10-19,67550.7,2.55
2017-10-20,1812295.77,2.4825
2017-10-21,448202.36,2.2275
2017-10-22,583203.96,2.035
2017-10-23,1088227.43,2.1575
2017-10-24,372125.38,2.2150000000000003
2017-10-25,2218891.04,2.2800000000000002
2017-10-26,2280170.77,2.505
2017-10-27,529204.96,2.41
2017-10-28,746610.85,2.3275
2017-10-29,441429.14,2.29
2017-10-30,533016.9,2.225
2017-10-31,1779319.03,1.9749999999999996
2017-11-01,355296.66,1.965
2017-11-02,391545.77,2.0425
2017-11-03,240115.01,2.0425
2017-11-04,859415.38,1.9075000000000002
2017-11-05,307566.03,1.815
2017-11-06,840672.25,1.88
2017-11-07,767260.13,1.9774999999999998
2017-11-08,1658277.53,2.1599999999999997
2017-11-09,1347149.92,2.1625
2017-11-10,520694.27,1.9849999999999999
2017-11-11,1082008.9,1.9675
2017-11-12,292841.12,2.0075
2017-11-13,876887.19,2.165
2017-11-14,1430860.97,2.2675
2017-11-15,1355767.49,2.145
2017-11-16,389054.98,2.085
2017-11-17,420538.76,2.1125
2017-11-18,617476.46,2.1825
2017-11-19,642485.07,2.2800000000000002
2017-11-20,1347208.65,2.3325
2017-11-21,574542.11,2.2824999999999998
2017-11-22,549892.97,2.2750000000000004
2017-11-23,473729.87,2.2074999999999996
2017-11-24,1228443.18,2.25
2017-11-25,59338.82,2.2925
2017-11-26,1777686.59,2.3674999999999997
2017-11-27,1584188.55,2.3
2017-11-28,2254782.29,2.1525
2017-11-29,1241527.67,2.08
2017-11-30,777088.89,2.1425
2017-12-01,634777.43,2.1224999999999996
2017-12-02,918144.59,2.1425
2017-12-03,1067145.55,2.1750000000000003
2017-12-04,1824302.67,2.2775
2017-12-05,7746563.78,2.6925
2017-12-06,3022813.37,2.3075
2017-12-07,1948823.79,2.28
2017-12-08,1905635.49,2.3725
2017-12-09,1534935.29,2.285
2017-12-10,1506004.39,2.29
2017-12-11,2717178.77,2.3725
2017-12-12,2337245.21,2.535
2017-12-13,3868174.99,2.7975000000000003
2017-12-14,2056793.27,2.8674999999999997
2017-12-15,2387558.41,2.805
2017-12-16,8138369.75,3.0050000000000003
2017-12-17,4520168.29,3.175
2017-12-18,6992232.89,3.4525
2017-12-19,2492700.93,3.295
2017-12-20,2919597.34,3.395
2017-12-21,5210708.2,2.522575
2017-12-22,4003578.88,2.73
2017-12-23,2458749.19,2.7
2017-12-24,11711779.38,3.4675000000000002
2017-12-25,5986840.37,3.955
2017-12-26,2842418.99,3.6599999999999997
2017-12-27,1794095.22,3.5550000000000006
2017-12-28,5264800.1,4.1925
2017-12-29,3453451.33,4.0175
2017-12-30,1897800.66,3.635
2017-12-31,1603810.12,3.8525
2018-01-01,3572649.05,4.3375
2018-01-02,3568359.42,4.62
2018-01-03,4512024.46,4.972499999999999
2018-01-04,5484179.42,5.2275
2018-01-05,2484510.0,5.28
2018-01-06,9626466.46,5.8375
2018-01-07,6437499.18,6.0975
2018-01-08,3723412.89,6.5024999999999995
2018-01-09,3858627.36,6.2175
2018-01-10,6115779.01,5.3725000000000005
2018-01-11,2913173.67,5.2075
2018-01-12,2789071.91,5.7675
2018-01-13,2090464.21,5.5024999999999995
2018-01-14,2428664.64,5.4125000000000005
2018-01-15,4963302.87,4.3025
2018-01-16,2565551.03,3.2925
2018-01-17,2276461.65,3.675
2018-01-18,1320517.85,3.79
2018-01-19,1349161.33,4.2975
2018-01-20,1396280.84,4.1125
2018-01-21,1563301.96,3.5175
2018-01-22,1462509.41,3.24
2018-01-23,1433469.47,3.2475000000000005
2018-01-24,500062.44,3.34
2018-01-25,674010.01,3.2775000000000003
2018-01-26,1066207.34,3.3800000000000003
2018-01-27,482571.58,3.515
2018-01-28,410478.72,3.395
2018-01-29,934565.22,3.005
2018-01-30,600192.44,2.75
2018-01-31,794443.07,2.5075000000000003
2018-02-01,1147170.37,2.1125
2018-02-02,1299933.07,2.4125
2018-02-03,571666.55,2.36
2018-02-04,748797.45,1.9425
2018-02-05,868241.43,1.7525
2018-02-06,772825.48,1.9200000000000002
2018-02-07,297822.67,1.93
2018-02-08,403831.2,2.09
2018-02-09,529627.74,2.0775
2018-02-10,283124.57,1.9224999999999999
2018-02-11,1247682.51,2.09
2018-02-12,1456566.34,2.2824999999999998
2018-02-13,1411648.85,2.5275
2018-02-14,757272.81,2.6975
2018-02-15,399770.76,2.68
2018-02-16,936279.78,2.9175
2018-02-17,3199423.2,3.1125000000000003
2018-02-18,1234884.64,3.0725
2018-02-19,1630105.91,3.0075
2018-02-20,1158353.57,2.7375
2018-02-21,792052.23,2.5075
2018-02-22,770894.23,2.4299999999999997
2018-02-23,483491.4,2.46
2018-02-24,291916.03,2.3899999999999997
2018-02-25,1848699.09,2.56
2018-02-26,603436.72,2.7175000000000002
2018-02-27,434942.43,2.6325
2018-02-28,258205.2,2.6275
2018-03-01,258233.37,2.58
2018-03-02,193018.0,2.5949999999999998
2018-03-03,453330.24,2.5375
2018-03-04,1185.52,2.5325
