Dates,Volume,Price
2016-01-01,3.78,7.4815e-05
2016-01-02,18.04,7.322e-05
2016-01-03,175.88,6.0662500000000004e-05
2016-01-04,7.1,6.79125e-05
2016-01-05,8.28,6.56975e-05
2016-01-06,18.63,7.42725e-05
2016-01-07,0.0,9.62425e-05
2016-01-08,43.78,7.6215e-05
2016-01-09,5.8,7.4735e-05
2016-01-10,39.57,7.2755e-05
2016-01-11,1.87,7.009750000000001e-05
2016-01-12,1.4,6.699000000000001e-05
2016-01-13,0.0,9.8705e-05
2016-01-14,33.99,6.421500000000001e-05
2016-01-15,0.2541,7.219750000000001e-05
2016-01-16,2.6,6.788749999999999e-05
2016-01-17,64.15,6.0545e-05
2016-01-18,4.5,5.9765e-05
2016-01-19,242.54,7.255e-05
2016-01-20,12.74,7.0765e-05
2016-01-21,2.77,6.792e-05
2016-01-22,7.47,6.6065e-05
2016-01-23,1.28,7.036999999999999e-05
2016-01-24,4.89,6.677e-05
2016-01-25,68.59,6.431000000000001e-05
2016-01-26,13.67,6.813750000000001e-05
2016-01-27,9.67,6.73925e-05
2016-01-28,109.97,7.41575e-05
2016-01-29,22.59,7.555499999999999e-05
2016-01-30,0.06933,7.581499999999999e-05
2016-01-31,1.35,7.6295e-05
2016-02-01,4.57,7.664999999999999e-05
2016-02-02,111.2,8.46425e-05
2016-02-03,4.78,9.570749999999999e-05
2016-02-04,44.28,0.00010240499999999999
2016-02-05,109.99,0.00010357500000000001
2016-02-06,15.55,0.000103915
2016-02-07,22.38,0.000101525
2016-02-08,47.24,0.000102245
2016-02-09,18.83,0.000106925
2016-02-10,24.26,0.00010339
2016-02-11,101.39,0.0001113875
2016-02-12,3598.62,0.000268175
2016-02-13,3595.33,0.00030615
2016-02-14,226.75,0.000237625
2016-02-15,94.87,0.00019302500000000002
2016-02-16,330.64,0.000192925
2016-02-17,297.88,0.00019595
2016-02-18,62.57,0.00018795
2016-02-19,105.74,0.000187
2016-02-20,201.49,0.00016419999999999998
2016-02-21,60.41,0.000152125
2016-02-22,14.98,0.0001491
2016-02-23,9.8,0.0001469
2016-02-24,129.66,0.000153525
2016-02-25,74.86,0.00017517500000000002
2016-02-26,105.83,0.000174675
2016-02-27,137.37,0.000164325
2016-02-28,483.25,0.0001614
