Dates,Volume,Price
2017-10-13,12343.11,0.74965
2017-10-14,43641.09,0.63195
2017-10-15,266162.81,0.614625
2017-10-16,168004.85,0.5352
2017-10-17,72659.4,0.49939999999999996
2017-10-18,123713.64,0.490425
2017-10-19,148574.83,0.470175
2017-10-20,116361.31,0.431275
2017-10-21,88734.71,0.42345
2017-10-22,62538.1,0.395875
2017-10-23,91675.2,0.380825
2017-10-24,131210.17,0.464075
2017-10-25,75411.05,0.45457499999999995
2017-10-26,70772.68,0.430475
2017-10-27,79722.79,0.413925
2017-10-28,88603.83,0.420075
2017-10-29,77877.81,0.391175
2017-10-30,86239.05,0.39835
2017-10-31,63736.85,0.380975
2017-11-01,29691.95,0.34907499999999997
2017-11-02,45116.49,0.360425
2017-11-03,76087.91,0.389425
2017-11-04,71733.91,0.37922500000000003
2017-11-05,97940.18,0.34985
2017-11-06,52174.42,0.38644999999999996
2017-11-07,343131.29,0.432575
2017-11-08,684024.56,0.47075
2017-11-09,659653.36,0.4539
2017-11-10,512160.78,0.418375
2017-11-11,479446.0,0.3712
2017-11-12,706072.24,0.42560000000000003
2017-11-13,572040.66,0.41045000000000004
2017-11-14,573400.83,0.41685
2017-11-15,767827.41,0.40260000000000007
2017-11-16,699157.25,0.381925
2017-11-17,596041.57,0.398325
2017-11-18,615118.83,0.40895000000000004
2017-11-19,604407.79,0.39522500000000005
2017-11-20,806965.82,0.413325
2017-11-21,3275283.79,0.51495
2017-11-22,1128512.47,0.52195
2017-11-23,858671.72,0.510175
2017-11-24,664103.8,0.52145
2017-11-25,554678.63,0.5046999999999999
2017-11-26,376759.23,0.492575
2017-11-27,414633.52,0.48424999999999996
2017-11-28,889036.24,0.55445
2017-11-29,23305016.1,0.7191000000000001
2017-11-30,4625205.62,0.7126250000000001
2017-12-01,2299038.95,0.619875
2017-12-02,1955133.2,0.5920749999999999
2017-12-03,7119267.13,0.66875
2017-12-04,2730763.97,0.6819249999999999
2017-12-05,3481502.02,0.695625
2017-12-06,3654433.25,0.638725
2017-12-07,2507231.34,0.540375
2017-12-08,1594272.48,0.567475
2017-12-09,1186560.4,0.555025
2017-12-10,4952470.04,0.6301
2017-12-11,3747639.33,0.652925
2017-12-12,3989609.35,0.634825
2017-12-13,4683954.85,0.6578
2017-12-14,3753932.24,0.651025
2017-12-15,3613614.28,0.7037
2017-12-16,9156410.84,0.81275
2017-12-17,10121614.16,0.9757
2017-12-18,6662750.58,0.963925
2017-12-19,9517639.1,1.017325
2017-12-20,9245917.02,1.123225
2017-12-21,4506822.16,0.957975
2017-12-22,5689318.31,1.121525
2017-12-23,9005167.67,1.2925
2017-12-24,73756068.2,2.2575
2017-12-25,36012441.13,2.6350000000000002
2017-12-26,28445696.65,2.6025
2017-12-27,16976350.05,2.6325
2017-12-28,14559554.68,2.5900000000000003
2017-12-29,15735369.65,2.3525
2017-12-30,12808141.87,2.6975000000000002
2017-12-31,11347508.6,2.85
2018-01-01,74822757.75,4.3500000000000005
2018-01-02,88193058.09,5.914999999999999
2018-01-03,23081190.73,5.765
2018-01-04,28353764.78,5.527500000000001
2018-01-05,37161974.59,5.705
2018-01-06,23918631.56,5.654999999999999
2018-01-07,45654543.73,6.115
2018-01-08,40071658.23,6.845
2018-01-09,50681776.48,7.5875
2018-01-10,25235264.47,6.7825
2018-01-11,15748568.34,6.7875000000000005
2018-01-12,12452941.35,6.685
2018-01-13,9758612.62,6.0575
2018-01-14,9847001.0,5.802499999999999
2018-01-15,13756578.38,4.045
2018-01-16,13857610.6,3.9600000000000004
2018-01-17,7963265.74,4.5475
2018-01-18,7006665.43,4.927499999999999
2018-01-19,8228561.45,5.357499999999999
2018-01-20,7961960.73,4.6375
2018-01-21,5592715.89,4.0424999999999995
2018-01-22,5563602.59,4.1675
2018-01-23,4416864.47,4.475
2018-01-24,3341175.39,4.275
2018-01-25,6476316.89,4.120000000000001
2018-01-26,5256532.66,4.33
2018-01-27,5157794.05,4.5325
2018-01-28,4419032.21,4.13
2018-01-29,3363722.58,3.5375
2018-01-30,3124809.04,3.4125
2018-01-31,3969866.76,2.9450000000000003
2018-02-01,4665245.68,2.71
2018-02-02,2473363.22,2.96
2018-02-03,1905749.33,2.555
2018-02-04,2853367.65,1.9449999999999998
2018-02-05,6735600.89,2.2199999999999998
2018-02-06,4208374.74,2.27
2018-02-07,662892.63,2.5225
2018-02-08,12721184.91,3.0525
2018-02-09,7693101.53,3.0149999999999997
2018-02-10,6276540.26,2.675
2018-02-11,10968364.54,3.125
2018-02-12,4430520.81,3.0375
2018-02-13,3053194.69,3.23
2018-02-14,2844845.79,3.2650000000000006
2018-02-15,2532559.94,3.3425
2018-02-16,2474170.92,3.5500000000000003
2018-02-17,2365398.27,3.1125
2018-02-18,1882142.42,3.2150000000000003
2018-02-19,2699201.9,2.93
2018-02-20,3307928.36,2.625
2018-02-21,2716857.23,2.4325
2018-02-22,1619786.65,2.5149999999999997
2018-02-23,1448030.54,2.4450000000000003
2018-02-24,1246244.17,2.455
2018-02-25,1825310.27,2.6550000000000002
2018-02-26,1718439.35,2.62
2018-02-27,1767492.13,2.5500000000000003
2018-02-28,1312358.29,2.6125
2018-03-01,2730856.79,2.6625
2018-03-02,4274652.28,2.8000000000000003
2018-03-03,2249166.87,2.6824999999999997
2018-03-04,29568.25,2.6325
