Dates,Volume,Price
2016-07-26,558826.04,1.775
2016-07-27,1528481.27,1.6875000000000002
2016-07-28,1155257.71,1.6574999999999998
2016-07-29,470031.49,1.615
2016-07-30,1378623.86,1.6725
2016-07-31,2934310.81,2.0175
2016-08-01,9019736.5,2.6500000000000004
2016-08-02,1912119.18,2.635
2016-08-03,797911.44,2.4274999999999998
2016-08-04,514279.69,2.4425
2016-08-05,642312.57,2.6525
2016-08-06,823950.08,2.4
2016-08-07,676649.99,2.145
2016-08-08,719868.89,2.02
2016-08-09,930980.15,1.8199999999999998
2016-08-10,901193.34,1.7675
2016-08-11,888271.77,1.895
2016-08-12,278063.91,1.8525
2016-08-13,554137.58,1.9075000000000002
2016-08-14,610450.08,1.9075000000000002
2016-08-15,239243.97,1.8525
2016-08-16,443080.2,1.7975
2016-08-17,339452.91,1.71
2016-08-18,541135.52,1.7125000000000001
2016-08-19,189740.72,1.7349999999999999
2016-08-20,93912.02,1.7300000000000002
2016-08-21,458768.15,1.6825
2016-08-22,611300.1,1.6300000000000001
2016-08-23,617129.77,1.5725
2016-08-24,1317721.38,1.3949999999999998
2016-08-25,830697.01,1.3975
2016-08-26,379511.1,1.3975
2016-08-27,587760.9,1.345
2016-08-28,687881.85,1.3
2016-08-29,1517729.56,1.2349999999999999
2016-08-30,673241.57,1.2149999999999999
2016-08-31,1650502.19,1.3325
2016-09-01,654230.47,1.4324999999999999
2016-09-02,202185.12,1.3725
2016-09-03,403639.68,1.3875
2016-09-04,308183.67,1.4725000000000001
2016-09-05,329114.81,1.4699999999999998
2016-09-06,410549.51,1.475
2016-09-07,188384.33,1.4875
2016-09-08,306591.52,1.4324999999999999
2016-09-09,212144.48,1.42
2016-09-10,953441.08,1.38
2016-09-11,276246.25,1.3325
2016-09-12,328590.36,1.31
2016-09-13,309312.73,1.2925
2016-09-14,200510.28,1.29
2016-09-15,272345.17,1.3075
2016-09-16,154739.73,1.3225000000000002
2016-09-17,427802.95,1.3800000000000001
2016-09-18,247064.86,1.3
2016-09-19,366568.21,1.2625000000000002
2016-09-20,532444.42,1.2375
2016-09-21,768300.64,1.235
2016-09-22,184349.23,1.2525
2016-09-23,141297.48,1.2425000000000002
2016-09-24,92913.39,1.2325
2016-09-25,164619.84,1.2075
2016-09-26,150505.42,1.19
2016-09-27,353233.54,1.2225
2016-09-28,140758.86,1.255
2016-09-29,121747.35,1.27
2016-09-30,114430.77,1.22
2016-10-01,151874.21,1.1949999999999998
2016-10-02,131358.3,1.1949999999999998
2016-10-03,194640.59,1.17
2016-10-04,169419.34,1.1825
2016-10-05,38840.96,1.1775
2016-10-06,30554.85,1.17
2016-10-07,24566.3,1.1749999999999998
2016-10-08,18114.56,1.18
2016-10-09,90065.04,1.1625
2016-10-10,345714.48,1.13
2016-10-11,370586.45,1.055075
2016-10-12,303580.5,1.008925
2016-10-13,80558.59,0.9957
2016-10-14,24882.42,0.992175
2016-10-15,220404.62,1.090675
2016-10-16,304296.59,1.1275
2016-10-17,145030.09,1.05
2016-10-18,89020.96,1.05
2016-10-19,27189.55,1.0474999999999999
