Dates,Volume,Price
2016-01-01,68.51,0.93735
2016-01-02,485.22,0.9588249999999999
2016-01-03,787.29,0.94825
2016-01-04,735.99,0.94835
2016-01-05,1053.39,0.9434499999999999
2016-01-06,1618.85,0.945
2016-01-07,6900.86,0.9624999999999999
2016-01-08,3030.57,0.98335
2016-01-09,1681.59,0.9938
2016-01-10,8945.11,1.045
2016-01-11,27407.51,1.15
2016-01-12,9029.78,1.1625
2016-01-13,2056.76,1.1400000000000001
2016-01-14,8843.4,1.2125
2016-01-15,8316.43,1.235
2016-01-16,2321.83,1.2625000000000002
2016-01-17,49371.88,1.4100000000000001
2016-01-18,4079.11,1.345
2016-01-19,7820.16,1.3975
2016-01-20,39665.92,1.5225
2016-01-21,11707.58,1.535
2016-01-22,50006.7,1.7425
2016-01-23,130458.32,1.8824999999999998
2016-01-24,52226.03,2.3825
2016-01-25,117514.72,2.4625
2016-01-26,39261.18,2.3499999999999996
2016-01-27,15510.81,2.455
2016-01-28,67942.62,2.4450000000000003
2016-01-29,8531.53,2.455
2016-01-30,39324.61,2.345
2016-01-31,27808.17,2.1725
2016-02-01,20326.35,2.2975000000000003
2016-02-02,16849.92,2.455
2016-02-03,37881.24,2.5975
2016-02-04,26847.76,2.5475
2016-02-05,14564.38,2.535
2016-02-06,50607.27,2.76
2016-02-07,68693.75,3.0375
2016-02-08,112281.0,3.5075000000000003
2016-02-09,420132.78,4.1475
2016-02-10,237406.57,5.1375
2016-02-11,329698.23,5.7924999999999995
2016-02-12,309173.66,5.09
2016-02-13,105581.06,5.0825
2016-02-14,157021.98,5.225
2016-02-15,149224.59,4.7275
2016-02-16,194919.64,4.0975
2016-02-17,160004.28,4.0725
2016-02-18,67845.42,4.405
2016-02-19,59998.66,4.387499999999999
2016-02-20,96725.16,4.4075
2016-02-21,184739.37,5.1425
2016-02-22,167226.88,5.655
2016-02-23,203972.45,5.984999999999999
2016-02-24,301845.82,6.0875
2016-02-25,94076.51,5.99
2016-02-26,190116.54,6.1475
2016-02-27,88226.81,6.375
2016-02-28,104433.56,6.3675
2016-02-29,429220.92,6.9475
2016-03-01,467357.43,8.3075
2016-03-02,862559.89,9.072499999999998
2016-03-03,908225.64,9.385000000000002
2016-03-04,1726260.37,10.6775
2016-03-05,845841.96,10.9075
2016-03-06,732233.35,10.252500000000001
2016-03-07,592001.58,9.690000000000001
2016-03-08,568223.02,10.7575
2016-03-09,749105.04,11.24
2016-03-10,332692.07,11.094999999999999
2016-03-11,1669862.35,12.252500000000001
2016-03-12,1539173.65,13.8575
2016-03-13,1909296.28,13.25
2016-03-14,978794.3,12.26
2016-03-15,593048.57,13.14
2016-03-16,1442272.97,11.815000000000001
2016-03-17,1629668.64,10.3625
2016-03-18,512234.39,10.572500000000002
2016-03-19,469675.86,10.245000000000001
2016-03-20,819534.02,10.9875
2016-03-21,727727.88,11.52
2016-03-22,654062.63,11.6775
2016-03-23,749565.0,11.685000000000002
2016-03-24,555245.29,10.9325
2016-03-25,265184.1,10.9125
2016-03-26,465235.75,10.675
2016-03-27,711407.88,11.052499999999998
2016-03-28,472412.31,11.575
2016-03-29,644259.56,11.7375
2016-03-30,469619.3,11.6875
2016-03-31,230341.67,11.55
2016-04-01,109565.05,11.565000000000001
2016-04-02,143804.1,11.5725
2016-04-03,368905.47,11.325000000000001
2016-04-04,848156.28,10.69
2016-04-05,347894.46,10.64
2016-04-06,499584.17,10.3925
2016-04-07,345107.3,9.932500000000001
2016-04-08,582928.98,9.4875
2016-04-09,1608160.22,8.6275
2016-04-10,477247.84,8.615
2016-04-11,656699.18,8.03
2016-04-12,816613.56,7.827500000000001
2016-04-13,331212.2,8.345
2016-04-14,182732.33,8.3575
2016-04-15,267873.74,8.355
2016-04-16,763315.62,9.100000000000001
2016-04-17,588238.26,9.084999999999999
2016-04-18,471842.85,8.872499999999999
