Dates,Volume,Price
2017-11-26,140.12,2.26
2017-11-27,100.92,1.53605
2017-11-28,207.41,1.03515
2017-11-29,1.01,1.3
2017-11-30,0.0,1.38
2017-12-01,0.0,1.37
2017-12-02,181.6,1.8299999999999998
2017-12-03,0.0,2.29
2017-12-04,0.0,2.22
2017-12-05,0.0,2.07
2017-12-06,0.0,2.06
2017-12-07,0.0,2.21
2017-12-08,0.0,2.32
2017-12-09,5.52,2.1
2017-12-10,0.0,2.46
2017-12-11,0.0,3.15
2017-12-12,99.82,2.325
2017-12-13,32.54,1.2353
2017-12-14,35.62,2.185
2017-12-15,171.25,2.08
2017-12-16,1.51,1.765
2017-12-17,0.0,1.56
2017-12-18,11.85,1.9900000000000002
2017-12-19,193.72,2.3600000000000003
2017-12-20,3022.09,4.795
2017-12-21,2994.67,4.335
2017-12-22,2795.6,3.6075
2017-12-23,1199.1,2.8249999999999997
2017-12-24,0.0,3.44
2017-12-25,0.0,3.58
2017-12-26,0.0,3.52
2017-12-27,782.24,2.29
2017-12-28,171.23,2.385
2017-12-29,311.41,2.28
2017-12-30,763.53,2.63
2017-12-31,427.69,3.2425
2018-01-01,138.5,4.32
2018-01-02,1065.87,10.25
2018-01-03,665.69,9.03
2018-01-04,3302.28,8.842500000000001
2018-01-05,1953.32,20.0575
2018-01-06,0.0,11.07
2018-01-07,12.62,12.62
2018-01-08,0.0,14.32
2018-01-09,0.0,13.88
2018-01-10,0.0,12.66
2018-01-11,0.0,14.01
2018-01-12,0.0,15.39
2018-01-13,0.0,15.1
2018-01-14,0.0,14.21
2018-01-15,0.0,11.67
2018-01-16,0.0,11.38
2018-01-17,0.0,11.25
2018-01-18,0.0,11.53
2018-01-19,0.0,12.78
2018-01-20,0.0,11.66
2018-01-21,0.0,11.11
2018-01-22,196.2,8.735
2018-01-23,687.52,6.635
2018-01-24,409.56,6.325
2018-01-25,349.72,5.6625
2018-01-26,35.35,6.645
2018-01-27,150.38,6.385000000000001
2018-01-28,227.17,5.67
2018-01-29,418.62,5.29
2018-01-30,292.55,4.890000000000001
2018-01-31,343.48,3.4175
2018-02-01,195.11,3.895
2018-02-02,1971.18,5.1625
2018-02-03,528.91,4.35
2018-02-04,174.18,2.8275000000000006
2018-02-05,1797.81,3.735
2018-02-06,168.24,4.2475000000000005
2018-02-07,185.44,4.824999999999999
2018-02-08,910.48,4.055
2018-02-09,111.37,3.5875000000000004
2018-02-10,3775.83,5.254999999999999
2018-02-11,598.95,5.915
2018-02-12,572.68,3.9250000000000007
2018-02-13,277.52,4.5525
2018-02-14,275.42,4.3125
2018-02-15,49.71,4.345000000000001
2018-02-16,828.17,4.48
2018-02-17,6.1,3.86
2018-02-18,244.22,4.025
2018-02-19,921.0,5.38
2018-02-20,914.52,4.71
2018-02-21,788.67,3.4450000000000003
2018-02-22,358.01,3.805
2018-02-23,201.59,3.5
2018-02-24,138.05,3.505
2018-02-25,156.56,3.9899999999999998
2018-02-26,67.12,3.92
2018-02-27,208.05,3.825
2018-02-28,1297.63,4.11
2018-03-01,28.78,4.71
2018-03-02,3887.32,4.5675
2018-03-03,1166.73,5.44
2018-03-04,0.0,5.64
