Dates,Volume,Price
2017-10-09,7486.02,1.768475
2017-10-10,3458.81,1.7462000000000002
2017-10-11,1038.56,1.0282
2017-10-12,743.02,0.9436500000000001
2017-10-13,1324.67,1.53
2017-10-14,631.1,1.6099999999999999
2017-10-15,48.7,1.73
2017-10-16,1628.74,1.385
2017-10-17,75.1,1.67
2017-10-18,27.43,0.9833500000000002
2017-10-19,96.05,0.9325
2017-10-20,129.25,1.2372999999999998
2017-10-21,34.35,1.275
2017-10-22,0.0,1.0
2017-10-23,0.0,0.9378
2017-10-24,32.68,0.7939
2017-10-25,0.0,0.6288
2017-10-26,3.56,1.04285
2017-10-27,1673.86,1.7761250000000002
2017-10-28,367.14,2.2125000000000004
2017-10-29,10.34,1.8975000000000002
2017-10-30,0.0,1.61
2017-10-31,65.05,1.615
2017-11-01,0.0,1.62
2017-11-02,35.75,1.5725
2017-11-03,0.0,1.84
2017-11-04,0.0,1.85
2017-11-05,0.0,1.74
2017-11-06,0.0,1.78
2017-11-07,759832.35,1.7474999999999998
2017-11-08,1096241.61,2.065
2017-11-09,1042761.45,1.8775
2017-11-10,583110.0,1.785
2017-11-11,386647.41,1.615
2017-11-12,468331.92,1.7375000000000003
2017-11-13,452471.16,1.7725
2017-11-14,827965.91,1.81
2017-11-15,524710.4,1.685
2017-11-16,250155.52,1.5399999999999998
2017-11-17,231923.1,1.555
2017-11-18,494760.0,1.7574999999999998
2017-11-19,333113.83,1.705
2017-11-20,460688.18,1.6400000000000001
2017-11-21,645142.96,1.6
2017-11-22,332580.11,1.49
2017-11-23,356559.84,1.465
2017-11-24,383978.45,1.4324999999999999
2017-11-25,272253.74,1.455
2017-11-26,1735775.47,1.4325
2017-11-27,2484313.92,1.4449999999999998
2017-11-28,2234713.28,1.3675
2017-11-29,1706346.24,1.2975
2017-11-30,2588172.2,1.48
2017-12-01,2038254.85,1.4475
2017-12-02,2083430.7,1.075145
2017-12-03,2137611.59,1.35
2017-12-04,3378620.28,1.31
2017-12-05,2652597.92,1.3699999999999999
2017-12-06,2167467.86,1.2675
2017-12-07,1964854.6,1.1524999999999999
2017-12-08,2308153.69,1.145
2017-12-09,1806760.19,1.145
2017-12-10,2281340.38,1.2075
2017-12-11,1510392.08,1.2349999999999999
2017-12-12,1057168.68,1.145
2017-12-13,1612526.48,1.2325
2017-12-14,4175382.85,1.5824999999999998
2017-12-15,2327273.55,1.5425
2017-12-16,3876725.46,1.55
2017-12-17,4063438.38,1.7225
2017-12-18,3123437.92,1.7025
2017-12-19,1526403.02,1.54
2017-12-20,1348649.91,1.5899999999999999
2017-12-21,704798.84,1.4050000000000002
2017-12-22,4304570.56,2.0075
2017-12-23,4523539.03,2.11
2017-12-24,1690851.85,1.9300000000000002
2017-12-25,1536185.57,1.995
2017-12-26,1099954.11,1.8575
2017-12-27,1212338.79,1.7774999999999999
2017-12-28,1886974.57,1.91
2017-12-29,1438589.55,1.6300000000000001
2017-12-30,1773806.35,1.9325
2017-12-31,1523039.84,1.9449999999999998
2018-01-01,2237245.2,2.1
2018-01-02,6606182.97,2.71
2018-01-03,9821621.75,3.7575000000000003
2018-01-04,5601747.25,3.7125000000000004
2018-01-05,16004707.95,4.647500000000001
2018-01-06,16803120.23,5.8525
2018-01-07,6223288.39,5.324999999999999
2018-01-08,5373186.1,5.0075
2018-01-09,3913304.98,4.93
2018-01-10,2971364.02,3.935
2018-01-11,1627181.94,4.0575
2018-01-12,11664231.39,4.82
2018-01-13,4723778.6,4.805
2018-01-14,2215886.58,4.335
2018-01-15,1947700.04,3.17
2018-01-16,1715372.72,3.0425
2018-01-17,5568910.5,3.6975000000000002
2018-01-18,5349177.03,4.3774999999999995
2018-01-19,2204880.02,4.529999999999999
2018-01-20,1380127.71,3.7849999999999997
2018-01-21,1082009.54,3.42
2018-01-22,3985148.88,3.6900000000000004
2018-01-23,1661608.21,3.9425000000000003
2018-01-24,1031008.72,3.6699999999999995
2018-01-25,920692.11,3.6425
2018-01-26,1067956.25,3.8049999999999997
2018-01-27,2079814.09,3.91
2018-01-28,722234.08,3.705
2018-01-29,764474.36,3.195
2018-01-30,792343.92,3.0250000000000004
2018-01-31,764431.74,2.5475000000000003
2018-02-01,533496.32,2.255
2018-02-02,441577.37,2.43
2018-02-03,201784.29,2.13
2018-02-04,365960.04,1.6500000000000001
2018-02-05,515999.19,1.7325
2018-02-06,649368.43,1.755
2018-02-07,12353.46,1.81
2018-02-08,330039.38,1.9
2018-02-09,1417777.93,2.035
2018-02-10,938463.86,1.795
2018-02-11,819885.58,1.8375
2018-02-12,1361052.26,1.7825000000000002
2018-02-13,1303450.38,1.97
2018-02-14,1284826.56,2.005
2018-02-15,1253944.26,2.0025
2018-02-16,1204706.11,2.145
2018-02-17,6156997.2,2.12
2018-02-18,14324714.35,2.6225
2018-02-19,11019449.67,2.6750000000000003
2018-02-20,2049789.48,2.2125000000000004
2018-02-21,1616901.75,1.9925000000000002
2018-02-22,1620189.01,2.1450000000000005
2018-02-23,1449188.14,2.105
2018-02-24,4186844.3,2.24
2018-02-25,4430155.44,2.4924999999999997
2018-02-26,3448867.56,2.5524999999999998
2018-02-27,1714650.43,2.3575
2018-02-28,1624730.73,2.3325
2018-03-01,1407647.15,2.3075
2018-03-02,1147141.91,2.3275
2018-03-03,1725129.79,2.2375
2018-03-04,60965.88,2.185
