Dates,Volume,Price
2017-08-02,228.28,2.81e-05
2017-08-03,0.5756,2.878e-05
2017-08-04,0.0,3.263e-05
2017-08-05,0.0,3.232e-05
2017-08-06,0.0,3.402e-05
2017-08-07,1.71,3.429e-05
2017-08-08,29.57,3.349e-05
2017-08-09,99.67,3.426e-05
2017-08-10,15.68,3.654e-05
2017-08-11,78.21,3.872e-05
2017-08-12,8.94,4.063e-05
2017-08-13,1.38,4.328e-05
2017-08-14,142.29,4.162e-05
2017-08-15,9.34,4.387e-05
2017-08-16,130.17,4.279e-05
2017-08-17,205.25,4.105e-05
2017-08-18,170.15,4.15e-05
2017-08-19,130.14,4.067e-05
2017-08-20,0.855,4.005e-05
2017-08-21,32.72,4.09e-05
2017-08-22,23.57,4.141e-05
2017-08-23,0.0,4.318e-05
2017-08-24,203.88,4.364e-05
2017-08-25,0.0,4.352e-05
2017-08-26,1.74,4.346e-05
2017-08-27,99.74,4.39e-05
2017-08-28,91.94,4.597e-05
2017-08-29,41.78,4.583e-05
2017-08-30,134.1,4.735e-05
2017-08-31,173.78,4.922e-05
2017-09-01,48.48,4.574e-05
2017-09-02,10.37,4.613e-05
2017-09-03,115.47,4.267e-05
2017-09-04,6.66,4.409e-05
2017-09-05,104.04,4.619e-05
2017-09-06,597.33,4.636e-05
2017-09-07,86.52,4.326e-05
2017-09-08,108.54,4.335e-05
2017-09-09,29.17,4.246e-05
2017-09-10,0.0,4.218e-05
2017-09-11,14.66,4.159e-05
2017-09-12,101.01,3.87e-05
2017-09-13,913.18,3.243e-05
2017-09-14,138.52,3.714e-05
2017-09-15,4.44,3.699e-05
2017-09-16,39.45,3.69e-05
2017-09-17,20.5,4.1e-05
2017-09-18,11.72,3.908e-05
2017-09-19,0.0,3.882e-05
2017-09-20,44.84,3.617e-05
2017-09-21,7.94,3.601e-05
2017-09-22,38.64,3.788e-05
2017-09-23,161.15,3.668e-05
2017-09-24,2.36,3.933e-05
2017-09-25,2513.64,3.893e-05
2017-09-26,415.23,4.212e-05
2017-09-27,495.94,4.196e-05
2017-09-28,18.19,4.173e-05
2017-09-29,270.26,4.361e-05
2017-09-30,0.0,4.403e-05
2017-10-01,0.0,4.401e-05
2017-10-02,0.0,4.314e-05
