Dates,Volume,Price
2016-01-01,317223.87,0.6366
2016-01-02,82745.78,0.649825
2016-01-03,119534.79,0.6142
2016-01-04,66870.01,0.6053
2016-01-05,42889.77,0.6181000000000001
2016-01-06,186888.69,0.5927749999999999
2016-01-07,296920.37,0.666725
2016-01-08,180571.53,0.7721
2016-01-09,109545.11,0.7497
2016-01-10,88267.42,0.7384250000000001
2016-01-11,1331196.42,1.012725
2016-01-12,565312.52,1.1683249999999998
2016-01-13,188473.82,1.1375
2016-01-14,360133.51,0.9211750000000001
2016-01-15,178190.99,0.9318
2016-01-16,143535.47,0.931
2016-01-17,85611.09,0.9556
2016-01-18,63952.69,0.90095
2016-01-19,54877.55,0.9413
2016-01-20,54465.57,0.95215
2016-01-21,178497.65,0.9772500000000001
2016-01-22,140320.08,1.0346250000000001
2016-01-23,65592.98,1.042975
2016-01-24,58837.13,0.9605999999999999
2016-01-25,279946.69,1.09805
2016-01-26,171970.14,1.2574999999999998
2016-01-27,206834.97,1.1186999999999998
2016-01-28,53643.66,1.0292750000000002
2016-01-29,29202.81,0.9981
2016-01-30,115756.02,0.8973500000000001
2016-01-31,26129.55,0.8875500000000001
2016-02-01,163515.82,0.8207249999999999
2016-02-02,57638.58,0.8038500000000001
2016-02-03,85497.63,0.9170500000000001
2016-02-04,475194.59,1.03635
2016-02-05,77857.79,0.99165
2016-02-06,142263.35,0.9583
2016-02-07,108961.6,0.978775
2016-02-08,91093.32,0.978575
2016-02-09,527674.55,1.079825
2016-02-10,283243.49,1.1400000000000001
2016-02-11,185197.06,1.155
2016-02-12,114036.53,1.105
2016-02-13,103349.85,1.095
2016-02-14,63689.6,1.1
2016-02-15,405480.62,1.12885
2016-02-16,216680.63,1.1099999999999999
2016-02-17,102047.03,1.0410750000000002
2016-02-18,65748.69,1.05
2016-02-19,112519.5,1.052175
2016-02-20,113866.45,0.9998750000000001
2016-02-21,137141.65,0.992525
2016-02-22,129204.92,0.958075
2016-02-23,392720.15,1.0355249999999998
2016-02-24,135811.12,1.06
2016-02-25,110893.89,1.0258
2016-02-26,143671.99,1.0306000000000002
2016-02-27,105463.97,1.05
2016-02-28,96623.39,1.0322
2016-02-29,80619.08,0.9832000000000001
2016-03-01,148691.07,0.9847750000000001
2016-03-02,205971.51,1.0416
2016-03-03,308283.65,1.1325
2016-03-04,1431384.87,1.4849999999999999
2016-03-05,4051747.83,2.0875
2016-03-06,1879919.38,2.32
2016-03-07,3728735.61,2.8249999999999997
2016-03-08,4300342.87,3.06
2016-03-09,2393341.63,2.6450000000000005
2016-03-10,1640716.15,2.3975
2016-03-11,1359761.01,2.3925
2016-03-12,1151499.5,2.4575000000000005
2016-03-13,793502.79,2.2475
2016-03-14,875679.8,2.1025
2016-03-15,687543.94,2.035
2016-03-16,786802.97,1.7775
2016-03-17,532482.9,1.54
2016-03-18,665017.14,1.675
2016-03-19,277531.74,1.6575
2016-03-20,444738.12,1.635
2016-03-21,232050.11,1.73
2016-03-22,1067785.9,1.8525
2016-03-23,409195.1,1.815
2016-03-24,243482.85,1.8199999999999998
2016-03-25,120746.95,1.8125
2016-03-26,523689.11,1.7875
2016-03-27,315373.61,1.7149999999999999
2016-03-28,218586.11,1.7400000000000002
2016-03-29,114708.34,1.745
2016-03-30,119517.43,1.7075
2016-03-31,158071.46,1.6724999999999999
2016-04-01,219705.61,1.625
2016-04-02,151995.03,1.625
2016-04-03,109081.67,1.645
2016-04-04,147879.74,1.6375
2016-04-05,171661.64,1.565
2016-04-06,139081.82,1.545
2016-04-07,124775.97,1.5
2016-04-08,69345.51,1.4975
2016-04-09,749498.39,1.3225
2016-04-10,188264.42,1.1775
2016-04-11,254568.42,1.1375
2016-04-12,241310.4,1.2225000000000001
2016-04-13,118379.47,1.2825000000000002
2016-04-14,102129.18,1.255
2016-04-15,423567.82,1.35
2016-04-16,212898.43,1.435
2016-04-17,77128.19,1.4224999999999999
2016-04-18,64479.92,1.41
2016-04-19,81249.57,1.3725
2016-04-20,129867.9,1.295
2016-04-21,62338.55,1.25
