Dates,Volume,Price
2016-05-07,139.16,4.505
2016-05-08,0.0002994,10.0
2016-05-09,35.38,5.11
2016-05-10,0.02874,5.35
2016-05-11,23.11,5.2
2016-05-12,65.44,5.225
2016-05-13,5.65,5.24
2016-05-14,11.36,5.25
2016-05-15,5.25,5.25
2016-05-16,10.48,5.125
2016-05-17,10.49,0.9750000000000001
2016-05-18,0.0,0.95
2016-05-19,0.0,0.95
2016-05-20,0.0,0.95
2016-05-21,69.45,0.95
2016-05-22,0.05246,5.25
2016-05-23,63.26,0.9975
2016-05-24,2574.68,5.3149999999999995
2016-05-25,1640.57,6.2575
2016-05-26,0.1611,2.2
2016-05-27,0.0,2.2
2016-05-28,0.1622,2.2
2016-05-29,0.0,2.2
2016-05-30,2078.57,2.975
2016-05-31,0.0002499,1.19
2016-06-01,0.0,1.19
2016-06-02,25.41,1.8
2016-06-03,0.0,2.4
2016-06-04,0.0,2.4
2016-06-05,0.0,2.4
2016-06-06,0.0,2.4
2016-06-07,0.0,2.4
2016-06-08,0.0,2.4
2016-06-09,0.2476,0.5
2016-06-10,0.0,0.5
2016-06-11,0.0,0.5
2016-06-12,0.0,0.5
2016-06-13,0.0,0.5
2016-06-14,0.0,0.5
2016-06-15,0.001426,0.35
2016-06-16,0.0,0.35
2016-06-17,0.0,0.35
2016-06-18,0.0,0.35
2016-06-19,0.0,0.35
2016-06-20,0.0,0.35
2016-06-21,5.41,2.0
2016-06-22,0.0,2.0
2016-06-23,0.0,2.0
2016-06-24,0.999,0.999
2016-06-25,4.0,2.0
2016-06-26,0.0,2.0
2016-06-27,0.0,2.0
2016-06-28,0.0,2.0
2016-06-29,0.0,2.0
2016-06-30,0.0,2.0
2016-07-01,0.0,2.0
2016-07-02,0.0,2.0
2016-07-03,0.0,2.0
2016-07-04,0.0,2.0
2016-07-05,0.0,2.0
2016-07-06,0.0,2.0
2016-07-07,0.0,2.0
2016-07-08,0.0,2.0
2016-07-09,0.0,2.0
2016-07-10,0.0,2.0
2016-07-11,0.0,2.0
2016-07-12,0.0,2.0
2016-07-13,0.0,2.0
2016-07-14,0.0,2.0
2016-07-15,0.0,2.0
2016-07-16,0.0,2.0
2016-07-17,0.0,2.0
2016-07-18,0.0,2.0
2016-07-19,0.0,2.0
2016-07-20,0.0,2.0
2016-07-21,0.0,2.0
2016-07-22,0.0,2.0
2016-07-23,0.0,2.0
2016-07-24,0.0,2.0
2016-07-25,0.0,2.0
2016-07-26,0.0,2.0
2016-07-27,0.0,2.0
2016-07-28,0.0,2.0
2016-07-29,0.0,2.0
2016-07-30,0.0,2.0
2016-07-31,0.0,2.0
2016-08-01,0.0,2.0
2016-08-02,0.0,2.0
2016-08-03,0.0,2.0
2016-08-04,0.0,2.0
2016-08-05,0.0,2.0
