Dates,Volume,Price
2017-09-06,735820.57,12.889999999999999
2017-09-07,392132.68,13.0525
2017-09-08,282836.84,11.5875
2017-09-09,202313.7,10.985
2017-09-10,170670.73,10.8325
2017-09-11,235176.1,10.405
2017-09-12,138837.16,9.085
2017-09-13,811571.38,10.2475
2017-09-14,434945.64,11.695
2017-09-15,220351.79,10.905
2017-09-16,80709.2,10.14
2017-09-17,143059.41,10.6175
2017-09-18,138500.34,9.83
2017-09-19,42751.54,9.094999999999999
2017-09-20,279120.7,9.2925
2017-09-21,1459088.68,13.265
2017-09-22,690949.06,15.997499999999999
2017-09-23,234465.54,15.23
2017-09-24,1583251.26,20.6975
2017-09-25,1386965.73,24.240000000000002
2017-09-26,848819.6,26.552500000000002
2017-09-27,738621.85,23.65
2017-09-28,405218.29,22.217499999999998
2017-09-29,1205762.37,26.4875
2017-09-30,1305129.4,29.917500000000004
2017-10-01,1127222.04,30.41
2017-10-02,959867.14,29.535
2017-10-03,1020900.16,27.869999999999997
2017-10-04,680673.2,29.11
2017-10-05,574140.58,28.877499999999998
2017-10-06,836198.57,27.817500000000003
2017-10-07,767455.79,26.4625
2017-10-08,507222.38,23.18
2017-10-09,417474.49,22.5975
2017-10-10,345463.84,23.582500000000003
2017-10-11,493367.85,23.575
2017-10-12,574470.19,22.5675
2017-10-13,255978.43,24.012500000000003
2017-10-14,197559.84,21.6725
2017-10-15,431015.9,22.22
2017-10-16,547973.77,21.894999999999996
2017-10-17,427518.98,21.3525
2017-10-18,718459.13,20.6425
2017-10-19,572668.56,20.622500000000002
2017-10-20,443353.03,19.255000000000003
2017-10-21,455871.31,20.2225
2017-10-22,885903.47,19.604999999999997
2017-10-23,1457309.22,19.720000000000002
2017-10-24,298848.26,20.385
2017-10-25,641689.62,19.185
2017-10-26,559790.63,18.5575
2017-10-27,373638.27,18.244999999999997
2017-10-28,613501.56,17.700000000000003
2017-10-29,497396.25,18.224999999999998
2017-10-30,580000.2,18.4175
2017-10-31,639324.05,16.79
2017-11-01,1017297.8,15.245000000000001
2017-11-02,820410.75,16.2925
2017-11-03,313517.16,17.465
2017-11-04,312179.17,17.0
2017-11-05,411667.17,16.517500000000002
2017-11-06,336206.06,17.807499999999997
2017-11-07,1444078.02,21.285
2017-11-08,1734141.28,22.71
2017-11-09,917283.2,20.5975
2017-11-10,717576.07,20.07
2017-11-11,705899.91,18.7
2017-11-12,526802.96,20.6025
2017-11-13,422583.36,20.195
2017-11-14,1082488.71,21.05
2017-11-15,870920.21,21.17
2017-11-16,3494894.96,22.282500000000002
2017-11-17,6932105.9,27.567500000000003
2017-11-18,4098612.77,25.929999999999996
2017-11-19,2402941.45,23.4725
2017-11-20,1397917.06,21.740000000000002
2017-11-21,1132053.63,21.5275
2017-11-22,1633106.58,20.1575
2017-11-23,892064.93,20.475
2017-11-24,1528417.08,22.7575
2017-11-25,926907.86,22.6525
2017-11-26,1101374.91,22.630000000000003
2017-11-27,1226964.38,21.884999999999998
2017-11-28,1766570.22,19.655
2017-11-29,1383366.97,18.86
2017-11-30,902003.87,19.807499999999997
2017-12-01,759415.48,19.302500000000002
2017-12-02,882537.6,19.8125
2017-12-03,2616348.87,21.5025
2017-12-04,1313824.16,21.310000000000002
2017-12-05,2218972.28,21.302500000000002
2017-12-06,2294699.74,19.8675
2017-12-07,2443423.04,17.889999999999997
2017-12-08,1337781.66,18.0025
2017-12-09,1456490.67,17.6175
2017-12-10,1263605.23,18.0225
2017-12-11,1806773.73,18.665
2017-12-12,4698268.26,20.810000000000002
2017-12-13,4344366.68,23.985
2017-12-14,3041592.78,24.9525
2017-12-15,3138007.22,25.692500000000003
2017-12-16,9085086.74,28.685000000000002
2017-12-17,14817563.77,36.495
2017-12-18,6894466.96,35.1375
2017-12-19,5691909.31,31.622500000000002
2017-12-20,5868123.56,31.7325
2017-12-21,5248375.38,25.9675
2017-12-22,3007670.58,27.767500000000002
2017-12-23,1551975.35,26.7825
2017-12-24,2744883.5,28.810000000000002
2017-12-25,2485062.19,30.585
2017-12-26,3261286.68,28.517500000000002
2017-12-27,4057373.79,27.275000000000002
2017-12-28,2322683.82,27.865
2017-12-29,3038013.98,25.07
2017-12-30,4088181.85,29.415
2017-12-31,3604041.32,30.5825
2018-01-01,8054097.3,33.7975
2018-01-02,7441811.35,36.705
2018-01-03,7468788.41,41.985
2018-01-04,13466922.06,44.6825
2018-01-05,16622734.57,51.362500000000004
2018-01-06,8210090.08,51.3225
2018-01-07,5815173.07,48.17
2018-01-08,14108303.28,54.7325
2018-01-09,7007497.07,60.1575
2018-01-10,5215428.0,48.755
2018-01-11,4953064.98,51.675
2018-01-12,6949562.66,57.69
2018-01-13,32001242.03,68.58
2018-01-14,63774884.96,81.1725
2018-01-15,38250275.99,65.185
2018-01-16,18714538.08,57.545
2018-01-17,16025099.4,57.7875
2018-01-18,15320587.19,55.9
2018-01-19,12322207.76,60.292500000000004
2018-01-20,5051960.86,51.8525
2018-01-21,14295577.61,46.295
2018-01-22,11062685.05,45.74
2018-01-23,17458478.6,49.3825
2018-01-24,16034508.08,49.7
2018-01-25,13774674.09,49.357499999999995
2018-01-26,13014859.36,50.482499999999995
2018-01-27,15597327.42,51.417500000000004
2018-01-28,56508266.55,60.71
2018-01-29,39183596.25,61.567499999999995
2018-01-30,16340144.45,60.5375
2018-01-31,14229394.46,51.3475
2018-02-01,8124120.07,46.905
2018-02-02,6394603.49,50.0875
2018-02-03,4568031.47,42.9575
2018-02-04,4131808.71,32.71
2018-02-05,7731860.5,37.182500000000005
2018-02-06,5779981.4,38.5625
2018-02-07,2740778.14,41.2925
2018-02-08,4422938.46,43.065
2018-02-09,3919763.64,41.2025
2018-02-10,2690695.21,38.032500000000006
2018-02-11,3085358.14,40.91
2018-02-12,2342479.61,37.835
2018-02-13,4313054.03,42.559999999999995
2018-02-14,4945804.61,45.584999999999994
2018-02-15,3718586.95,46.1225
2018-02-16,3828085.03,50.300000000000004
2018-02-17,3475054.49,45.74
2018-02-18,3386582.92,48.2875
2018-02-19,3859635.03,46.1275
2018-02-20,2828019.49,41.185
2018-02-21,2190592.39,38.1775
2018-02-22,2700259.09,38.9275
2018-02-23,1906132.32,37.057500000000005
2018-02-24,2032238.29,37.08
2018-02-25,5858038.52,41.76
2018-02-26,4270603.46,43.0875
2018-02-27,3242512.5,39.1575
2018-02-28,2721694.69,40.5
2018-03-01,1998069.63,39.28
2018-03-02,1802419.44,38.4975
2018-03-03,1944005.03,36.417500000000004
2018-03-04,111526.03,35.0175
