Dates,Volume,Price
2017-04-30,1194596.5,1392.2975000000001
2017-05-01,20491404.96,87.6325
2017-05-02,5956728.3,85.1175
2017-05-03,3583896.62,83.43499999999999
2017-05-04,2757283.61,82.8575
2017-05-05,5532133.26,99.4
2017-05-06,2288938.02,107.435
2017-05-07,3060935.94,113.04249999999999
2017-05-08,1548230.28,104.205
2017-05-09,897496.88,105.6875
2017-05-10,885966.52,111.82499999999999
2017-05-11,588546.78,103.77
2017-05-12,416517.41,111.05250000000001
2017-05-13,438198.99,111.78
2017-05-14,1354271.8,113.53
2017-05-15,1101542.24,121.395
2017-05-16,760480.83,122.07
2017-05-17,1105357.78,131.83499999999998
2017-05-18,3553289.9,157.935
2017-05-19,1572978.8,174.49
2017-05-20,2596017.08,197.815
2017-05-21,4309983.85,222.11
2017-05-22,2345491.27,231.48499999999999
2017-05-23,3416034.29,263.99249999999995
2017-05-24,2322825.07,237.88
2017-05-25,1763493.99,212.54
2017-05-26,1280129.26,185.0925
2017-05-27,935083.45,209.905
2017-05-28,744120.68,223.80499999999998
2017-05-29,1816115.1,238.7675
2017-05-30,1939345.42,265.805
2017-05-31,1794109.45,262.3175
2017-06-01,1059386.73,259.975
2017-06-02,1088834.83,261.4175
2017-06-03,488035.69,262.2525
2017-06-04,1315678.51,270.565
2017-06-05,2020266.09,269.60999999999996
2017-06-06,1040626.28,251.3325
2017-06-07,642469.19,259.6375
2017-06-08,578861.96,259.755
2017-06-09,1133952.41,263.02250000000004
2017-06-10,1071254.21,270.12749999999994
2017-06-11,2609719.93,255.1275
2017-06-12,1684190.85,271.405
2017-06-13,922438.3,244.7675
2017-06-14,765922.77,238.70749999999998
2017-06-15,915384.83,245.97750000000002
2017-06-16,687243.68,257.6125
2017-06-17,487073.73,243.9375
2017-06-18,1603503.63,250.79500000000002
2017-06-19,1580992.36,250.26999999999998
2017-06-20,1019230.0,236.935
2017-06-21,899697.94,231.7625
2017-06-22,519825.47,229.64999999999998
2017-06-23,537836.92,219.39000000000001
2017-06-24,995368.81,210.98749999999998
2017-06-25,1432919.09,193.4325
2017-06-26,584945.01,202.09
2017-06-27,760585.42,210.995
2017-06-28,7062063.68,245.36
2017-06-29,29740257.03,309.07
2017-06-30,5354782.66,319.0175
2017-07-01,4493147.39,318.39
2017-07-02,4430787.97,340.0175
2017-07-03,2423290.85,330.895
2017-07-04,4357692.52,334.91999999999996
2017-07-05,1799341.78,339.78749999999997
2017-07-06,1452850.76,305.435
2017-07-07,952309.82,294.3175
2017-07-08,484316.0,286.49
2017-07-09,1047387.65,242.15999999999997
2017-07-10,737913.49,215.19500000000002
2017-07-11,1109598.35,215.3775
2017-07-12,666916.64,211.6625
2017-07-13,377535.14,188.04
2017-07-14,407383.54,160.17000000000002
2017-07-15,787395.0,155.94
2017-07-16,408948.49,186.255
2017-07-17,711203.51,194.7
2017-07-18,1897402.62,204.365
2017-07-19,867934.82,244.355
2017-07-20,603546.41,220.15249999999997
2017-07-21,469039.82,233.33249999999998
2017-07-22,298006.75,229.26
2017-07-23,251974.19,228.85750000000002
2017-07-24,453737.78,204.6125
2017-07-25,413765.31,201.20499999999998
2017-07-26,361226.57,208.635
2017-07-27,1663891.08,212.365
2017-07-28,386283.37,192.58249999999998
2017-07-29,366463.4,192.865
2017-07-30,322870.61,194.41000000000003
2017-07-31,515814.43,194.3225
2017-08-01,623714.45,199.8475
2017-08-02,283314.33,202.425
2017-08-03,287148.04,202.1625
2017-08-04,518269.59,216.6
2017-08-05,315149.64,208.35000000000002
2017-08-06,459294.5,214.115
2017-08-07,442753.11,209.75
2017-08-08,664849.95,213.1275
2017-08-09,357809.99,217.7175
2017-08-10,931621.89,215.2525
2017-08-11,831309.08,207.20000000000002
2017-08-12,972466.5,194.9425
2017-08-13,575181.75,189.6825
2017-08-14,723548.51,171.015
2017-08-15,530502.56,186.98
2017-08-16,421940.47,177.5625
2017-08-17,660400.2,160.14000000000001
2017-08-18,433623.12,158.88000000000002
2017-08-19,472126.1,162.8775
2017-08-20,735535.18,168.7825
2017-08-21,846647.58,170.40500000000003
2017-08-22,855879.22,163.60250000000002
2017-08-23,594992.27,161.7
2017-08-24,401015.81,158.47
2017-08-25,3106411.21,179.84749999999997
2017-08-26,2862446.95,197.4925
2017-08-27,1218908.91,205.19250000000002
2017-08-28,979153.25,192.9725
2017-08-29,1092708.01,178.3125
2017-08-30,864794.35,182.8725
2017-08-31,779529.47,185.245
2017-09-01,636360.52,172.2625
2017-09-02,347365.05,170.54999999999998
2017-09-03,638042.99,147.485
2017-09-04,454777.12,142.8775
2017-09-05,528615.11,154.21
2017-09-06,416609.12,157.1
2017-09-07,600529.48,143.095
2017-09-08,211897.7,140.54500000000002
2017-09-09,207679.37,134.35
2017-09-10,273743.37,128.8075
2017-09-11,272706.54,125.25500000000001
2017-09-12,209468.69,115.985
2017-09-13,355098.49,93.3275
2017-09-14,513072.29,107.0675
2017-09-15,143750.94,110.94
2017-09-16,212828.74,108.465
2017-09-17,256458.07,120.1775
2017-09-18,223733.37,111.71
2017-09-19,164642.41,107.5925
2017-09-20,266118.4,96.41
2017-09-21,455255.6,92.0825
2017-09-22,94309.79,96.055
2017-09-23,114158.17,91.8075
2017-09-24,463753.79,94.565
2017-09-25,458695.3,91.5075
2017-09-26,2158299.84,114.32000000000001
2017-09-27,2474771.95,132.0675
2017-09-28,579609.89,128.6375
2017-09-29,607997.01,140.45499999999998
2017-09-30,480465.28,140.08499999999998
2017-10-01,472090.58,127.90249999999999
2017-10-02,269870.88,115.57749999999999
2017-10-03,276813.55,110.89999999999999
2017-10-04,680855.12,120.58250000000001
2017-10-05,308955.42,125.365
2017-10-06,193333.18,124.81250000000001
2017-10-07,342590.54,120.20499999999998
2017-10-08,478230.42,110.685
2017-10-09,192297.41,104.7
2017-10-10,210942.55,109.195
2017-10-11,614677.21,114.11
2017-10-12,525952.69,102.48500000000001
2017-10-13,424329.83,97.94250000000001
2017-10-14,409760.05,87.87
2017-10-15,390397.67,87.67
2017-10-16,293706.22,87.36500000000001
2017-10-17,503275.03,80.54249999999999
2017-10-18,426071.44,79.18249999999999
2017-10-19,379661.63,76.02499999999999
2017-10-20,306466.65,71.1775
2017-10-21,233102.15,73.935
2017-10-22,1712002.49,77.8075
2017-10-23,949751.05,72.0
2017-10-24,291374.53,76.9225
2017-10-25,145964.14,73.95
2017-10-26,257379.15,70.8025
2017-10-27,133779.71,70.58
2017-10-28,1203064.35,75.44749999999999
2017-10-29,210212.09,73.9675
2017-10-30,198778.46,74.0425
2017-10-31,441620.78,70.0825
2017-11-01,752911.98,63.5475
2017-11-02,396051.33,59.394999999999996
2017-11-03,171041.94,61.42
2017-11-04,657404.75,63.60999999999999
2017-11-05,258008.45,59.2025
2017-11-06,225302.61,61.0975
2017-11-07,817472.92,70.5575
2017-11-08,1069192.66,76.77250000000001
2017-11-09,918497.07,70.73
2017-11-10,378427.99,66.095
2017-11-11,1170317.4,56.785000000000004
2017-11-12,357339.85,60.745000000000005
2017-11-13,349418.9,61.8925
2017-11-14,419323.23,67.17250000000001
2017-11-15,312615.38,68.725
2017-11-16,337106.71,64.805
2017-11-17,436637.28,65.345
2017-11-18,356365.21,69.3375
2017-11-19,416997.18,70.3375
2017-11-20,222448.03,68.92250000000001
2017-11-21,436919.85,70.78
2017-11-22,824510.52,75.82249999999999
2017-11-23,8657981.37,109.57999999999998
2017-11-24,4072978.86,127.8625
2017-11-25,1766116.81,114.17500000000001
2017-11-26,3142906.23,120.815
2017-11-27,1413511.03,120.60750000000002
2017-11-28,1030436.07,103.32499999999999
2017-11-29,1202312.49,102.2
2017-11-30,599996.73,110.85
2017-12-01,470690.37,108.48
2017-12-02,1097744.93,116.125
2017-12-03,863061.39,123.59
2017-12-04,3255975.45,140.24
2017-12-05,1541899.04,147.7775
2017-12-06,981989.74,134.18
2017-12-07,957007.75,109.1425
2017-12-08,680772.68,113.5625
2017-12-09,588343.14,110.68
2017-12-10,1735961.73,120.08
2017-12-11,2666607.03,133.695
2017-12-12,2062905.48,139.7025
2017-12-13,1633716.69,145.45
2017-12-14,3892681.14,173.3225
2017-12-15,9887584.13,213.265
2017-12-16,2930014.01,182.64
2017-12-17,4412995.0,192.1375
2017-12-18,7137481.96,197.055
2017-12-19,3532093.55,200.3425
2017-12-20,4042965.41,203.6475
2017-12-21,1710012.49,163.6375
2017-12-22,2029788.14,164.55
2017-12-23,5488562.29,173.445
2017-12-24,9335167.08,210.0625
2017-12-25,7062164.27,233.86499999999998
2017-12-26,3379115.75,205.4625
2017-12-27,2876137.97,197.19
2017-12-28,3098377.55,211.2125
2017-12-29,1978790.96,187.62750000000003
2017-12-30,1848051.59,203.60250000000002
2017-12-31,4067661.59,215.0825
2018-01-01,8716851.74,268.1925
2018-01-02,5152130.61,261.53000000000003
2018-01-03,5025668.36,284.1725
2018-01-04,20624484.31,385.465
2018-01-05,9434190.04,411.02
2018-01-06,6550717.13,367.0025
2018-01-07,4916553.75,337.6
