Dates,Volume,Price
2017-12-13,878976.49,2.8850000000000002
2017-12-14,6220452.02,3.3675
2017-12-15,10322340.69,4.3075
2017-12-16,8044243.6,4.785
2017-12-17,13603895.42,6.43
2017-12-18,8089266.98,6.735
2017-12-19,7604529.21,6.449999999999999
2017-12-20,3994145.27,6.2075000000000005
2017-12-21,2664676.87,5.0625
2017-12-22,1765450.6,5.1025
2017-12-23,947492.84,4.695
2017-12-24,1050116.24,4.82
2017-12-25,1464030.48,5.3475
2017-12-26,3363456.6,5.67
2017-12-27,1339370.67,5.135
2017-12-28,2105370.86,5.2375
2017-12-29,1398999.65,4.6025
2017-12-30,1497247.85,5.197500000000001
2017-12-31,1453921.26,4.9525
2018-01-01,5795860.16,5.7725
2018-01-02,13430859.92,7.152500000000001
2018-01-03,5901314.0,8.1625
2018-01-04,5988141.99,8.055
2018-01-05,11866138.42,8.5575
2018-01-06,12844710.92,9.2875
2018-01-07,5741055.44,7.8025
2018-01-08,4157335.08,7.495000000000001
2018-01-09,3894007.22,7.59
2018-01-10,19632656.42,8.192499999999999
2018-01-11,10044060.85,9.3025
2018-01-12,9701411.62,9.6075
2018-01-13,4232598.55,8.857499999999998
2018-01-14,3895326.62,7.91
2018-01-15,3144268.09,5.52
2018-01-16,3045079.69,5.0874999999999995
2018-01-17,3068174.64,5.08
2018-01-18,2256524.3,5.385
2018-01-19,2559621.97,6.0925
2018-01-20,1846738.86,5.05
2018-01-21,1341583.65,4.682499999999999
2018-01-22,1673051.64,4.77
2018-01-23,1491578.38,5.047499999999999
2018-01-24,1677870.95,5.147500000000001
2018-01-25,1395550.86,5.239999999999999
2018-01-26,1115450.3,5.37
2018-01-27,884069.17,5.472499999999999
2018-01-28,727883.28,5.25
2018-01-29,1306563.0,4.545
2018-01-30,798677.37,4.4375
2018-01-31,1417024.31,4.0925
2018-02-01,8509603.19,4.35
2018-02-02,6257480.86,4.885000000000001
2018-02-03,2822394.97,4.2825
2018-02-04,3298373.51,3.4975
2018-02-05,3643127.22,3.8274999999999997
2018-02-06,3257506.59,3.845
2018-02-07,306862.46,4.1850000000000005
2018-02-08,3158788.13,4.4975000000000005
2018-02-09,4507553.26,4.6
2018-02-10,9321921.87,4.6475
2018-02-11,4743246.92,4.9624999999999995
2018-02-12,4769115.28,4.5575
2018-02-13,4232035.68,4.96
2018-02-14,5221046.65,4.975
2018-02-15,4538491.18,4.9025
2018-02-16,4951484.7,5.2075
2018-02-17,3468970.33,4.66
2018-02-18,4562828.34,5.1175
2018-02-19,4938436.39,4.795
2018-02-20,4170646.22,4.1925
2018-02-21,3685353.85,3.955
2018-02-22,3534559.69,4.165
2018-02-23,3482443.47,3.985
2018-02-24,3227529.71,3.9149999999999996
2018-02-25,3897378.36,4.1675
2018-02-26,3805977.07,4.172499999999999
2018-02-27,3834437.15,3.9825
2018-02-28,2467183.9,4.2
2018-03-01,2887410.34,4.0625
2018-03-02,2796939.83,3.98
2018-03-03,2823778.69,3.9250000000000003
2018-03-04,99396.42,3.9175
