Dates,Volume,Price
2018-02-11,52122.2,6.41
2018-02-12,141817.31,5.99
2018-02-13,183584.91,6.187500000000001
2018-02-14,183381.36,6.090000000000001
2018-02-15,172773.81,6.1175
2018-02-16,229178.95,6.4625
2018-02-17,187917.63,6.0874999999999995
2018-02-18,134802.64,6.194999999999999
2018-02-19,193973.35,5.3025
2018-02-20,204190.05,4.8175
2018-02-21,157003.64,4.687500000000001
2018-02-22,90686.48,4.7225
2018-02-23,65294.97,4.4325
2018-02-24,84736.83,4.3175
2018-02-25,118149.27,4.680000000000001
2018-02-26,206264.34,5.307499999999999
2018-02-27,96778.06,5.327500000000001
2018-02-28,83898.69,5.13
2018-03-01,106260.46,4.965
2018-03-02,52426.12,5.069999999999999
2018-03-03,53994.48,5.0200000000000005
2018-03-04,1207.75,4.99
