Dates,Volume,Price
2017-09-06,4159763.4,16.48
2017-09-07,5699486.46,15.915
2017-09-08,2232551.45,13.342500000000001
2017-09-09,182839.81,12.065
2017-09-10,0.0,12.19
2017-09-11,0.0,12.02
2017-09-12,0.0,11.19
2017-09-13,0.0,9.37
2017-09-14,0.0,10.73
2017-09-15,0.0,10.69
2017-09-16,0.0,10.66
2017-09-17,0.0,11.85
2017-09-18,0.0,11.29
2017-09-19,0.0,11.22
2017-09-20,0.0,10.45
2017-09-21,0.0,10.41
2017-09-22,0.0,10.95
2017-09-23,0.0,10.6
2017-09-24,0.0,11.37
2017-09-25,0.0,11.25
2017-09-26,0.0,12.17
2017-09-27,0.0,12.13
2017-09-28,0.0,12.06
2017-09-29,721.41,174.51985000000002
2017-09-30,1718.62,9.0825
2017-10-01,3059.3,7.477500000000001
2017-10-02,139418.81,6.24
2017-10-03,185805.44,6.08
2017-10-04,133882.25,7.552500000000001
2017-10-05,183402.18,7.055
2017-10-06,602092.08,7.2425
2017-10-07,856261.03,7.4399999999999995
2017-10-08,1078262.01,7.5275
2017-10-09,900024.25,8.6775
2017-10-10,795020.13,11.0475
2017-10-11,644290.41,10.6775
2017-10-12,848205.32,10.205
2017-10-13,910697.67,11.6325
2017-10-14,849635.4,11.932500000000001
2017-10-15,816302.92,11.4875
2017-10-16,121529.41,10.497499999999999
2017-10-17,401356.0,10.16
2017-10-18,680020.11,10.620000000000001
2017-10-19,621135.86,10.8675
2017-10-20,439080.34,10.405000000000001
2017-10-21,531196.18,10.1675
2017-10-22,543553.69,9.6875
2017-10-23,493889.09,9.4525
2017-10-24,433410.48,10.329999999999998
2017-10-25,684882.18,10.1125
2017-10-26,537283.52,9.3575
2017-10-27,658072.38,9.0825
2017-10-28,438939.6,9.7625
2017-10-29,517881.88,9.56
2017-10-30,1448269.36,10.5575
2017-10-31,1086529.32,10.5275
2017-11-01,1367438.51,9.1725
2017-11-02,1477853.87,9.225
2017-11-03,1700063.68,9.552499999999998
2017-11-04,991065.0,9.7
2017-11-05,1116669.41,9.162500000000001
2017-11-06,1013257.27,9.435
2017-11-07,2302724.28,10.2625
2017-11-08,1918078.4,10.829999999999998
2017-11-09,1550737.32,10.092500000000001
2017-11-10,2283907.07,9.917499999999999
2017-11-11,13693906.29,12.66
2017-11-12,5909551.4,16.0275
2017-11-13,2753511.6,15.4775
2017-11-14,8486572.34,18.552500000000002
2017-11-15,13951837.84,21.495
2017-11-16,5986721.66,19.0475
2017-11-17,5282860.31,20.9525
2017-11-18,3162388.42,20.130000000000003
2017-11-19,3255503.6,18.945
2017-11-20,2658150.72,17.7325
2017-11-21,3303659.55,17.055
2017-11-22,3552016.38,16.085
2017-11-23,7396236.25,17.8325
2017-11-24,4550946.13,19.8875
2017-11-25,4475920.29,20.6925
2017-11-26,3053405.78,20.66
2017-11-27,4298670.02,19.817500000000003
2017-11-28,5565131.63,17.735
2017-11-29,5923051.25,16.0775
2017-11-30,9448411.65,17.115000000000002
2017-12-01,17309111.8,17.195
2017-12-02,22163225.35,18.59
2017-12-03,24561153.38,17.9875
2017-12-04,40995227.68,16.9125
2017-12-05,17470938.58,16.965
2017-12-06,14172001.06,15.922500000000001
2017-12-07,17702176.1,13.77
2017-12-08,13500120.15,13.4725
2017-12-09,9343126.07,13.340000000000002
2017-12-10,23759120.67,15.875000000000002
2017-12-11,17315640.96,15.475000000000001
2017-12-12,20027156.82,16.045
2017-12-13,10148217.7,18.04
2017-12-14,10688572.81,20.555
2017-12-15,13694434.71,23.8975
2017-12-16,10439109.62,17.665
2017-12-17,35903004.63,27.415
2017-12-18,40253339.94,32.015
2017-12-19,24335370.62,34.275000000000006
2017-12-20,19953779.42,34.9725
2017-12-21,21238373.35,30.247500000000002
2017-12-22,29403146.9,29.0425
2017-12-23,53268513.47,26.224999999999998
2017-12-24,76901814.74,27.5025
