Dates,Volume,Price
2017-10-11,17.48,45.15055
2017-10-12,0.0,0.3011
2017-10-13,0.0,0.3011
2017-10-14,0.5792,0.3011
2017-10-15,0.0,0.3011
2017-10-16,0.0,0.3011
2017-10-17,0.0,0.3011
2017-10-18,0.0,0.3011
2017-10-19,0.0,0.3011
2017-10-20,0.0,0.3011
2017-10-21,0.0,0.3011
2017-10-22,0.0,0.3011
2017-10-23,0.0,0.3011
2017-10-24,0.0,0.3011
2017-10-25,0.0,0.3011
2017-10-26,0.0,0.3011
2017-10-27,0.0,0.3011
2017-10-28,0.0,0.3011
2017-10-29,0.0,0.3011
2017-10-30,0.0,0.3011
2017-10-31,0.0,0.3011
2017-11-01,0.0,0.3011
2017-11-02,0.0,0.3011
2017-11-03,0.0,0.3011
2017-11-04,0.0,0.3011
2017-11-05,0.0,0.3011
2017-11-06,0.0,0.3011
2017-11-07,0.0,0.3011
2017-11-08,0.0,0.3011
2017-11-09,0.0,0.3011
2017-11-10,0.0,0.3011
2017-11-11,30.63,0.6
2017-11-12,0.0,0.5
2017-11-13,0.0,0.5
2017-11-14,0.0,0.5
2017-11-15,0.0,0.5
2017-11-16,0.0,0.5
2017-11-17,0.0,0.5
2017-11-18,0.0,0.5
2017-11-19,0.0,0.5
2017-11-20,0.0,0.5
2017-11-21,0.0,0.5
2017-11-22,20.51,0.45510000000000006
2017-11-23,0.0,0.4102
2017-11-24,0.0,0.4102
2017-11-25,0.9982,0.57405
2017-11-26,0.0,0.7379
2017-11-27,11.57,0.5741499999999999
2017-11-28,0.0,0.4104
2017-11-29,0.0,0.4104
2017-11-30,0.0,0.4104
2017-12-01,0.0,0.4104
2017-12-02,0.0,0.4104
2017-12-03,0.0,0.4104
2017-12-04,0.0,0.4104
2017-12-05,12.0,0.6
2017-12-06,13.38,0.54
2017-12-07,2.5,0.6525
2017-12-08,34.93,0.7999
2017-12-09,7.9,0.9997499999999999
2017-12-10,3.96,0.75035
2017-12-11,4.29,0.5246
2017-12-12,6.64,0.5251
2017-12-13,1.78,0.6872
2017-12-14,0.0,0.8493
2017-12-15,0.0,0.8493
2017-12-16,0.0,0.8493
2017-12-17,0.0,0.8493
2017-12-18,10.02,0.7005
2017-12-19,62.96,1.03585
2017-12-20,87.68,1.4375
2017-12-21,29.86,1.4375
2017-12-22,0.0,1.6
2017-12-23,0.0,1.6
2017-12-24,0.0,1.6
2017-12-25,0.0,1.6
2017-12-26,0.0,1.6
2017-12-27,0.0,1.6
2017-12-28,0.0,1.6
2017-12-29,7.49,1.56
2017-12-30,0.0,1.56
2017-12-31,0.0,1.56
2018-01-01,0.0,1.56
2018-01-02,0.0,1.56
2018-01-03,1.7,2.105
2018-01-04,122.03,3.5
2018-01-05,541.93,2.9
2018-01-06,0.0,3.9
2018-01-07,0.0,3.9
2018-01-08,0.0,3.9
2018-01-09,0.0,3.9
2018-01-10,0.0,3.9
2018-01-11,196.89,4.45
2018-01-12,0.0,4.0
2018-01-13,0.0,4.0
2018-01-14,0.0,4.0
2018-01-15,0.0,4.0
2018-01-16,39.53,1.55
2018-01-17,0.0,1.55
2018-01-18,0.0,1.55
2018-01-19,0.0,1.55
2018-01-20,0.0,1.55
2018-01-21,0.0,1.55
2018-01-22,0.0,1.55
2018-01-23,1164.75,2.275
2018-01-24,30.55,2.675
2018-01-25,0.0,2.35
2018-01-26,129.11,2.41
2018-01-27,71.63,2.7175000000000002
2018-01-28,27.68,2.58
2018-01-29,162.44,2.3200000000000003
2018-01-30,9.66,1.9200000000000002
2018-01-31,14.97,1.605
2018-02-01,14.6,2.17
2018-02-02,2.62,1.4975
2018-02-03,16.39,1.6099999999999999
2018-02-04,81432.04,1.22
2018-02-05,73501.51,1.100775
2018-02-06,49679.37,1.28
2018-02-07,68871.16,1.345
2018-02-08,107593.31,1.3824999999999998
2018-02-09,91280.43,1.46
2018-02-10,24694.12,1.36
2018-02-11,12899.93,1.3575000000000002
2018-02-12,19970.72,1.3850000000000002
2018-02-13,76819.83,1.4024999999999999
2018-02-14,278954.31,1.3925
2018-02-15,124188.52,1.395
2018-02-16,97847.97,1.4775
2018-02-17,239665.86,1.5325
2018-02-18,78933.15,1.5125
2018-02-19,145875.63,1.4175
2018-02-20,66069.98,1.295
2018-02-21,42830.8,1.1700000000000002
2018-02-22,19247.8,1.1099999999999999
2018-02-23,62917.57,1.1225
2018-02-24,46633.43,1.1600000000000001
2018-02-25,134552.19,1.34
2018-02-26,211457.35,1.59
2018-02-27,141995.82,1.565
2018-02-28,145923.43,1.4224999999999999
2018-03-01,114858.98,1.4274999999999998
2018-03-02,201314.78,1.455
2018-03-03,115454.98,1.4449999999999998
2018-03-04,4227.64,1.4625000000000001
