Dates,Volume,Price
2018-01-17,3686736.27,4.71
2018-01-18,27479284.78,5.89
2018-01-19,32411173.28,7.3075
2018-01-20,9170603.21,5.737500000000001
2018-01-21,7379718.61,5.125
2018-01-22,3552959.26,4.9399999999999995
2018-01-23,3908275.76,5.0024999999999995
2018-01-24,5257162.29,4.9825
2018-01-25,3602583.82,4.9325
2018-01-26,2460768.01,4.9275
2018-01-27,2768893.42,4.8475
2018-01-28,2956571.88,4.352499999999999
2018-01-29,2016368.36,3.7775
2018-01-30,1436929.26,3.7375000000000003
2018-01-31,6420267.02,3.0799999999999996
2018-02-01,8669831.8,2.725
2018-02-02,7876939.24,2.94
2018-02-03,9274451.6,2.725
2018-02-04,5756036.14,2.0425
2018-02-05,7034795.79,2.1825
2018-02-06,6252956.95,2.1525
2018-02-07,97382.05,2.2824999999999998
2018-02-08,1090484.56,2.5025
2018-02-09,6120677.14,2.3499999999999996
2018-02-10,5360294.66,2.0949999999999998
2018-02-11,9867106.83,2.4125
2018-02-12,10189451.69,2.3575
2018-02-13,9234575.12,2.495
2018-02-14,13924681.27,2.7325
2018-02-15,18332314.67,3.0125
2018-02-16,12454027.59,3.195
2018-02-17,12035061.99,2.85
2018-02-18,15737266.53,3.025
2018-02-19,12520062.14,2.8225
2018-02-20,12424413.78,2.3200000000000003
2018-02-21,8889704.91,2.165
2018-02-22,9307753.39,2.3675
2018-02-23,12763338.61,2.295
2018-02-24,13021395.79,2.37
2018-02-25,11659607.83,2.3924999999999996
2018-02-26,9306202.52,2.3125
2018-02-27,7956004.57,2.1825
2018-02-28,7004601.41,2.3025
2018-03-01,7283630.93,2.2475
2018-03-02,8142084.23,2.2550000000000003
2018-03-03,6446988.75,2.2225
2018-03-04,160049.98,2.195
