Dates,Volume,Price
2018-01-17,85925009.54,0.03181
2018-01-18,114710214.22,0.037855
2018-01-19,143543978.95,0.0444375
2018-01-20,48344044.39,0.0376975
2018-01-21,79210646.57,0.032995000000000003
2018-01-22,56215740.74,0.03622
2018-01-23,142190960.25,0.0854675
2018-01-24,51033271.5,0.11043499999999999
2018-01-25,7338124.19,0.0956275
2018-01-26,21406029.86,0.09306999999999999
2018-01-27,7806664.16,0.0870875
2018-01-28,4955498.69,0.07132000000000001
2018-01-29,10894191.91,0.05991
2018-01-30,52410472.82,0.0568825
2018-01-31,23520252.39,0.05319
2018-02-01,32147279.09,0.046122500000000004
2018-02-02,10039854.84,0.048225000000000004
2018-02-03,6922608.29,0.0402775
2018-02-04,6041387.83,0.031085000000000005
2018-02-05,8747649.55,0.0336025
2018-02-06,7150783.51,0.0334925
2018-02-07,5719466.17,0.0377575
2018-02-08,7524189.01,0.041772500000000004
2018-02-09,6981400.47,0.04048
2018-02-10,26330672.61,0.036282499999999995
2018-02-11,10201217.45,0.0380525
2018-02-12,26408029.61,0.036995
2018-02-13,14370593.26,0.041307500000000004
2018-02-14,16627024.03,0.04097
2018-02-15,29367893.81,0.0428225
2018-02-16,32905840.71,0.0496125
2018-02-17,8874843.09,0.0477925
2018-02-18,25549992.47,0.0472925
2018-02-19,14403584.12,0.0435325
2018-02-20,4466056.92,0.03957
2018-02-21,33336069.1,0.0368025
2018-02-22,23504620.27,0.0376325
2018-02-23,6808930.57,0.0359525
2018-02-24,18760821.14,0.03505
2018-02-25,6087287.79,0.0351125
2018-02-26,20679472.56,0.036205
2018-02-27,4280465.55,0.035042500000000004
2018-02-28,16287005.37,0.034395
2018-03-01,14609591.75,0.0346525
2018-03-02,14318177.71,0.03444
2018-03-03,17804445.49,0.0344775
2018-03-04,80602.56,0.03462
