Dates,Volume,Price
2018-01-07,1450135.73,5.3425
2018-01-08,4413502.81,4.7225
2018-01-09,2088501.02,4.865
2018-01-10,1672955.86,4.4
2018-01-11,1883808.72,4.525
2018-01-12,2996149.65,4.4125
2018-01-13,3341261.26,3.8525000000000005
2018-01-14,2366864.5,3.24
2018-01-15,3427184.28,2.5175
2018-01-16,2278355.41,2.6799999999999997
2018-01-17,4092006.9,3.115
2018-01-18,3772020.7,3.4275
2018-01-19,3547707.25,3.8125
2018-01-20,3465706.33,3.3125
2018-01-21,5766534.6,3.0475
2018-01-22,5353472.03,2.8949999999999996
2018-01-23,7932564.6,2.8725
2018-01-24,7441911.95,2.8175
2018-01-25,9363400.7,2.74
2018-01-26,12305045.54,3.2175000000000002
2018-01-27,11671898.04,3.8150000000000004
2018-01-28,13397070.88,3.9975
2018-01-29,10632810.95,3.8
2018-01-30,10172496.81,4.220000000000001
2018-01-31,10938656.16,4.02
2018-02-01,4239814.62,3.425
2018-02-02,2694956.96,3.5424999999999995
2018-02-03,2700472.22,3.1625
2018-02-04,2480978.1,2.285
2018-02-05,3028042.11,2.525
2018-02-06,4814495.72,2.61
2018-02-07,3212828.72,2.585
2018-02-08,3977162.09,2.5625
2018-02-09,8036069.09,2.4375
2018-02-10,7187039.77,2.3125
2018-02-11,7296594.3,2.4475
2018-02-12,4644014.4,2.2775
2018-02-13,1819233.39,2.25
2018-02-14,3841343.73,2.795
2018-02-15,1948467.35,2.7524999999999995
2018-02-16,1883742.98,2.8875
2018-02-17,1396920.44,2.6325
2018-02-18,3542031.99,2.8825000000000003
2018-02-19,6253656.41,2.6775
2018-02-20,6136417.03,2.3825
2018-02-21,10008360.15,2.3099999999999996
2018-02-22,8083906.36,2.4225000000000003
2018-02-23,8202878.61,2.3175
2018-02-24,7103077.82,2.1725
2018-02-25,6799787.13,2.1950000000000003
2018-02-26,6881548.43,2.2350000000000003
2018-02-27,3069738.44,2.0575
2018-02-28,1658272.98,2.07
2018-03-01,2264809.01,1.92
2018-03-02,2627139.54,1.91
2018-03-03,1945495.53,1.9
2018-03-04,48526.65,1.8625
