Dates,Volume,Price
2017-10-31,6.6,8.684999999999999e-06
2017-11-01,0.6024,8.55e-06
2017-11-02,6.41,9.135e-06
2017-11-03,0.189,1.0500000000000001e-05
2017-11-04,0.0,8.89e-06
2017-11-05,0.0,8.9e-06
2017-11-06,0.0438,8.76e-06
2017-11-07,0.0,9.22e-06
2017-11-08,0.959,9.59e-06
2017-11-09,0.0,8.91e-06
2017-11-10,0.9291,9.43e-06
2017-11-11,9.54,1.071e-05
2017-11-12,0.03408,1.258e-05
2017-11-13,0.0,1.339e-05
2017-11-14,0.0,1.325e-05
2017-11-15,0.0,1.321e-05
2017-11-16,1.42,1.1609999999999999e-05
2017-11-17,0.0,1.04e-05
2017-11-18,0.0,1.064e-05
2017-11-19,0.735,9.19e-06
2017-11-20,0.0,7.21e-06
2017-11-21,0.08052,7.62e-06
2017-11-22,2.68,1.626e-05
2017-11-23,2.4,1.882e-05
2017-11-24,0.0,9.29e-06
2017-11-25,0.0,9.41e-06
2017-11-26,1.84,9.5e-06
2017-11-27,0.04664,1.8654999999999997e-05
2017-11-28,0.2942,1.71e-05
2017-11-29,4.65,8.7e-06
2017-11-30,0.0,9.23e-06
2017-12-01,0.916,9.16e-06
2017-12-02,51.04,2.777e-05
2017-12-03,77.54,0.000119055
2017-12-04,62.34,8.853e-05
2017-12-05,24.26,8.1315e-05
2017-12-06,6.52,4.42225e-05
2017-12-07,6.06,2.9360000000000003e-05
2017-12-08,2.15,2.00975e-05
2017-12-09,3.27,2.4004999999999998e-05
2017-12-10,5.64,3.3365e-05
2017-12-11,0.1268,2.626e-05
2017-12-12,4.46,2.796e-05
2017-12-13,13.09,3.121e-05
2017-12-14,0.0,3.421e-05
2017-12-15,0.0,3.464e-05
2017-12-16,0.3589,3.589e-05
2017-12-17,0.3406,3.93e-05
2017-12-18,0.08131,3.2495e-05
2017-12-19,0.8404,2.5975e-05
2017-12-20,0.0,3.158e-05
2017-12-21,0.07896,2.3025e-05
2017-12-22,54.16,2.2762499999999998e-05
2017-12-23,1.35,2.366e-05
2017-12-24,66.63,1.44625e-05
2017-12-25,0.2903,1.8835e-05
2017-12-26,53.43,2.59e-05
2017-12-27,10.66,1.4335e-05
2017-12-28,0.0,7.4e-06
2017-12-29,0.0,6.93e-06
2017-12-30,0.0,7.41e-06
2017-12-31,0.0,7.56e-06
2018-01-01,0.0,8.62e-06
2018-01-02,0.0,9.41e-06
2018-01-03,0.0,9.45e-06
2018-01-04,0.0,9.67e-06
2018-01-05,0.0,1.006e-05
2018-01-06,0.0,1.118e-05
2018-01-07,0.0,1.136e-05
2018-01-08,0.0,1.289e-05
2018-01-09,0.0,1.249e-05
2018-01-10,0.0,1.139e-05
2018-01-11,0.0,1.261e-05
2018-01-12,0.0,1.385e-05
2018-01-13,0.0,1.359e-05
2018-01-14,0.0,1.279e-05
2018-01-15,0.0,1.05e-05
2018-01-16,0.0,1.025e-05
2018-01-17,0.0,1.013e-05
2018-01-18,0.0,1.037e-05
2018-01-19,0.0,1.151e-05
2018-01-20,0.0,1.049e-05
2018-01-21,0.0,1e-05
2018-01-22,0.0,9.84e-06
2018-01-23,0.0,1.062e-05
2018-01-24,0.0,1.046e-05
2018-01-25,0.0,1.049e-05
2018-01-26,0.0,1.109e-05
2018-01-27,0.0,1.232e-05
2018-01-28,0.0,1.17e-05
2018-01-29,0.0,1.064e-05
2018-01-30,0.0,1.111e-05
2018-01-31,0.0,1.026e-05
2018-02-01,0.0,9.17e-06
2018-02-02,0.0,9.71e-06
2018-02-03,0.0,8.28e-06
2018-02-04,0.0,6.95e-06
2018-02-05,0.0,7.85e-06
2018-02-06,0.0,7.52e-06
2018-02-07,0.0,8.14e-06
2018-02-08,0.0,8.78e-06
2018-02-09,0.0,8.51e-06
2018-02-10,0.0,8.11e-06
2018-02-11,137999.99,0.592475
2018-02-12,463472.84,0.541825
2018-02-13,407706.4,0.596675
2018-02-14,180535.34,0.580425
2018-02-15,15825.81,0.59355
2018-02-16,458267.09,0.6121749999999999
2018-02-17,246586.06,0.5675250000000001
2018-02-18,94913.95,0.571875
2018-02-19,291051.96,0.53905
2018-02-20,370664.83,0.5099499999999999
2018-02-21,179678.12,0.466475
2018-02-22,170277.92,0.48522499999999996
2018-02-23,139348.21,0.4653
2018-02-24,101523.54,0.442225
2018-02-25,108581.07,0.44315000000000004
2018-02-26,178755.11,0.46325000000000005
2018-02-27,193995.43,0.47512499999999996
2018-02-28,130109.57,0.4905
2018-03-01,157084.17,0.48
2018-03-02,79561.79,0.47825000000000006
2018-03-03,76320.11,0.47589999999999993
2018-03-04,2126.3,0.47665
