Dates,Volume,Price
2017-12-12,248792.65,0.47545
2017-12-13,218144.12,0.52355
2017-12-14,297274.46,0.56225
2017-12-15,346266.39,0.641225
2017-12-16,360823.39,0.706425
2017-12-17,423860.47,0.779625
2017-12-18,743577.31,0.8505750000000001
2017-12-19,523057.17,0.8464
2017-12-20,885304.93,0.873925
2017-12-21,370598.94,0.778375
2017-12-22,574953.64,0.828425
2017-12-23,658376.63,0.871475
2017-12-24,1185124.93,1.09805
2017-12-25,1147135.55,1.4600000000000002
2017-12-26,2599742.04,1.9875
2017-12-27,2639443.87,2.455
2017-12-28,3025837.28,3.0275
2017-12-29,1208368.62,2.6925
2017-12-30,1908160.7,3.3325
2017-12-31,1823608.07,3.5625
2018-01-01,6493717.4,5.784999999999999
2018-01-02,6536640.88,7.55
2018-01-03,3717907.81,7.0625
2018-01-04,4230294.65,7.35
2018-01-05,13988991.61,10.92
2018-01-06,14481366.62,16.045
2018-01-07,8157663.9,16.7925
2018-01-08,5628722.46,16.69
2018-01-09,8961582.6,18.96
2018-01-10,7044845.73,18.025000000000002
2018-01-11,5557326.92,19.46
2018-01-12,6169113.49,17.830000000000002
2018-01-13,5058715.57,15.592500000000001
2018-01-14,6558042.24,13.492500000000001
2018-01-15,5119668.02,10.4775
2018-01-16,3956037.45,10.2975
2018-01-17,2744492.34,10.915000000000001
2018-01-18,2979749.16,9.8825
2018-01-19,2819207.39,10.9025
2018-01-20,1536696.99,9.825
2018-01-21,1586496.03,8.530000000000001
2018-01-22,1241181.4,8.0825
2018-01-23,1508461.86,7.9575
2018-01-24,1406888.5,7.53
2018-01-25,1274459.78,7.407500000000001
2018-01-26,2630115.57,9.14
2018-01-27,3400466.47,10.755
2018-01-28,1516603.5,9.815
2018-01-29,1211337.27,8.200000000000001
2018-01-30,845957.09,8.085
2018-01-31,903310.01,7.18
2018-02-01,968517.13,6.6425
2018-02-02,918892.65,7.382499999999999
2018-02-03,709690.27,6.4575
2018-02-04,766193.37,4.785
2018-02-05,1095343.49,5.265
2018-02-06,700994.12,5.5
2018-02-07,444651.89,5.82
2018-02-08,606101.45,6.0275
2018-02-09,532314.12,5.692500000000001
2018-02-10,295917.47,5.305
2018-02-11,579089.37,5.76
2018-02-12,303961.15,5.52
2018-02-13,484512.87,5.9075
2018-02-14,570431.18,5.97
2018-02-15,409124.02,5.944999999999999
2018-02-16,520550.13,6.075
2018-02-17,370973.05,5.455
2018-02-18,506290.53,5.3425
2018-02-19,619165.51,4.8100000000000005
2018-02-20,381067.96,4.2775
2018-02-21,272976.86,4.1175
2018-02-22,354488.19,4.4875
2018-02-23,248662.94,4.3975
2018-02-24,364106.49,4.465
2018-02-25,295857.35,4.8075
2018-02-26,317294.08,4.5925
2018-02-27,237581.61,4.225
2018-02-28,281465.69,4.3225
2018-03-01,194224.15,4.2275
2018-03-02,327587.53,3.9525
2018-03-03,394337.6,3.83
2018-03-04,7994.88,3.8374999999999995
