Dates,Volume,Price
2017-02-21,106.39,0.14275
2017-02-22,77.75,0.13915
2017-02-23,56.44,0.14235
2017-02-24,177.93,0.14245
2017-02-25,76.64,0.1448
2017-02-26,97.79,0.15207500000000002
2017-02-27,179.88,0.14295
2017-02-28,36.75,0.13395
2017-03-01,90.23,0.1424425
2017-03-02,190.48,0.160325
2017-03-03,187.31,0.1407
2017-03-04,213.25,0.11887500000000001
2017-03-05,156.54,0.11117250000000001
2017-03-06,259.16,0.116125
2017-03-07,81.18,0.1259
2017-03-08,132.0,0.11466000000000001
2017-03-09,10.58,0.103265
2017-03-10,111.15,0.1122
2017-03-11,107.4,0.11507500000000001
2017-03-12,32.15,0.117525
2017-03-13,379.38,0.1428
2017-03-14,194.86,0.157775
2017-03-15,265.59,0.16502499999999998
2017-03-16,328.3,0.176975
2017-03-17,371.71,0.1747
2017-03-18,249.53,0.18495
2017-03-19,346.13,0.19550250000000002
2017-03-20,395.26,0.33694999999999997
2017-03-21,253.87,0.34295
2017-03-22,390.2,0.29655000000000004
2017-03-23,218.65,0.2962
2017-03-24,482.25,0.292075
2017-03-25,171.66,0.28155
2017-03-26,566.91,0.2863
2017-03-27,751.99,0.28035
2017-03-28,714.31,0.3084
2017-03-29,209.54,0.349525
2017-03-30,470.49,0.35015
2017-03-31,534.16,0.348625
2017-04-01,932.04,0.33575
2017-04-02,399.22,0.285175
2017-04-03,352.01,0.27715
2017-04-04,351.15,0.29422500000000007
2017-04-05,519.64,0.26470000000000005
2017-04-06,267.95,0.261375
2017-04-07,252.36,0.259275
2017-04-08,256.32,0.28064999999999996
2017-04-09,947.86,0.2772
2017-04-10,208.38,0.2679
2017-04-11,218.65,0.26207499999999995
2017-04-12,199.81,0.274075
2017-04-13,248.52,0.260575
2017-04-14,365.13,0.2727
2017-04-15,375.24,0.2941
2017-04-16,555.12,0.31912500000000005
2017-04-17,381.97,0.3217
2017-04-18,453.48,0.353575
2017-04-19,450.04,0.371875
2017-04-20,461.53,0.3769
2017-04-21,454.97,0.381775
2017-04-22,1162.12,0.386625
2017-04-23,542.31,0.37887499999999996
2017-04-24,569.54,0.380575
2017-04-25,542.95,0.449075
2017-04-26,174.86,0.512125
2017-04-27,192.83,0.5015999999999999
2017-04-28,455.31,0.512725
2017-04-29,1183.26,0.571175
2017-04-30,885.54,0.4977
2017-05-01,760.43,0.48495
2017-05-02,1821.5,0.51165
2017-05-03,964.56,0.5155000000000001
2017-05-04,342.45,0.6169
2017-05-05,649.55,0.6201
2017-05-06,871.68,0.588825
2017-05-07,766.74,0.6128
2017-05-08,472.1,0.553825
2017-05-09,1087.0,0.50455
2017-05-10,141.84,0.510425
2017-05-11,0.0,0.5183
2017-05-12,178.61,0.552725
2017-05-13,540.89,0.566175
2017-05-14,357.75,0.7154749999999999
2017-05-15,349.72,0.55215
2017-05-16,660.12,0.5305249999999999
2017-05-17,896.18,0.6617000000000001
2017-05-18,112.77,0.8249
2017-05-19,307.12,0.78495
2017-05-20,1041.4,0.8670249999999999
2017-05-21,491.01,0.845175
2017-05-22,514.93,0.842975
2017-05-23,428.03,1.447925
2017-05-24,620.39,1.245
2017-05-25,137.19,1.2375
2017-05-26,803.88,0.9029749999999999
2017-05-27,808.63,1.0721500000000002
2017-05-28,856.36,1.1625
2017-05-29,945.58,1.3325
2017-05-30,2324.65,1.3199999999999998
2017-05-31,2790.01,1.2475
2017-06-01,5815.04,1.285
2017-06-02,5963.13,1.3575
2017-06-03,2068.49,1.325
2017-06-04,4431.99,1.67
2017-06-05,3620.87,1.775
2017-06-06,6056.48,2.1799999999999997
2017-06-07,10083.5,2.6500000000000004
2017-06-08,5933.96,3.2800000000000002
2017-06-09,496.53,4.1499999999999995
2017-06-10,8495.77,4.0
2017-06-11,12174.34,3.5225
2017-06-12,18098.67,3.5275
2017-06-13,14469.41,3.5075
2017-06-14,7900.28,3.1224999999999996
2017-06-15,15233.91,3.1774999999999998
2017-06-16,9676.41,3.1125
2017-06-17,13248.75,3.4725
2017-06-18,6142.48,3.5825000000000005
2017-06-19,11589.89,3.445
2017-06-20,7756.04,3.4224999999999994
2017-06-21,9658.05,3.3449999999999998
2017-06-22,17622.77,3.3375000000000004
2017-06-23,15012.66,3.2800000000000002
2017-06-24,15195.89,3.2075
2017-06-25,12555.19,2.96
2017-06-26,13922.04,2.6399999999999997
2017-06-27,9169.15,2.7925
2017-06-28,9149.25,2.8425000000000002
2017-06-29,16813.29,2.7325
2017-06-30,15240.93,2.5100000000000002
2017-07-01,14415.94,2.4775
2017-07-02,9392.54,2.4825
2017-07-03,13215.92,2.505
2017-07-04,8306.73,2.5225
2017-07-05,14694.51,2.6
2017-07-06,3298.2,2.55
2017-07-07,7632.53,2.3675
2017-07-08,9531.72,2.245
2017-07-09,5982.26,1.9725
2017-07-10,3304.93,1.6050000000000002
2017-07-11,8498.09,1.705
2017-07-12,6976.71,1.8525
2017-07-13,9206.16,1.7225000000000001
2017-07-14,7282.95,1.6125
2017-07-15,5812.64,1.4125
2017-07-16,7960.98,1.4925
2017-07-17,5444.84,1.645
2017-07-18,9653.91,1.66
2017-07-19,7060.19,1.6300000000000001
2017-07-20,9069.8,1.8225
2017-07-21,7256.31,2.0500000000000003
2017-07-22,9295.91,2.1275
2017-07-23,7720.65,2.1425
2017-07-24,8187.47,2.1725
2017-07-25,10901.97,2.0375
2017-07-26,9114.25,1.9575
2017-07-27,10124.28,1.8475000000000001
2017-07-28,7073.48,1.7974999999999999
2017-07-29,9760.5,1.8275000000000001
2017-07-30,11240.42,1.83
2017-07-31,9280.03,1.9625000000000001
2017-08-01,6508.53,2.0825
2017-08-02,12061.55,2.1275
2017-08-03,14167.83,2.1475
2017-08-04,6545.06,2.0825
2017-08-05,8604.91,2.0974999999999997
2017-08-06,11200.88,2.025
2017-08-07,3190.6,2.1225
2017-08-08,6722.42,2.285
2017-08-09,9095.21,2.2849999999999997
2017-08-10,3660.15,2.2424999999999997
2017-08-11,0.0,2.2
2017-08-12,7635.87,2.1950000000000003
2017-08-13,6776.75,2.25
2017-08-14,13519.22,2.215
2017-08-15,9411.94,2.1125
2017-08-16,11613.68,2.0825
2017-08-17,15738.37,2.035
2017-08-18,7476.43,2.1399999999999997
2017-08-19,23022.42,2.7800000000000002
2017-08-20,13119.78,2.9749999999999996
2017-08-21,12151.76,2.9675000000000002
2017-08-22,21858.31,3.0575
2017-08-23,33130.17,3.5375
2017-08-24,10797.85,3.9725
2017-08-25,35517.46,5.225
2017-08-26,32219.08,6.982500000000001
2017-08-27,51291.06,7.065
2017-08-28,50557.28,6.375
2017-08-29,27293.21,6.147500000000001
2017-08-30,31077.86,6.5475
2017-08-31,32861.9,7.699999999999999
2017-09-01,29094.05,7.4399999999999995
2017-09-02,26154.2,7.305
2017-09-03,52972.07,6.91
2017-09-04,28921.12,6.6850000000000005
2017-09-05,36694.99,6.9799999999999995
2017-09-06,134830.65,7.68
2017-09-07,56929.06,8.1225
2017-09-08,16779.23,7.655
2017-09-09,14631.19,7.76
2017-09-10,18520.39,7.470000000000001
2017-09-11,24701.04,7.4575
2017-09-12,55000.51,7.217499999999999
2017-09-13,70065.89,5.6675
2017-09-14,16033.78,5.52
2017-09-15,7750.56,6.15
2017-09-16,30507.22,5.887499999999999
2017-09-17,18862.67,6.365
2017-09-18,37305.37,6.6049999999999995
