Dates,Volume,Price
2016-01-01,183232.74,3.48
2016-01-02,307436.48,3.4675000000000002
2016-01-03,269308.65,3.4775
2016-01-04,209387.09,3.47
2016-01-05,169065.85,3.4525
2016-01-06,917686.84,3.5174999999999996
2016-01-07,542810.47,3.5675
2016-01-08,341388.56,3.5475
2016-01-09,392514.96,3.5225
2016-01-10,584237.95,3.555
2016-01-11,244206.42,3.535
2016-01-12,800956.38,3.495
2016-01-13,215301.82,3.465
2016-01-14,1852465.98,3.29
2016-01-15,1711579.76,3.06
2016-01-16,499580.46,3.055
2016-01-17,678148.66,3.0175
2016-01-18,343880.13,3.02
2016-01-19,1549233.87,3.1950000000000003
2016-01-20,902528.49,3.2800000000000002
2016-01-21,789895.78,3.1450000000000005
2016-01-22,407628.58,3.105
2016-01-23,329817.36,3.1425
2016-01-24,345043.06,3.14
2016-01-25,214504.48,3.13
2016-01-26,689955.63,3.2125000000000004
2016-01-27,455758.24,3.1799999999999997
2016-01-28,468161.12,3.0824999999999996
2016-01-29,161823.84,3.0774999999999997
2016-01-30,150133.26,3.0675
2016-01-31,249117.0,3.065
2016-02-01,161779.02,3.0725
2016-02-02,237226.58,3.0524999999999998
2016-02-03,455976.57,3.0999999999999996
2016-02-04,177114.8,3.125
2016-02-05,375727.46,3.1125000000000003
2016-02-06,179472.46,3.0925
2016-02-07,187126.26,3.0774999999999997
2016-02-08,173971.16,3.0675
2016-02-09,247212.94,3.09
2016-02-10,201884.84,3.0675
2016-02-11,131886.02,3.075
2016-02-12,228949.64,3.11
2016-02-13,306615.16,3.1550000000000002
2016-02-14,284556.69,3.17
2016-02-15,248410.99,3.16
2016-02-16,484331.2,3.17
2016-02-17,314637.21,3.2275
2016-02-18,270050.84,3.23
2016-02-19,1006708.01,3.365
2016-02-20,852991.01,3.415
2016-02-21,397042.82,3.4325
2016-02-22,485781.44,3.4125
2016-02-23,284141.18,3.3575
2016-02-24,196742.98,3.3499999999999996
2016-02-25,292657.3,3.3475
2016-02-26,238869.86,3.38
2016-02-27,306215.83,3.3925
2016-02-28,387755.12,3.415
2016-02-29,274773.57,3.4050000000000002
2016-03-01,247684.22,3.38
2016-03-02,457912.86,3.3325
2016-03-03,389892.54,3.2699999999999996
2016-03-04,491855.03,3.19
