Dates,Volume,Price
2017-04-29,768.73,2.8350000000000004
2017-04-30,303896.4,2.5300000000000002
2017-05-01,157554.48,2.5275
2017-05-02,116116.52,2.4175
2017-05-03,151973.29,2.12
2017-05-04,309961.54,2.4225000000000003
2017-05-05,260820.24,2.87
2017-05-06,179785.13,2.955
2017-05-07,128866.78,2.8475
2017-05-08,175111.6,2.4625
2017-05-09,92352.44,2.3674999999999997
2017-05-10,91406.22,2.3324999999999996
2017-05-11,71647.13,2.3525
2017-05-12,91005.73,2.55
2017-05-13,53103.41,2.56
2017-05-14,42566.43,2.485
2017-05-15,108893.7,2.4825
2017-05-16,86514.07,2.5749999999999997
2017-05-17,167495.72,2.775
2017-05-18,137212.99,2.8350000000000004
2017-05-19,64593.61,2.725
2017-05-20,99371.95,2.6025
2017-05-21,92362.68,2.645
2017-05-22,81470.86,2.875
2017-05-23,213161.49,3.3525
2017-05-24,113162.92,3.0749999999999997
2017-05-25,80259.96,2.8525
2017-05-26,58280.18,2.5575
2017-05-27,70864.03,2.66
2017-05-28,94401.0,2.9525
2017-05-29,101833.55,2.825
2017-05-30,108852.23,2.7025
2017-05-31,124809.02,2.7225
2017-06-01,95215.29,2.9225
2017-06-02,126511.6,3.2275
2017-06-03,138729.01,3.45
2017-06-04,160290.52,3.6799999999999997
2017-06-05,156545.82,3.8225
2017-06-06,194954.07,3.755
2017-06-07,261346.19,4.265
2017-06-08,268868.02,4.78
2017-06-09,211589.22,5.21
2017-06-10,104504.91,5.0275
2017-06-11,159223.15,3.9075
2017-06-12,125227.87,4.1450000000000005
2017-06-13,97820.03,3.9
2017-06-14,103770.96,3.7700000000000005
2017-06-15,109644.79,3.7399999999999998
2017-06-16,114706.13,3.83
2017-06-17,171525.62,3.5
2017-06-18,160109.58,3.5125
2017-06-19,141559.86,3.5475
2017-06-20,131403.11,3.4225000000000003
2017-06-21,345898.56,3.7349999999999994
2017-06-22,217086.72,3.8375000000000004
2017-06-23,151465.87,3.6250000000000004
2017-06-24,142286.74,3.4524999999999997
2017-06-25,131696.29,3.12
2017-06-26,130618.86,3.0650000000000004
2017-06-27,113879.02,3.2575000000000003
2017-06-28,129603.2,3.3125
2017-06-29,84515.34,3.0775
2017-06-30,100642.11,2.8925
2017-07-01,75285.6,2.92
2017-07-02,77508.88,2.9625
2017-07-03,67589.52,2.9949999999999997
2017-07-04,77681.02,3.03
2017-07-05,77244.58,3.1275000000000004
2017-07-06,89875.37,2.705
2017-07-07,70985.05,2.5975
2017-07-08,66597.58,2.7725
2017-07-09,97861.45,2.0425
2017-07-10,151874.96,1.7999999999999998
2017-07-11,90690.02,2.0225
2017-07-12,67250.8,2.05
2017-07-13,65994.03,1.8924999999999998
2017-07-14,46172.77,1.63
2017-07-15,48682.68,1.565
2017-07-16,74324.86,1.9500000000000002
2017-07-17,61485.17,2.0975
2017-07-18,74591.82,2.1500000000000004
2017-07-19,72208.27,2.6475
2017-07-20,51953.62,2.3925
2017-07-21,46865.46,2.6399999999999997
2017-07-22,47296.44,2.7675
2017-07-23,85918.44,3.025
2017-07-24,141807.1,3.0225
2017-07-25,55492.93,2.6925
2017-07-26,46271.27,2.6325
2017-07-27,62496.94,2.4949999999999997
2017-07-28,69660.4,2.5175
2017-07-29,41038.67,2.645
2017-07-30,50628.3,2.6175
2017-07-31,85315.71,2.5775
2017-08-01,75348.43,2.7474999999999996
2017-08-02,73026.61,2.9624999999999995
2017-08-03,93984.12,3.235
2017-08-04,76234.77,3.5650000000000004
2017-08-05,72928.1,3.3575000000000004
2017-08-06,579104.87,3.9524999999999997
2017-08-07,183675.7,4.405
2017-08-08,147304.29,4.2
2017-08-09,177475.89,4.467499999999999
2017-08-10,9604573.54,11.35
2017-08-11,13955346.68,19.88
2017-08-12,3084816.02,21.2425
2017-08-13,1247204.22,17.5775
2017-08-14,631966.84,14.977500000000003
2017-08-15,539718.72,15.7325
2017-08-16,1701534.68,17.2525
2017-08-17,663115.11,14.41
2017-08-18,416662.42,12.962499999999999
2017-08-19,346310.43,13.0825
2017-08-20,341855.63,12.017500000000002
2017-08-21,296775.11,11.0975
2017-08-22,285499.22,11.135
2017-08-23,631440.28,13.1025
2017-08-24,284768.16,12.9025
2017-08-25,153666.82,12.399999999999999
2017-08-26,132535.08,12.3875
2017-08-27,1491253.94,14.530000000000001
2017-08-28,1196047.5,15.384999999999998
2017-08-29,315734.13,13.262500000000001
2017-08-30,438035.77,13.547500000000001
2017-08-31,571755.97,13.495
2017-09-01,368558.51,11.7125
2017-09-02,311783.6,11.7275
2017-09-03,728796.64,9.415000000000001
2017-09-04,315141.58,8.575
2017-09-05,688227.99,9.1425
2017-09-06,242383.6,8.747499999999999
2017-09-07,2542250.04,9.535
2017-09-08,1162180.2,10.612499999999999
2017-09-09,719886.63,10.067499999999999
2017-09-10,1264579.19,10.455
2017-09-11,3073970.96,12.547500000000001
2017-09-12,1474873.05,12.395
2017-09-13,889200.51,10.075000000000001
2017-09-14,1096052.43,10.4375
2017-09-15,859387.96,10.9
2017-09-16,1666638.08,11.4525
2017-09-17,2155529.72,11.83
2017-09-18,995994.28,9.9725
2017-09-19,570548.43,9.055
2017-09-20,328043.9,7.7675
2017-09-21,210489.98,7.034999999999999
2017-09-22,381696.79,7.9275
2017-09-23,200655.81,7.949999999999999
2017-09-24,173286.26,8.02
2017-09-25,372314.49,8.0825
2017-09-26,282879.15,8.8125
2017-09-27,1506156.72,9.5275
2017-09-28,540831.31,9.09
2017-09-29,218583.85,9.0525
2017-09-30,415825.23,8.9025
2017-10-01,342879.05,8.3025
2017-10-02,254290.38,7.8925
2017-10-03,153515.83,7.6899999999999995
2017-10-04,238067.28,7.5275
2017-10-05,160783.04,7.0725
2017-10-06,183308.95,6.692499999999999
2017-10-07,266468.52,5.7925
2017-10-08,408799.42,5.555
2017-10-09,187743.81,5.2275
2017-10-10,242316.74,5.6
2017-10-11,230955.96,6.165
2017-10-12,287699.24,5.7425
2017-10-13,134036.0,5.5925
2017-10-14,78114.05,5.33
2017-10-15,183783.17,5.705
2017-10-16,155732.95,5.789999999999999
2017-10-17,133915.16,5.915
2017-10-18,174979.26,5.699999999999999
2017-10-19,358608.01,5.6425
2017-10-20,139916.06,5.01
2017-10-21,901429.31,5.4125
2017-10-22,217178.36,5.1625
2017-10-23,215718.32,5.155
2017-10-24,138732.16,5.5525
2017-10-25,113987.02,5.36
2017-10-26,101586.92,4.9475
2017-10-27,63661.53,4.8925
2017-10-28,116741.07,5.3475
2017-10-29,167326.41,5.435
2017-10-30,84174.97,5.4799999999999995
2017-10-31,116024.77,5.1675
2017-11-01,123214.38,4.645
2017-11-02,97840.37,4.2700000000000005
2017-11-03,180001.78,4.66
2017-11-04,109244.44,4.612500000000001
2017-11-05,109219.72,4.54
2017-11-06,84476.91,4.897500000000001
2017-11-07,222957.53,5.1625
2017-11-08,227909.32,5.3999999999999995
2017-11-09,724456.44,5.5375
2017-11-10,445407.19,4.9275
2017-11-11,160924.75,4.1875
2017-11-12,119298.7,4.5600000000000005
2017-11-13,132501.35,4.735
2017-11-14,198696.47,4.9825
2017-11-15,152031.06,4.92
2017-11-16,110176.79,4.505
2017-11-17,84963.08,4.550000000000001
2017-11-18,151948.7,4.7749999999999995
2017-11-19,98609.14,4.74
2017-11-20,131695.33,4.484999999999999
2017-11-21,164252.03,4.7775
2017-11-22,196960.79,4.84
2017-11-23,188741.47,4.8975
2017-11-24,118107.81,5.045
2017-11-25,707232.09,5.9825
2017-11-26,289339.48,6.1825
2017-11-27,122417.02,5.8675
2017-11-28,200502.2,5.239999999999999
2017-11-29,99332.37,4.85
2017-11-30,72204.0,5.4375
2017-12-01,53721.92,5.390000000000001
2017-12-02,113925.16,5.515000000000001
2017-12-03,270118.93,6.1025
2017-12-04,283500.04,6.655
2017-12-05,230890.99,7.215
2017-12-06,206415.99,8.11
2017-12-07,141138.52,6.1575
2017-12-08,107325.57,5.5125
2017-12-09,119074.76,5.285
2017-12-10,158603.32,5.540000000000001
2017-12-11,492440.23,5.665
2017-12-12,389370.97,5.7924999999999995
2017-12-13,405441.84,5.9775
2017-12-14,225023.92,6.0125
