Dates,Volume,Price
2017-10-09,25746.23,0.34755
2017-10-10,32630.66,0.35
2017-10-11,47763.3,0.36250000000000004
2017-10-12,86835.73,0.37597499999999995
2017-10-13,90804.75,0.39199999999999996
2017-10-14,33847.88,0.3916
2017-10-15,25741.14,0.38875000000000004
2017-10-16,8666.18,0.38365
2017-10-17,7184.49,0.3721
2017-10-18,14395.75,0.3722
2017-10-19,16867.84,0.373825
2017-10-20,13951.71,0.378875
2017-10-21,14863.62,0.373925
2017-10-22,10465.34,0.362575
2017-10-23,2332.67,0.357025
2017-10-24,710.16,0.3621
2017-10-25,29842.42,0.373525
2017-10-26,97.61,0.3703
2017-10-27,1017.04,0.364925
2017-10-28,18663.84,0.364075
2017-10-29,2726.05,0.36312500000000003
2017-10-30,4319.15,0.363975
2017-10-31,2192.13,0.36185
2017-11-01,59455.66,0.35579999999999995
2017-11-02,4980.56,0.356225
2017-11-03,1844.07,0.35774999999999996
2017-11-04,3052.22,0.36405
2017-11-05,4168.48,0.36705
2017-11-06,417.44,0.36615
2017-11-07,17448.86,0.370475
2017-11-08,3255.16,0.372625
2017-11-09,11979.38,0.368525
2017-11-10,5197.88,0.3619
2017-11-11,3528.49,0.355575
2017-11-12,16059.46,0.360025
2017-11-13,1184.0,0.366375
2017-11-14,15041.1,0.36777499999999996
2017-11-15,4167.91,0.368425
2017-11-16,4724.43,0.3623
2017-11-17,1214.95,0.35885
2017-11-18,14561.68,0.357625
2017-11-19,13872.74,0.356
2017-11-20,5460.54,0.351625
2017-11-21,23001.96,0.35114999999999996
2017-11-22,2456.68,0.356925
2017-11-23,40561.08,0.35979999999999995
2017-11-24,13335.26,0.35745
2017-11-25,7163.13,0.34404999999999997
2017-11-26,38114.99,0.342175
2017-11-27,8161.11,0.33690000000000003
2017-11-28,10709.84,0.32627500000000004
2017-11-29,8909.8,0.32335
2017-11-30,9081.23,0.319
2017-12-01,82315.28,0.29875
2017-12-02,8716.83,0.2863
2017-12-03,31588.9,0.282675
2017-12-04,2613.61,0.2899
2017-12-05,3249.33,0.297725
2017-12-06,24715.3,0.301
2017-12-07,21294.54,0.297825
2017-12-08,19942.88,0.29164999999999996
2017-12-09,6224.64,0.282775
2017-12-10,21230.3,0.288025
2017-12-11,81065.94,0.29122499999999996
2017-12-12,94168.99,0.29355000000000003
2017-12-13,25398.2,0.29365
2017-12-14,15789.58,0.29114999999999996
2017-12-15,23372.91,0.28795
2017-12-16,4844.85,0.2786
2017-12-17,5852.82,0.274325
2017-12-18,1215.55,0.27417499999999995
2017-12-19,25489.13,0.2653
2017-12-20,5870.74,0.25495
2017-12-21,9826.31,0.2374
2017-12-22,17837.38,0.242025
2017-12-23,10295.05,0.232775
2017-12-24,2275.88,0.22325000000000003
2017-12-25,20021.75,0.22554999999999997
2017-12-26,7002.1,0.222725
2017-12-27,1971.79,0.219275
2017-12-28,14276.31,0.21644999999999998
2017-12-29,10342.42,0.220725
2017-12-30,2388.78,0.22840000000000002
2017-12-31,52082.65,0.22645
2018-01-01,33794.34,0.2252
2018-01-02,35485.2,0.21719999999999998
2018-01-03,10211.02,0.212225
2018-01-04,0.0,0.2099
2018-01-05,0.0,0.2099
2018-01-06,0.0,0.2099
2018-01-07,0.0,0.2099
2018-01-08,0.0,0.2099
2018-01-09,0.0,0.2099
2018-01-10,0.0,0.2099
2018-01-11,0.0,0.2099
2018-01-12,0.0,0.2099
2018-01-13,0.0,0.2099
2018-01-14,0.0,0.2099
2018-01-15,0.0,0.2099
2018-01-16,0.9993,0.24
2018-01-17,6216.57,0.27395
2018-01-18,5837.2,0.276875
2018-01-19,1993.16,0.27527500000000005
2018-01-20,9415.57,0.27665
2018-01-21,16388.41,0.27395
2018-01-22,12259.44,0.264625
2018-01-23,10148.95,0.25782499999999997
2018-01-24,1768.12,0.25834999999999997
2018-01-25,2935.08,0.2591
2018-01-26,23932.78,0.2632
2018-01-27,13005.29,0.257625
2018-01-28,2204.85,0.28565
2018-01-29,6645.48,0.26575
2018-01-30,28273.45,0.2429
2018-01-31,10151.43,0.22985
2018-02-01,4791.58,0.21175
2018-02-02,4970.32,0.210875
2018-02-03,8706.22,0.20779999999999998
2018-02-04,192.96,0.20154999999999998
2018-02-05,8570.93,0.178
2018-02-06,18579.26,0.16965000000000002
2018-02-07,9534.47,0.175375
2018-02-08,222.33,0.17205
2018-02-09,20060.09,0.17085
2018-02-10,6703.66,0.1741
2018-02-11,165.3,0.1642
2018-02-12,1564.96,0.1587
2018-02-13,617.7,0.15595
2018-02-14,371.93,0.156
2018-02-15,2084.4,0.16110000000000002
2018-02-16,209.55,0.165475
2018-02-17,2968.27,0.1654
2018-02-18,374.85,0.15865
2018-02-19,624.29,0.155725
2018-02-20,271.05,0.15265
2018-02-21,6264.79,0.1495
2018-02-22,5165.6,0.148725
2018-02-23,4068.01,0.144575
2018-02-24,3575.59,0.139225
2018-02-25,115.44,0.14
2018-02-26,3985.93,0.14185
2018-02-27,4368.49,0.14225000000000002
2018-02-28,3884.28,0.141025
2018-03-01,6040.5,0.137
2018-03-02,3355.62,0.135075
2018-03-03,8336.67,0.13
2018-03-04,0.0,0.1316
