Dates,Volume,Price
2017-01-29,0.0,53.1
2017-01-30,0.0,53.55
2017-01-31,0.0,53.55
2017-02-01,0.0,53.9
2017-02-02,0.0,54.75
2017-02-03,0.0,56.6
2017-02-04,0.0,56.1
2017-02-05,0.0,56.6
2017-02-06,0.0,57.25
2017-02-07,0.0,56.95
2017-02-08,0.0,54.7
2017-02-09,0.0,56.7
2017-02-10,0.0,57.15
2017-02-11,0.0,57.1
2017-02-12,0.0,56.95
2017-02-13,0.0,65.0
2017-02-14,0.0,64.85
2017-02-15,0.0,64.75
2017-02-16,0.0,63.6
2017-02-17,0.0,64.15
2017-02-18,0.0,64.1
2017-02-19,0.0,62.6
2017-02-20,0.0,63.85
2017-02-21,0.0,63.45
2017-02-22,0.0,65.65
2017-02-23,0.0,65.55
2017-02-24,0.0,67.85
2017-02-25,0.0,72.95
2017-02-26,0.04665,46.65
2017-02-27,0.0,48.21
2017-02-28,0.0,52.65
2017-03-01,0.0,57.24
2017-03-02,0.0,58.44
2017-03-03,0.0,55.83
2017-03-04,0.0,57.66
2017-03-05,0.0,59.25
2017-03-06,0.0,56.73
2017-03-07,0.0,49.62
2017-03-08,0.0,53.13
2017-03-09,0.0,57.39
2017-03-10,0.0,64.35
2017-03-11,0.0,69.93
2017-03-12,0.0,85.35
2017-03-13,0.0,85.74
2017-03-14,0.0,105.54
2017-03-15,0.0,136.53
2017-03-16,0.0,133.44
2017-03-17,0.0,102.0
2017-03-18,0.0,129.36
2017-03-19,0.0,127.53
2017-03-20,0.0,128.01
2017-03-21,0.0,124.95
2017-03-22,0.0,129.6
2017-03-23,0.0,159.57
2017-03-24,0.0,151.86
2017-03-25,0.0,151.89
2017-03-26,0.0,147.18
2017-03-27,0.0,150.75
2017-03-28,0.0,159.21
2017-03-29,0.0,155.73
2017-03-30,0.0,149.73
2017-03-31,0.0,151.8
2017-04-01,0.0,145.65
2017-04-02,0.0,132.39
2017-04-03,0.0,133.29
2017-04-04,0.0,134.7
2017-04-05,0.0,129.69
2017-04-06,38.34,87.79499999999999
2017-04-07,0.0,51.03
