Dates,Volume,Price
2017-07-08,3621886.48,1.5260999999999998
2017-07-09,6249210.11,2.03
2017-07-10,19175366.86,2.7050000000000005
2017-07-11,41484753.62,3.7675
2017-07-12,7831414.16,3.5575
2017-07-13,11344889.38,2.8875
2017-07-14,1482818.18,2.4749999999999996
2017-07-15,437719.2,2.2325
2017-07-16,1916014.65,2.9825
2017-07-17,1541779.88,3.43
2017-07-18,1450591.18,3.3724999999999996
2017-07-19,1380947.9,4.17
2017-07-20,916835.0,3.835
2017-07-21,633531.33,4.052499999999999
2017-07-22,518595.53,4.08
2017-07-23,1156925.21,4.32
2017-07-24,1860487.24,4.2075000000000005
2017-07-25,689561.18,4.2775
2017-07-26,656831.13,4.4225
2017-07-27,634899.08,3.91
2017-07-28,791038.0,3.7125
2017-07-29,1261954.67,3.8524999999999996
2017-07-30,640505.03,3.6625
2017-07-31,654547.49,3.9250000000000003
2017-08-01,644254.53,3.7525000000000004
2017-08-02,387179.96,3.8125
2017-08-03,512976.05,4.09
2017-08-04,822354.64,4.3525
2017-08-05,865722.67,4.4375
2017-08-06,1162979.85,4.9399999999999995
2017-08-07,569467.07,4.9825
2017-08-08,461978.76,4.7425
2017-08-09,1827416.33,5.2175
2017-08-10,8641759.6,7.029999999999999
2017-08-11,5973232.18,8.71
2017-08-12,3099093.4,9.2675
2017-08-13,2701294.25,8.7475
2017-08-14,1753524.36,7.35
2017-08-15,2016832.95,8.487499999999999
2017-08-16,8509108.36,9.7975
2017-08-17,4536824.0,9.842500000000001
2017-08-18,7201857.86,10.675
2017-08-19,2513744.69,9.7825
2017-08-20,2409861.79,9.21
2017-08-21,1549350.52,9.4925
2017-08-22,1046195.79,9.4225
2017-08-23,1581135.76,9.5025
2017-08-24,855247.24,9.8325
2017-08-25,962386.7,9.792499999999999
2017-08-26,1083737.36,10.055
2017-08-27,1697307.0,9.754999999999999
2017-08-28,1942688.56,9.62
2017-08-29,1060942.52,9.265
2017-08-30,1440497.74,9.6675
2017-08-31,11817075.49,11.545
2017-09-01,7017411.85,11.567499999999999
2017-09-02,2355823.98,11.1
2017-09-03,4886237.47,9.9475
2017-09-04,2814121.38,10.524999999999999
2017-09-05,3108892.51,11.8925
2017-09-06,12547858.47,12.9625
2017-09-07,6973233.3,12.455
2017-09-08,2539954.48,12.275
2017-09-09,2517963.73,11.537499999999998
2017-09-10,2107942.34,11.14
2017-09-11,2348798.5,10.8475
2017-09-12,3844896.95,9.6825
2017-09-13,2838019.74,8.002500000000001
2017-09-14,3262090.76,9.2975
2017-09-15,1041649.99,9.5825
2017-09-16,1087055.12,9.192499999999999
2017-09-17,1821837.91,9.785
2017-09-18,2034869.28,8.702499999999999
2017-09-19,1131101.17,8.39
2017-09-20,2018202.91,7.91
2017-09-21,1024388.73,7.8575
