Dates,Volume,Price
2017-09-19,519930.55,2.9425
2017-09-20,2972086.05,2.2275
2017-09-21,1764555.74,1.6775000000000002
2017-09-22,659714.79,1.665
2017-09-23,652320.43,1.5274999999999999
2017-09-24,1575300.22,1.3074999999999999
2017-09-25,500030.48,1.2225000000000001
2017-09-26,1837164.17,1.06
2017-09-27,1327338.46,1.078
2017-09-28,1364949.37,1.1175
2017-09-29,2874410.53,1.2575
2017-09-30,1201459.74,1.3599999999999999
2017-10-01,2485888.73,1.4075
2017-10-02,1098167.49,1.2275
2017-10-03,428026.1,1.165
2017-10-04,1030125.82,1.2075
2017-10-05,592768.58,1.245
2017-10-06,301499.4,1.21
2017-10-07,1681535.29,1.2799999999999998
2017-10-08,1162929.51,1.3175
2017-10-09,1347521.11,1.355
2017-10-10,14131234.66,2.1350000000000002
2017-10-11,13847482.68,2.8550000000000004
2017-10-12,8118882.36,2.97
2017-10-13,6788502.43,3.3149999999999995
2017-10-14,13777992.02,4.260000000000001
2017-10-15,11829553.99,4.84
2017-10-16,11322642.26,4.545000000000001
2017-10-17,6609397.41,4.862500000000001
2017-10-18,15508477.22,5.555
2017-10-19,11126503.41,5.375
2017-10-20,7672560.52,4.89
2017-10-21,5304891.71,5.109999999999999
2017-10-22,6514427.55,4.7675
2017-10-23,8178560.43,4.942500000000001
2017-10-24,3854208.28,4.782500000000001
2017-10-25,3712992.95,4.5375
2017-10-26,8026264.23,4.155
2017-10-27,6317827.21,3.9725
2017-10-28,4409465.93,4.029999999999999
2017-10-29,3305445.53,3.9425000000000003
2017-10-30,7352652.93,4.2075
2017-10-31,5268788.42,3.78
2017-11-01,7660951.76,3.2425
2017-11-02,5070516.87,3.33
2017-11-03,2463001.2,3.25
2017-11-04,2265553.6,3.04
2017-11-05,4984493.68,3.1100000000000003
2017-11-06,3256390.16,3.1025
2017-11-07,8924746.22,3.3924999999999996
2017-11-08,7246740.54,3.755
2017-11-09,6996336.05,3.505
2017-11-10,4415170.47,3.17
2017-11-11,4887924.76,3.0300000000000002
2017-11-12,4084279.1,3.015
2017-11-13,3207837.15,3.0225
2017-11-14,5616534.56,3.2275
2017-11-15,4045356.02,3.2449999999999997
2017-11-16,2435859.48,3.0749999999999997
2017-11-17,4107956.72,3.17
2017-11-18,2808342.25,3.2550000000000003
2017-11-19,2075703.58,3.2175
2017-11-20,9927716.33,3.3925
2017-11-21,5707946.74,3.6249999999999996
2017-11-22,8195135.44,3.7750000000000004
2017-11-23,3553667.1,3.6175
2017-11-24,3577672.57,3.7475000000000005
2017-11-25,34767.82,3.785
2017-11-26,3622793.02,3.7375
2017-11-27,3456601.15,3.7125000000000004
2017-11-28,11848977.23,2.5913600000000003
2017-11-29,6470945.17,2.6725
2017-11-30,3451488.75,2.7875
2017-12-01,2985806.61,2.9325
2017-12-02,3190456.32,2.8499999999999996
