Dates,Volume,Price
2017-11-02,38.34,1.7407000000000001
2017-11-03,452.05,3.085
2017-11-04,236.89,3.215
2017-11-05,104.18,5.265
2017-11-06,360.39,4.205
2017-11-07,551.64,6.14
2017-11-08,59.16,5.5649999999999995
2017-11-09,1002.51,6.9750000000000005
2017-11-10,13.91,8.7925
2017-11-11,195.97,6.102499999999999
2017-11-12,139.06,5.859999999999999
2017-11-13,679.79,6.822500000000001
2017-11-14,471.71,6.32
2017-11-15,2128.0,7.679999999999999
2017-11-16,749.84,8.295
2017-11-17,200.89,8.7
2017-11-18,4581.75,11.790000000000001
2017-11-19,7469.3,12.285
2017-11-20,1066.13,12.42
2017-11-21,1222.83,12.232499999999998
2017-11-22,1715.29,12.0775
2017-11-23,537.47,13.0875
2017-11-24,730.87,12.89
2017-11-25,676.02,13.45
2017-11-26,7235.88,15.915000000000001
2017-11-27,14880.7,22.892500000000002
2017-11-28,5248.73,22.49
2017-11-29,293.06,23.1
2017-11-30,3123.95,30.015
2017-12-01,18421.28,40.06250000000001
2017-12-02,10874.82,52.195
2017-12-03,8001.45,47.5125
2017-12-04,9342.08,40.385
2017-12-05,3597.8,35.2275
2017-12-06,8121.15,25.3425
2017-12-07,4930.89,25.625
2017-12-08,2027.25,30.5775
2017-12-09,1096.53,27.69
2017-12-10,2564.76,32.6775
2017-12-11,3128.37,34.96
2017-12-12,1301.92,25.6575
2017-12-13,570.09,27.6425
2017-12-14,1960.19,31.904999999999998
2017-12-15,1244.96,33.3675
2017-12-16,3123.7,29.542499999999997
2017-12-17,945.34,34.6175
2017-12-18,1308.0,29.79
2017-12-19,2043.2,23.869999999999997
2017-12-20,1781.55,21.93
2017-12-21,3413.96,20.5175
2017-12-22,564.3,23.330000000000002
2017-12-23,1310.52,21.7575
2017-12-24,2218.25,22.677500000000002
2017-12-25,0.0,22.82
2017-12-26,955.18,20.3625
2017-12-27,970.27,16.64
2017-12-28,1156.82,18.6
2017-12-29,1160.71,17.639999999999997
2017-12-30,3283.65,18.380000000000003
2017-12-31,1735.86,19.3325
2018-01-01,2917.19,20.13
2018-01-02,3184.13,23.88
2018-01-03,1170.69,25.217499999999998
2018-01-04,1598.6,25.0975
2018-01-05,115.11,26.195
2018-01-06,32.28,27.915
2018-01-07,0.0,26.24
2018-01-08,0.0,29.78
2018-01-09,0.0,28.85
2018-01-10,0.0,26.32
2018-01-11,0.0,29.13
2018-01-12,0.0,31.99
2018-01-13,0.0,31.4
2018-01-14,206.54,28.975
2018-01-15,0.0,23.34
2018-01-16,948.59,23.7625
2018-01-17,0.0,23.21
2018-01-18,0.0,23.77
2018-01-19,0.0,26.36
2018-01-20,73.85,22.38
2018-01-21,0.0,21.32
2018-01-22,84.07,22.9
2018-01-23,10700.43,24.534999999999997
2018-01-24,7596.09,21.7225
2018-01-25,2766.91,23.820000000000004
2018-01-26,12142.66,18.007499999999997
2018-01-27,1980.26,23.92
2018-01-28,1674.06,20.1725
2018-01-29,3261.97,18.0375
2018-01-30,5547.88,19.3675
2018-01-31,4779.89,15.592500000000001
2018-02-01,2287.58,14.735
2018-02-02,2781.05,16.7075
2018-02-03,1070.27,14.11
2018-02-04,1719.47,11.5775
2018-02-05,7480.04,15.56
2018-02-06,6284.66,15.674999999999999
2018-02-07,4173.67,16.07
2018-02-08,9810.88,17.38
2018-02-09,2069.85,16.09
2018-02-10,5881.19,17.07
2018-02-11,3032.34,17.505
2018-02-12,6021.47,17.85
2018-02-13,9218.5,19.1175
2018-02-14,30918.01,19.595
2018-02-15,16492.13,19.5625
2018-02-16,19569.61,19.81
2018-02-17,18672.45,19.1625
2018-02-18,9056.41,19.8875
2018-02-19,34711.83,20.7925
2018-02-20,13666.16,20.03
2018-02-21,14517.89,33.1775
2018-02-22,30210.4,19.9625
2018-02-23,14738.46,20.6925
2018-02-24,15169.43,20.7725
2018-02-25,23496.62,22.064999999999998
2018-02-26,8896.26,22.400000000000002
2018-02-27,12320.25,23.1275
2018-02-28,20818.88,23.27
2018-03-01,8282.51,23.767500000000002
2018-03-02,5761.48,25.2425
2018-03-03,7746.2,25.877499999999998
2018-03-04,0.0,25.11
