Dates,Volume,Price
2016-01-01,173.13,2.3857500000000003e-05
2016-01-02,244.54,2.47625e-05
2016-01-03,633.55,2.6e-05
2016-01-04,1093.83,2.3715e-05
2016-01-05,347.12,2.5849999999999998e-05
2016-01-06,128.36,2.742e-05
2016-01-07,268.19,2.37725e-05
2016-01-08,83.97,2.354e-05
2016-01-09,208.15,2.3425e-05
2016-01-10,270.26,2.3507499999999998e-05
2016-01-11,545.95,2.55875e-05
2016-01-12,265.51,2.485e-05
2016-01-13,66.49,2.3605000000000002e-05
2016-01-14,631.4,2.2335000000000002e-05
2016-01-15,303.24,2.59875e-05
2016-01-16,196.02,2.5817499999999998e-05
2016-01-17,873.16,2.4985e-05
2016-01-18,329.93,2.3715000000000002e-05
2016-01-19,599.47,2.69475e-05
2016-01-20,107.45,2.6665e-05
2016-01-21,94.18,2.39175e-05
2016-01-22,84.69,2.3317499999999998e-05
2016-01-23,40.05,2.5135000000000002e-05
2016-01-24,199.96,2.455e-05
2016-01-25,86.17,2.4362500000000003e-05
2016-01-26,554.87,2.5675e-05
2016-01-27,166.79,2.5629999999999997e-05
2016-01-28,441.22,2.757e-05
2016-01-29,433.26,2.92775e-05
2016-01-30,652.34,3.14375e-05
2016-01-31,1313.74,3.815e-05
2016-02-01,2517.1,4.3935e-05
2016-02-02,1883.11,4.232e-05
2016-02-03,312.84,4.297e-05
2016-02-04,318.78,4.2512499999999997e-05
2016-02-05,1442.77,4.426e-05
2016-02-06,7210.77,7.55975e-05
2016-02-07,13313.46,8.664000000000001e-05
2016-02-08,2727.34,7.318750000000001e-05
2016-02-09,2884.61,6.01475e-05
2016-02-10,2247.27,5.97625e-05
2016-02-11,3380.33,6.817e-05
2016-02-12,3480.2,7.1195e-05
2016-02-13,1692.2,6.79175e-05
2016-02-14,2837.97,6.51725e-05
2016-02-15,195.95,6.198e-05
2016-02-16,1342.87,5.94425e-05
2016-02-17,1040.56,5.373e-05
2016-02-18,1140.13,5.775e-05
2016-02-19,552.94,6.161e-05
2016-02-20,1612.71,5.58275e-05
2016-02-21,169.39,5.36275e-05
