Dates,Volume,Price
2017-11-07,2065985.76,2.1750000000000003
2017-11-08,1276363.65,2.1775
2017-11-09,804880.68,1.895
2017-11-10,482638.64,1.7725
2017-11-11,976184.7,1.5725
2017-11-12,435734.56,1.7875
2017-11-13,557222.45,1.7225
2017-11-14,401416.63,1.7799999999999998
2017-11-15,723154.9,1.88
2017-11-16,613202.46,1.83
2017-11-17,942443.33,1.9500000000000002
2017-11-18,880323.89,2.0425
2017-11-19,721071.71,1.9625000000000001
2017-11-20,700857.22,1.9274999999999998
2017-11-21,786601.34,1.8325
2017-11-22,1134497.2,1.795
2017-11-23,810820.91,1.895
2017-11-24,496407.11,2.0100000000000002
2017-11-25,677530.88,1.985
2017-11-26,4158342.05,2.1475
2017-11-27,7082304.25,2.3425000000000002
2017-11-28,4625327.76,2.35
2017-11-29,2449449.31,2.2125
2017-11-30,2559301.29,2.11
2017-12-01,2402415.59,1.9049999999999998
2017-12-02,1933055.45,2.0575
2017-12-03,2780801.55,2.05
2017-12-04,5233234.03,2.1500000000000004
2017-12-05,1119085.98,2.2075
2017-12-06,1007063.45,2.0524999999999998
2017-12-07,696130.37,1.775
2017-12-08,615372.96,1.745
2017-12-09,511734.43,1.7724999999999997
2017-12-10,2246665.17,1.7875
2017-12-11,3028835.29,1.7474999999999998
2017-12-12,2525176.96,1.585
2017-12-13,5051077.7,2.0125
2017-12-14,3708080.21,2.165
2017-12-15,4255551.61,2.2775
2017-12-16,6010875.74,2.43
2017-12-17,2838087.68,2.36
2017-12-18,1857661.12,2.2625
2017-12-19,2963820.88,2.31
2017-12-20,6021810.22,2.4124999999999996
2017-12-21,5871749.37,2.215
2017-12-22,6529558.39,2.5275
2017-12-23,7375364.29,2.545
2017-12-24,8820538.17,3.2825
2017-12-25,7845402.08,3.6950000000000003
2017-12-26,5088029.61,3.4074999999999998
2017-12-27,6950429.25,3.4174999999999995
2017-12-28,6839144.31,3.8225
2017-12-29,16850347.98,5.387499999999999
2017-12-30,17363086.29,6.947500000000001
2017-12-31,5368350.55,6.3175
2018-01-01,5273067.08,6.282500000000001
2018-01-02,4408575.23,6.1075
2018-01-03,6008713.89,6.675
2018-01-04,5378867.27,6.9325
2018-01-05,5685836.37,6.93
2018-01-06,6462035.27,7.7775
2018-01-07,16093558.45,9.895000000000001
2018-01-08,11054703.97,11.065
2018-01-09,7849348.2,10.717500000000001
2018-01-10,6317250.81,9.532499999999999
2018-01-11,6521423.18,10.585
2018-01-12,4504973.27,9.530000000000001
2018-01-13,2585936.38,8.372499999999999
2018-01-14,2455357.14,8.0175
2018-01-15,2815730.91,5.5825000000000005
2018-01-16,3065201.98,5.3725
2018-01-17,2717155.8,6.0625
2018-01-18,1776714.25,6.1875
2018-01-19,4135115.27,7.36
2018-01-20,1747587.01,6.6025
2018-01-21,1967027.88,5.95
2018-01-22,1545703.29,5.744999999999999
2018-01-23,1299366.31,6.0600000000000005
2018-01-24,3970247.14,6.352500000000001
2018-01-25,2339513.37,6.284999999999999
2018-01-26,1835644.14,6.565
2018-01-27,1682847.74,6.8275
2018-01-28,1201215.64,6.3175
2018-01-29,1288041.5,5.4025
2018-01-30,1020139.96,5.0775
2018-01-31,1005631.89,4.2525
2018-02-01,1163400.55,3.6999999999999997
2018-02-02,808329.81,4.0200000000000005
2018-02-03,477020.77,3.5825
2018-02-04,536585.02,2.575
2018-02-05,756535.51,2.7650000000000006
2018-02-06,438547.87,2.875
2018-02-07,17196.58,3.0700000000000003
2018-02-08,535304.16,3.425
2018-02-09,454776.43,3.4075
2018-02-10,332111.75,3.1049999999999995
2018-02-11,4753048.54,3.9525
2018-02-12,2075895.24,3.59
2018-02-13,664726.3,3.8425
2018-02-14,874995.7,3.86
2018-02-15,573023.52,3.8225
2018-02-16,713996.19,3.96
2018-02-17,541702.89,3.4699999999999998
2018-02-18,628998.04,3.6425
2018-02-19,1110226.74,3.2425
2018-02-20,499884.82,2.755
2018-02-21,1092218.05,2.61
2018-02-22,1622227.61,2.8475
2018-02-23,581148.13,2.5949999999999998
2018-02-24,4889959.27,2.9349999999999996
2018-02-25,2640944.06,3.2150000000000003
2018-02-26,612139.14,2.9725
2018-02-27,1146776.91,2.8625
2018-02-28,1241130.96,3.0875
2018-03-01,533902.54,3.1275
2018-03-02,267927.14,3.0475000000000003
2018-03-03,206954.17,2.98
2018-03-04,11322.38,2.9800000000000004
