Dates,Volume,Price
2016-12-18,11.3,10.742500000000001
2016-12-19,413.99,11.26
2016-12-20,22.74,2.575
2016-12-21,50.21,3.62
2016-12-22,0.7076,2.8
2016-12-23,0.0,2.72
2016-12-24,0.0,2.72
2016-12-25,0.0,2.74
2016-12-26,0.0,2.82
2016-12-27,37.29,1.6724999999999999
2016-12-28,0.0,1.56
2016-12-29,0.0,1.54
2016-12-30,4.07,1.46
2016-12-31,0.0,1.51
2017-01-01,1.21,0.8407000000000001
2017-01-02,0.0,0.1539
2017-01-03,0.0,0.1691
2017-01-04,2.57,0.8265499999999999
2017-01-05,0.0,0.1551
2017-01-06,0.0,0.1556
2017-01-07,0.0,0.1577
2017-01-08,0.0,0.1575
2017-01-09,45.8,1.2225000000000001
2017-01-10,0.2029,1.49
2017-01-11,0.0,1.54
2017-01-12,0.0,1.57
2017-01-13,19.83,1.29
2017-01-14,0.0,1.48
2017-01-15,0.0,1.49
2017-01-16,0.0,1.62
2017-01-17,1.34,1.24
2017-01-18,0.15,1.5
2017-01-19,13.4,1.69
2017-01-20,5.4,1.38
2017-01-21,0.0,1.38
2017-01-22,0.0,1.38
2017-01-23,0.312,1.56
2017-01-24,9.04,1.2552
2017-01-25,0.0,1.56
2017-01-26,0.0,1.56
2017-01-27,0.0,1.56
2017-01-28,0.9334,1.27
2017-01-29,0.2302,1.29
2017-01-30,5.12,1.3199999999999998
2017-01-31,0.158,1.58
2017-02-01,11.05,1.62
2017-02-02,71.81,1.665
2017-02-03,11.61,1.0524499999999999
2017-02-04,0.2037,1.71
2017-02-05,0.0,1.72
2017-02-06,19.01,1.02
2017-02-07,7.74,1.03
2017-02-08,0.0,0.9512
2017-02-09,54.92,1.57
2017-02-10,75.87,1.5425
2017-02-11,16.46,1.55
2017-02-12,18.38,1.5375
2017-02-13,0.0,1.57
2017-02-14,214.07,1.5525000000000002
2017-02-15,3.1,1.5900000000000003
2017-02-16,0.0,1.59
2017-02-17,3.08,1.565
2017-02-18,155.0,1.54
2017-02-19,0.0,1.59
2017-02-20,0.0,1.65
2017-02-21,0.0,1.66
2017-02-22,0.0,1.73
2017-02-23,0.77,1.6400000000000001
2017-02-24,1.52,1.51
2017-02-25,0.0,1.55
2017-02-26,0.0,1.58
2017-02-27,0.393,1.4450000000000003
2017-02-28,0.0,1.34
2017-03-01,39.66,1.45
2017-03-02,0.0,1.55
