Dates,Volume,Price
2016-01-01,56.79,0.5080250000000001
2016-01-02,1.33,0.47375
2016-01-03,0.08924,0.494125
2016-01-04,224.96,0.48974999999999996
2016-01-05,82.07,0.48974999999999996
2016-01-06,0.01145,0.47
2016-01-07,0.007774,0.5075000000000001
2016-01-08,0.0047,0.5075000000000001
2016-01-09,0.6215,0.480825
2016-01-10,0.02418,0.471
2016-01-11,118.77,0.471
2016-01-12,40.8,0.466
2016-01-13,2.52,0.46352499999999996
2016-01-14,79.51,0.4427249999999999
2016-01-15,194.32,0.44565000000000005
2016-01-16,1.86,0.447225
2016-01-17,8.05,0.44999999999999996
2016-01-18,90.08,0.4975
2016-01-19,2.07,0.5283
2016-01-20,7.56,0.53965
2016-01-21,65.82,0.5136999999999999
2016-01-22,402.63,0.5862
2016-01-23,282.64,0.6331
2016-01-24,9.9,0.6099500000000001
2016-01-25,135.97,0.607275
2016-01-26,3.91,0.6027250000000001
2016-01-27,4.43,0.57765
2016-01-28,156.49,0.52525
2016-01-29,0.3607,0.509275
2016-01-30,0.3068,0.49649999999999994
2016-01-31,3191.59,0.53
2016-02-01,0.03387,0.5238499999999999
2016-02-02,7.7,0.48322499999999996
2016-02-03,29.67,0.49750000000000005
2016-02-04,267.69,0.49915000000000004
2016-02-05,61.53,0.491225
2016-02-06,4.37,0.478525
2016-02-07,28.72,0.47935000000000005
2016-02-08,24.53,0.4716
2016-02-09,4.3,0.46742500000000003
2016-02-10,324.99,0.5088750000000001
2016-02-11,886.46,0.55495
2016-02-12,2377.74,0.66385
2016-02-13,720.91,0.7829
2016-02-14,604.37,0.9270499999999999
2016-02-15,293.81,0.90215
2016-02-16,1451.23,0.882825
2016-02-17,226.28,0.752325
2016-02-18,1130.27,0.791825
2016-02-19,158.92,0.82695
2016-02-20,1156.31,0.802775
2016-02-21,413.42,0.7879
2016-02-22,123.89,0.7626499999999999
2016-02-23,60.14,0.753775
2016-02-24,154.65,0.7909250000000001
2016-02-25,285.82,0.80565
2016-02-26,1455.94,0.8214
2016-02-27,550.73,0.8438500000000001
2016-02-28,143.34,0.8753
2016-02-29,111.29,0.843925
2016-03-01,160.27,0.829575
2016-03-02,599.92,0.9619000000000001
2016-03-03,284.44,1.1
2016-03-04,4456.81,1.15
2016-03-05,2941.26,1.2
2016-03-06,1019.51,1.098825
2016-03-07,404.87,1.12255
2016-03-08,1065.23,1.01
2016-03-09,800.36,1.1075000000000002
2016-03-10,291.02,1.08
2016-03-11,323.91,1.11
2016-03-12,314.92,1.145
2016-03-13,388.41,1.205
2016-03-14,30.26,1.1525
2016-03-15,114.35,1.1375
2016-03-16,2860.34,1.2
2016-03-17,4839.78,1.2000000000000002
2016-03-18,205.75,1.1675
2016-03-19,5792.89,1.3424999999999998
2016-03-20,4248.38,1.4575
2016-03-21,4809.11,1.4075
2016-03-22,2224.81,1.395
2016-03-23,12035.57,1.5550000000000002
2016-03-24,750.13,2.0275
2016-03-25,2330.97,1.6475
2016-03-26,9053.7,1.5775000000000001
2016-03-27,4289.08,1.4875
2016-03-28,837.46,1.4875
2016-03-29,547.07,1.455
2016-03-30,54.51,1.4149999999999998
2016-03-31,937.73,1.435
2016-04-01,4637.91,1.5
2016-04-02,502.04,1.55
2016-04-03,1789.44,1.5575
2016-04-04,2642.82,1.535
2016-04-05,3509.46,1.505
2016-04-06,601.42,1.5150000000000001
2016-04-07,1962.61,1.475
2016-04-08,12782.39,1.2799999999999998
2016-04-09,5965.01,1.06235
2016-04-10,1476.3,1.05525
2016-04-11,2037.94,0.9631000000000001
2016-04-12,1922.7,0.9902500000000001
