Dates,Volume,Price
2017-12-22,522534.52,1.5675
2017-12-23,284329.69,1.3775
2017-12-24,233680.3,1.3325
2017-12-25,241824.15,1.2875
2017-12-26,162935.83,1.2625
2017-12-27,87097.71,1.2425000000000002
2017-12-28,510075.72,1.6675
2017-12-29,1402301.32,2.7775
2017-12-30,1493005.26,3.225
2017-12-31,2069319.96,2.805
2018-01-01,1549936.44,2.7575
2018-01-02,893381.74,2.425
2018-01-03,686374.57,2.355
2018-01-04,518422.83,2.155
2018-01-05,496854.14,2.3074999999999997
2018-01-06,511768.81,2.7075
2018-01-07,593601.36,2.635
2018-01-08,326155.9,2.5324999999999998
2018-01-09,459417.22,2.405
2018-01-10,1583876.48,2.6975
2018-01-11,705854.78,2.8925
2018-01-12,378345.26,2.8024999999999998
2018-01-13,314574.12,2.435
2018-01-14,346588.48,2.345
2018-01-15,456046.43,1.9400000000000002
2018-01-16,300278.38,1.5325000000000002
2018-01-17,214290.42,1.65
2018-01-18,138875.91,1.6825
2018-01-19,124767.32,1.865
2018-01-20,295168.53,2.0125
2018-01-21,175492.15,1.8250000000000002
2018-01-22,187235.32,1.8049999999999997
2018-01-23,103474.26,1.7
2018-01-24,31993.15,1.635
2018-01-25,216083.19,1.4925
2018-01-26,96429.11,1.495
2018-01-27,94508.27,1.46
2018-01-28,71728.56,1.3525
2018-01-29,105724.47,1.2675
2018-01-30,211614.39,1.3524999999999998
2018-01-31,132970.58,1.2999999999999998
2018-02-01,116358.57,1.105
2018-02-02,64292.38,1.1125000000000003
2018-02-03,82129.17,1.0925
2018-02-04,213181.79,0.93525
2018-02-05,233641.63,0.8227500000000001
2018-02-06,101014.39,0.8420000000000001
2018-02-07,57487.56,0.8652500000000001
2018-02-08,98012.87,0.9802500000000001
2018-02-09,81814.86,1.0165
2018-02-10,22924.06,0.94975
2018-02-11,35895.53,0.953
2018-02-12,28075.21,0.9397500000000001
2018-02-13,55142.29,0.906
2018-02-14,50774.63,0.9247500000000001
2018-02-15,47551.83,0.9175000000000001
2018-02-16,71268.28,0.9482499999999999
2018-02-17,36741.91,0.94
2018-02-18,134866.05,1.043
2018-02-19,116245.31,1.1175
2018-02-20,126769.78,1.0077500000000001
2018-02-21,77591.41,1.0362500000000001
2018-02-22,40704.33,1.0394999999999999
2018-02-23,41567.1,1.0335
2018-02-24,34468.67,0.9860000000000001
2018-02-25,41689.03,0.9850000000000001
2018-02-26,29672.52,0.9787499999999999
2018-02-27,21587.56,0.9802500000000001
2018-02-28,26679.62,0.99325
2018-03-01,38128.02,0.9875
2018-03-02,23314.56,0.9522499999999999
2018-03-03,20257.74,0.93725
2018-03-04,184.73,0.9255
