Dates,Volume,Price
2017-09-10,81945.27,2.301925
2017-09-11,257055.5,0.637875
2017-09-12,519819.79,1.0547
2017-09-13,327904.28,1.0758
2017-09-14,150115.07,1.2825
2017-09-15,274435.44,1.3175
2017-09-16,113450.16,1.2725
2017-09-17,163256.63,1.3425000000000002
2017-09-18,114130.54,1.175
2017-09-19,93735.57,1.01295
2017-09-20,54885.94,0.902175
2017-09-21,101391.37,1.019425
2017-09-22,241667.69,1.11
2017-09-23,109213.93,1.0159
2017-09-24,87215.87,1.115
2017-09-25,95220.75,1.09
2017-09-26,86672.55,1.08585
2017-09-27,115504.71,1.005175
2017-09-28,115683.22,0.9732500000000001
2017-09-29,70490.28,1.0088000000000001
2017-09-30,152953.98,1.047875
2017-10-01,136653.72,1.076775
2017-10-02,239922.18,1.3425
2017-10-03,392235.67,1.8200000000000003
2017-10-04,319435.66,2.1475
2017-10-05,572380.34,2.49
2017-10-06,193905.68,2.24
2017-10-07,265623.17,2.0925
2017-10-08,210403.87,1.8425
2017-10-09,127600.79,1.7025
2017-10-10,157051.22,1.8325
2017-10-11,76620.27,1.9249999999999998
2017-10-12,151172.55,1.995
2017-10-13,207666.02,2.295
2017-10-14,133197.49,2.355
2017-10-15,354120.88,2.6624999999999996
2017-10-16,706997.95,3.2175
2017-10-17,1579845.56,4.015000000000001
2017-10-18,469112.19,4.3
2017-10-19,470548.12,4.32
2017-10-20,308797.96,3.97
2017-10-21,311994.94,4.0249999999999995
2017-10-22,484831.04,4.725
2017-10-23,861243.68,5.125
2017-10-24,438660.04,5.2125
2017-10-25,452332.03,5.5024999999999995
2017-10-26,377502.82,5.442500000000001
2017-10-27,334396.69,5.015
2017-10-28,263806.83,4.9975
2017-10-29,672407.77,4.385000000000001
2017-10-30,443632.13,4.7175
2017-10-31,400893.32,4.705
2017-11-01,743738.51,3.835
2017-11-02,220304.79,3.945
2017-11-03,228868.8,4.355
2017-11-04,238232.19,3.7874999999999996
2017-11-05,276808.83,3.5875
2017-11-06,187062.2,3.8375
2017-11-07,457098.23,4.4425
2017-11-08,562905.28,4.637499999999999
2017-11-09,288601.22,4.2125
2017-11-10,174329.58,3.8325
2017-11-11,222863.9,3.69
2017-11-12,162580.11,3.9425000000000003
2017-11-13,240315.31,3.73
2017-11-14,212725.91,3.755
2017-11-15,422299.78,3.935
2017-11-16,274531.98,3.8400000000000003
2017-11-17,186594.86,3.4225000000000003
2017-11-18,383697.91,3.1950000000000003
2017-11-19,214511.56,3.2725
2017-11-20,158331.26,2.9849999999999994
2017-11-21,192987.37,3.0175
2017-11-22,299178.12,2.7825
2017-11-23,151089.38,3.05
2017-11-24,218321.06,3.4325
2017-11-25,189231.75,3.2824999999999998
2017-11-26,154495.44,3.205
2017-11-27,178274.44,3.0775
2017-11-28,219538.93,2.815
2017-11-29,134045.76,2.9375
2017-11-30,216722.2,3.0774999999999997
2017-12-01,137693.33,2.815
2017-12-02,144175.37,2.9000000000000004
2017-12-03,624783.54,3.4575
2017-12-04,455461.66,3.9000000000000004
2017-12-05,541923.01,4.39
2017-12-06,528701.99,4.535
2017-12-07,464838.81,3.7025
2017-12-08,313685.8,3.4725
2017-12-09,303410.24,3.4475000000000002
2017-12-10,255462.98,3.3875
2017-12-11,314483.66,3.3449999999999998
2017-12-12,592282.57,3.88
2017-12-13,303896.89,4.125
2017-12-14,304682.47,4.12
2017-12-15,400226.83,4.3925
2017-12-16,423458.74,4.12
2017-12-17,472930.01,4.39
2017-12-18,574350.96,4.532500000000001
2017-12-19,589033.09,4.19
2017-12-20,542647.22,4.5
2017-12-21,2778597.39,6.01
2017-12-22,667458.37,7.840000000000001
2017-12-23,399321.89,6.89
2017-12-24,329287.93,6.535
2017-12-25,373426.64,6.6575
2017-12-26,261207.4,6.6274999999999995
2017-12-27,195513.76,6.6725
2017-12-28,314115.73,7.6075
2017-12-29,208255.35,7.452500000000001
2017-12-30,15112.11,7.9725
2017-12-31,227420.77,8.030000000000001
2018-01-01,247441.07,9.1625
2018-01-02,386274.32,7.4775
2018-01-03,195279.88,8.2575
2018-01-04,1979687.04,8.3875
2018-01-05,42494827.03,17.72
2018-01-06,60823853.48,23.525
2018-01-07,194490571.91,39.019999999999996
2018-01-08,125964186.68,48.349999999999994
2018-01-09,62587996.51,45.4275
2018-01-10,24479656.87,32.89
2018-01-11,23548943.77,34.589999999999996
2018-01-12,16939567.5,34.31
2018-01-13,12522175.26,28.647499999999997
2018-01-14,7498845.45,24.98
2018-01-15,53504488.75,21.572499999999998
2018-01-16,65592869.67,26.7275
2018-01-17,18800982.58,27.17
2018-01-18,8114539.41,27.3175
2018-01-19,11637006.13,30.289999999999996
2018-01-20,6612292.8,26.5675
2018-01-21,4970990.42,22.817500000000003
2018-01-22,4005778.01,21.59
2018-01-23,12616254.59,23.052500000000002
2018-01-24,2969254.01,21.267500000000002
2018-01-25,3013580.33,20.1025
2018-01-26,3230291.4,20.849999999999998
2018-01-27,7651429.54,22.0025
2018-01-28,2467243.98,19.8
2018-01-29,2405111.69,16.805
2018-01-30,3352714.56,17.009999999999998
2018-01-31,2963183.39,15.0275
2018-02-01,3086986.59,13.34
2018-02-02,1815428.32,13.8875
2018-02-03,1482626.69,12.115
2018-02-04,1664115.79,9.2475
2018-02-05,2939435.09,10.6075
2018-02-06,2040435.23,11.1
2018-02-07,101971.6,11.6225
2018-02-08,986265.33,12.604999999999999
2018-02-09,1365051.92,11.8325
2018-02-10,1396694.96,10.7125
2018-02-11,1689249.39,11.96
2018-02-12,1137976.79,11.5475
2018-02-13,3067357.13,13.53
2018-02-14,58218913.39,17.9575
2018-02-15,15463670.2,18.384999999999998
2018-02-16,6108085.28,18.765
2018-02-17,3614920.56,16.2725
2018-02-18,14090689.86,18.427500000000002
2018-02-19,5114246.93,17.009999999999998
2018-02-20,5638671.78,15.375
2018-02-21,2170714.49,13.692499999999999
2018-02-22,2250858.48,13.977500000000001
2018-02-23,1731135.12,13.3
2018-02-24,4186156.99,13.665000000000001
2018-02-25,2951220.2,14.655000000000001
2018-02-26,2449072.69,14.4175
2018-02-27,29121098.28,15.785
2018-02-28,10109832.81,16.8875
2018-03-01,2933422.42,15.782499999999999
2018-03-02,8657564.36,16.955
2018-03-03,3660111.33,16.73
2018-03-04,23486.88,16.43
